Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
Exploiting Big Data Analytics for Urban Planning and Smart City Performance Improvement,B. N. Silva; M. Khan; J. Seo; D. Muhammad; Y. Yoon; J. Han; K. Han,"Kyungpook National University, School of Computer Science and Engineering, Daegu, Korea; Department of Computer Science, Sarhad University of Science and Information Technology, Peshawar, Pakistan; Kyungpook National University, School of Computer Science and Engineering, Daegu, Korea; Kyungpook National University, School of Computer Science and Engineering, Daegu, Korea; Kyungpook National University, School of Computer Science and Engineering, Daegu, Korea; Kyungpook National University, School of Computer Science and Engineering, Daegu, Korea; Kyungpook National University, School of Computer Science and Engineering, Daegu, Korea",2018 12th International Conference on Signal Processing and Communication Systems (ICSPCS),,2018,,,1,4,"The smart city notion facilitate interoperation among multiple disciplines to improve the Quality of Life (QoL) of urban citizens. Unceasingly growing urban networks has significantly increased the data processing complexity. In consequence, real-time data processing and analysis has become a major concern in modern smart city designing and implementation. Considering the challenges of existing smart cities, in this work we propose a smart city architecture embedded with Big Data Analytics (BDA). The utmost goal of the proposed scheme is to enhance the quality of real-time decision-making through efficient Big Data (BD) processing. The proposed architecture is in three folds to manage data collection, data processing, and data application. We evaluate the proposed BDA embedded smart city using authentic datasets on water consumption, traffic congestion, parking management, and air pollution measurements. The analysis offer useful insights for the community development, while ensuring the performance improvement of the proposed framework in terms of processing time and throughput.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8631726,smart city;Big Data smart city;WoT smart city;urban planning,Smart cities;Big Data;Computer architecture;Computer science;Throughput,Big Data;data analysis;decision making;smart cities;town and country planning,urban planning;smart city performance improvement;smart city notion;urban citizens;urban networks;data processing complexity;smart city architecture;real-time decision-making;data collection;data application;Big Data analytics;Big Data processing;quality of life;QoL,,,14,,,,,IEEE,IEEE Conferences,,,,,,
IoT Driven with Big Data Analytics and Block Chain Application Scenarios,P. Manjunath; M. Prakruthi; P. Gajkumar Shah,"Ph.D. Scholar in Computer Science, Jain University, Bangalore; Ph.D. Scholar in Computer Science, Jain University, Bangalore; Department of Computer Science, Jain University, Bangalore",2018 Second International Conference on Green Computing and Internet of Things (ICGCIoT),,2018,,,569,572,"The Big Data, Block chain and the Internet of Things (IoT) are the key names in the technology development of these eras. There are undoubtedly differences between the three technologies, but there are also firm relationships that increase the system operations, practicability, and adoptability. As the domain Block chain and the Internet of Things (IoT) are just infant domain and, still it's undergoing more and further development events, and the Internet of Things(IoT) is producing a larger set of the data and adopted across the different industries such as healthcare, smart cities development, retail, banking and public administration and real time application forecasting, the well-analyzed data is tremendously valuable the Big Data Analytics will suffice this needs, and on the other side the Block chain will provide more secured transaction of the data, and it provides contracts, and more other applications plus integration and Big Data Analytics can be integrated on top of it. In this paper will focus on the incorporation of the all three technologies or domain, such as Big Data Analytics, Block chain and the Internet of Things (IoT). We concluded that all the three technology Big Data Analytics, Block chain and the Internet of Things (IoT) would play a vital role in resolving each other constraints. Based on our analysis and case studies it will help for future work research.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8752973,Big Data Analytics;Block Chain;IoT architectures;IoT- Smart City;Security,,Big Data;cryptography;data analysis;distributed databases;Internet of Things,Internet of Things;big data analytics;block chain application scenarios,,,25,,,,,IEEE,IEEE Conferences,,,,,,
Visual Big Data Analytics for Traffic Monitoring in Smart City,D. Singh; C. Vishnu; C. K. Mohan,"Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Hyderabad, Kandi, India; Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Hyderabad, Kandi, India; Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Hyderabad, Kandi, India",2016 15th IEEE International Conference on Machine Learning and Applications (ICMLA),,2016,,,886,891,"The application such as video surveillance for traffic control in smart cities needs to analyze the large amount (hours/days) of video footage in order to locate the people who are violating the traffic rules. The traditional computer vision techniques are unable to analyze such a huge amount of visual data generated in real-time. So, there is a need for visual big data analytics which involves processing and analyzing large scale visual data such as images or videos to find semantic patterns that are useful for interpretation. In this paper, we propose a framework for visual big data analytics for automatic detection of bike-riders without helmet in city traffic. We also discuss challenges involved in visual big data analytics for traffic control in a city scale surveillance data and explore opportunities for future research.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7838263,Visual Big Data Analytics;Smart City;Traffic Control;Machine Learning,Streaming media;Visualization;Feature extraction;Surveillance;Cloud computing;Big data,Big Data;data analysis;data visualisation;image classification;object detection;smart cities;traffic engineering computing,visual Big Data analytics;traffic monitoring;smart city;traffic control;computer vision techniques;data processing;data analysis;semantic patterns,,16,19,,,,,IEEE,IEEE Conferences,,,,,,
Smart City Services - Challenges and Approach,P. P. T.; S. K. L.,"BEL Software Technology Centre Bharat Electronics Limited, Bangalore, India; BEL Software Technology Centre Bharat Electronics Limited, Bangalore, India","2019 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COMITCon)",,2019,,,553,558,"Smart city as a concept envisions building of smart services in heterogeneous domains like health care, waste management, traffic management by intelligently managing and controlling web of interconnected heterogeneous end systems. Smart city requires development of technology that leverages data generated from Internet of things and also to control these end systems in a smart manner. This paper describes various possible smart city services and adaptation of micro services based architectural approach in building smart services. The Paper further describes security and privacy considerations that need to be addressed in micro services based approach.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8862243,Internet of Things;Smart City;Micro Services;Security in Smart City;Privacy in Smart City;Smart city architecture,Connectors;Smart cities;Smart devices;Water resources;Data analysis;Intelligent sensors,data privacy;Internet of Things;security of data;smart cities;ubiquitous computing,microservices;heterogeneous domains;health care;waste management;traffic management;interconnected heterogeneous end systems;smart city services,,,11,,,,,IEEE,IEEE Conferences,,,,,,
Service-Oriented Architecture for Big Data Analytics in Smart Cities,J. Al-Jaroodi; N. Mohamed,"Dept. of Eng., Robert Morris Univ., Morris, IL, USA; Middleware Technol. Lab., Pittsburgh, PA, USA","2018 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",,2018,,,633,640,"A smart city has recently become an aspiration for many cities around the world. These cities are looking to apply the smart city concept to improve sustainability, quality of life for residents, and economic development. The smart city concept depends on employing a wide range of advanced technologies to improve the performance of various services and activities such as transportation, energy, healthcare, and education, while at the same time improve the city's resources utilization and initiate new business opportunities. One of the promising technologies to support such efforts is the big data technology. Effective and intelligent use of big data accumulated over time in various sectors can offer many advantages to enhance decision making in smart cities. In this paper we identify the different types of decision making processes involved in smart cities. Then we propose a service-oriented architecture to support big data analytics for decision making in smart cities. This architecture allows for integrating different technologies such as fog and cloud computing to support different types of analytics and decision-making operations needed to effectively utilize available big data. It provides different functions and capabilities to use big data and provide smart capabilities as services that the architecture supports. As a result, different big data applications will be able to access and use these services for varying proposes within the smart city.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411081,Smart City;Big Data;Service-Oriented Architecture;Cloud Computing;Fog Computing;Middleware,Smart cities;Big Data;Cloud computing;Decision making;Wireless sensor networks;Service-oriented architecture,Big Data;cloud computing;data analysis;decision making;service-oriented architecture;smart cities;town and country planning,smart city concept;big data technology;service-oriented architecture;big data analytics;smart cities;economic development;business opportunities;decision making;cloud computing;fog computing;big data applications,,1,31,,,,,IEEE,IEEE Conferences,,,,,,
Real Time Big Data Analytics in Smart City Applications,Manjunatha; B. Annappa,"Dept. of Computer Science and Engineering, National Institute of Technology Karnataka, Surathkal, India; Dept. of Computer Science and Engineering, National Institute of Technology Karnataka, Surathkal, India","2018 International Conference on Communication, Computing and Internet of Things (IC3IoT)",,2018,,,279,284,"Technological revolution in the recent past has enabled the concept of Smart City for urban development. Smart City concept is conceived with the objectives of providing better services to the citizens and improves the quality of life. Information and Communication Technology (ICT) and Internet of Things (IoT) made smart city applications as much simpler and effective. Big data technologies play a major role in smart city applications. This paper gives an overview of the role of big data in building smart city applications and proposes a framework for real time big data analytics. Real-time big data analytics help in making better decisions and more accurate predictions at right time to offer better services to the citizens. Here, we discussed some of important solutions and services for the smart city where the real-time big data analytics helps in improving the quality of services in smart city applications.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8668106,Smart City;Big Data;Real-Time Analytics;Internet of Things,Real-time systems;Smart cities;Big Data;Internet of Things;Monitoring;Information and communication technology,Big Data;data analysis;Internet of Things;public administration;real-time systems;smart cities;town and country planning,Smart City concept;big data technologies;real-time big data analytics;urban development;information and communication technology;Internet of Things,,,14,,,,,IEEE,IEEE Conferences,,,,,,
Design and Construction of a Big Data Analytics Framework for Health Applications,M. Kuo; D. Chrimes; B. Moa; W. Hu,"Sch. of Health Inf. Sci., Univ. of Victoria, Victoria, BC, Canada; Sch. of Health Inf. Sci., Univ. of Victoria, Victoria, BC, Canada; Compute Canada/WestGrid, Univ. of Victoria, Victoria, BC, Canada; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China",2015 IEEE International Conference on Smart City/SocialCom/SustainCom (SmartCity),,2015,,,631,636,"We propose to establish a framework for supporting Big Data Analytics (BDA) on real healthcare big data. To test the analytic framework, we used UVic WestGrid (4412 cores computer cluster) to analyze the emulation of 10 billion healthcare records that represented the main hospital system and its reporting via its data warehouse stored at Vancouver Island Health Authority (VIHA). The study showed that the build of the BDA platform requires changes to the configurations to the MapReduce component of Hadoop (HDFS) and to the indexing of HBASE. The ingestion and replication of the data over a large volume iteratively offers a method for data migration of large volumes of real healthcare data via HDFS and to query in that some distributed filing system. Furthermore, the query performance was very satisfied via Apache Phoenix layer that is run in parallel across all nodes on HBASE. The study has demonstrated that the proposed BDA process and configuration met patient data security and performance requirements of healthcare BDA.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7463794,Big Data;Big Data Analytics;Data Mining;Healthcare;Data privacy,Big data;Medical services;Data privacy;Distributed databases;Data warehouses;Data analysis,Big Data;data warehouses;health care;indexing;multiprocessing systems;parallel processing,health applications;Big Data Analytics;health care big data;UVic WestGrid;computer cluster;healthcare records;hospital system;data warehouse;Vancouver Island Health Authority;MapReduce component;Hadoop;indexing;HBASE;distributed filing system;Apache Phoenix layer;patient data security,,7,34,,,,,IEEE,IEEE Conferences,,,,,,
Big data analytics in smart mobility: Modeling and analysis of the Aarhus smart city dataset,J. Zenkert; M. Dornhofer; C. Weber; C. Ngoukam; M. Fathi,"University of Siegen Institute of Knowledge Based Systems and Knowledge Management, Department of Electrical Engineering and Computer Science, Germany; University of Siegen Institute of Knowledge Based Systems and Knowledge Management, Department of Electrical Engineering and Computer Science, Germany; University of Siegen Institute of Knowledge Based Systems and Knowledge Management, Department of Electrical Engineering and Computer Science, Germany; University of Siegen Institute of Knowledge Based Systems and Knowledge Management, Department of Electrical Engineering and Computer Science, Germany; University of Siegen Institute of Knowledge Based Systems and Knowledge Management, Department of Electrical Engineering and Computer Science, Germany",2018 IEEE Industrial Cyber-Physical Systems (ICPS),,2018,,,363,368,"A smart city is a modern and visionary approach for a city to provide intelligent and smart urban services by using information and communication technologies (ICT). The Internet of Things (IoT), emerging through intelligent networking and sensing technologies, is seen as the data-driven enabler for smart cities with current and future infrastructures. The Open Data Aarhus datasets have been created from sensor data in the city Aarhus in Denmark. This paper presents how big data technologies in the context of smart cities are used to implement a framework with a prototype R Shiny application to analyze road traffic and pollution data to make a step towards smart mobility. The main objective of the approach is the calculation and visualization of the least polluted route from a chosen start to an end point by applying an algorithm utilizing the MapReduce framework running on a Hadoop cluster.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387685,Smart City;Smart Mobility;Big Data Analytics;MapReduce,Roads;Pollution;Smart cities;Task analysis;Big Data;Meteorology,Big Data;data analysis;data handling;Internet of Things;parallel processing;road traffic;smart cities,intelligent services;smart urban services;intelligent networking;sensing technologies;Open Data Aarhus datasets;sensor data;city Aarhus;smart mobility;Aarhus smart city dataset;information and communication technologies;Big Data analytics;Internet of Things;IoT;R Shiny application;road traffic data analysis;pollution data analysis;MapReduce framework;Hadoop cluster,,1,12,,,,,IEEE,IEEE Conferences,,,,,,
A Smart Eco-System for Parking Detection Using Deep Learning and Big Data Analytics,S. N. R. Mettupally; V. Menon,"University of Alabama in Huntsville,Department of Computer Science,Huntsville,USA; University of Alabama in Huntsville,Department of Computer Science,Huntsville,USA",2019 SoutheastCon,,2019,,,1,4,"This work aims to conduct a comprehensive study on existing parking infrastructures and proposes intelligent parking solutions using novel Big Data Analytics with Deep Learning techniques. This research addresses the parking problems faced in most of the cities and growing colleges like University of Alabama in Huntsville (UAH). In this study, segmented images of parking spaces occupied by cars as well as available empty lots were extracted as spatial information and fed to a Convolutional Neural Network (CNN)-based Deep Learning framework. We expect this incorporation of spatial-temporal information would enhance the classification performance of CNNs. For proof-of concept, performance will be validated on a free parking lot dataset-PKLot from Universidade Federal do Parana in Brazil. After desired classification performance is achieved, our robust CNN classification framework can be deployed on a cloud server to classify images in real-time. We also plan to release a parking-support mobile application (Android/IOS) that would display the real-time grid layout of empty and occupied parking spots using GPS information of the user. This app will be constantly updated based on parking information from the cloud-classifier. We expect that the outcome of this study will assist people in managing their time efficiently in finding their closest parking spot. It is also expected to ease the traffic flow and provide better parking management services.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020502,Parking;Big Data Analytics;Neural Networks;Smart City;IOT;Object Detection,Automobiles;Sensors;Real-time systems;Image segmentation;Computational modeling;Machine learning;Object detection,,,,,18,,,,,IEEE,IEEE Conferences,,,,,,
Service-Oriented Big Data Analytics for Improving Buildings Energy Management in Smart Cities,N. Mohamed; J. Al-Jaroodi; I. Jawhar,"Middleware Technologies Lab, Pittsburgh, Pennsylvania, USA; Department of Engineering, Robert Morris University, Moon Township, Pennsylvania, USA; Midcomp Research Center, Saida, Lebanon",2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC),,2018,,,1243,1248,"This paper proposes a service-oriented architecture to support big data analytics for buildings energy management in smart cities. This architecture allows for seamlessly integrating different technologies such as fog and cloud computing to support different types of analytics and decision-making operations. These operations are needed to effectively utilize available big data for optimizing energy consumption for residential, industrial, and commercial buildings in smart cities. The paper also recognizes the different kinds of decision making processes required by a smart city to effectively manage energy efficiency for its buildings. These decision-making processes can be implemented and deployed as services in the proposed architecture.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450469,Smart City;Smart Building;Big Data;Data Analytics;Service-Oriented Architecture;Cloud Computing;Fog Computing,Smart buildings;Big Data;Smart cities;Decision making;Cloud computing;Energy management,Big Data;building management systems;cloud computing;data analysis;decision making;energy conservation;energy management systems;service-oriented architecture,smart city;service-oriented architecture;decision-making operations;energy consumption;residential buildings;commercial buildings;energy efficiency;service-oriented big data analytics;industrial buildings;buildings energy management,,,25,,,,,IEEE,IEEE Conferences,,,,,,
