"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"WeChat Text and Picture Messages Service Flow Traffic Classification Using Machine Learning Technique","M. Shafiq; X. Yu; A. A. Laghari; L. Yao; N. K. Karn; F. Abdesssamia; Salahuddin","School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, PR, China","2016 IEEE 18th International Conference on High Performance Computing and Communications; IEEE 14th International Conference on Smart City; IEEE 2nd International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","26 Jan 2017","2016","","","58","62","Network Traffic Classification carries great importance for both internet service providers (ISPs) and quality of services (QoSs) management. During the last two decades, a lot of machine learning models have been proposed and applied on different types of real time applications to classify their real time traffic and obtain very proficient accuracy results. However, no research has been done on WeChat text and picture messages traffic classification. In this paper, WeChat text and picture messages traffics are classified using two different types of datasets and 4 well-known machine learning algorithms. These two datasets, Harbin Institute of Technology (HIT) and Dorm13, are collected from two different network environments. Having captured the traffic 50 features, they are extracted respectively. Thereafter, well-known four machine learning algorithms C4.5 decision tree, Bayes Net, Naïve Bayes and SVM are used to classify WeChat text and picture messages traffic. Experimental result analysis show that using HIT data set all the applied machine learning classifiers classify WeChat text and picture messages traffic very accurately as compared to Dorm13 dataset. Using HIT dataset, all ML classifier perform very well, but C4.5 and SVM are the ones that give very effective accuracy results of 99.91% and 99.57% respectively as compared to other ML classifiers.","","978-1-5090-4297-5","10.1109/HPCC-SmartCity-DSS.2016.0019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828360","Traffic Classification;WeChat;Message;Text and Picture;Machine Learning","Machine learning algorithms;Support vector machines;Training;Classification algorithms;Feature extraction;Decision trees;Message service","Bayes methods;belief networks;decision trees;Internet;learning (artificial intelligence);pattern classification;quality of service;support vector machines;telecommunication traffic;text analysis","SVM;naïve Bayes;Bayes net;decision tree;Dorm13;HIT;Harbin Institute of Technology;QoSs;quality of services;ISPs;Internet service providers;machine learning;picture messages service flow traffic classification;Wechat text","","9","","23","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
"Smart City Services - Challenges and Approach","P. P. T.; S. K. L.","BEL Software Technology Centre Bharat Electronics Limited, Bangalore, India; BEL Software Technology Centre Bharat Electronics Limited, Bangalore, India","2019 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COMITCon)","11 Oct 2019","2019","","","553","558","Smart city as a concept envisions building of smart services in heterogeneous domains like health care, waste management, traffic management by intelligently managing and controlling web of interconnected heterogeneous end systems. Smart city requires development of technology that leverages data generated from Internet of things and also to control these end systems in a smart manner. This paper describes various possible smart city services and adaptation of micro services based architectural approach in building smart services. The Paper further describes security and privacy considerations that need to be addressed in micro services based approach.","","978-1-7281-0211-5","10.1109/COMITCon.2019.8862243","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8862243","Internet of Things;Smart City;Micro Services;Security in Smart City;Privacy in Smart City;Smart city architecture","Connectors;Smart cities;Smart devices;Water resources;Data analysis;Intelligent sensors","data privacy;Internet of Things;security of data;smart cities;ubiquitous computing","microservices;heterogeneous domains;health care;waste management;traffic management;interconnected heterogeneous end systems;smart city services","","5","","11","IEEE","11 Oct 2019","","","IEEE","IEEE Conferences"
"Making IoT Data Ready for Smart City Applications","R. Lee; R. -y. Jang; M. Park; G. -y. Jeon; J. -k. Kim; S. -h. Lee","Research Data Sharing Center, KISTI 245 Daehak-ro, Yuseong-gu, Daejeon, Korea; Research Data Sharing Center, KISTI 245 Daehak-ro, Yuseong-gu, Daejeon, Korea; Research Data Sharing Center, KISTI 245 Daehak-ro, Yuseong-gu, Daejeon, Korea; Department of Business-statistics, Hannam University, Korea; Department of Literary-creation, Hannam University, Korea; Research Data Sharing Center, KISTI 245 Daehak-ro, Yuseong-gu, Daejeon, Korea","2020 IEEE International Conference on Big Data and Smart Computing (BigComp)","20 Apr 2020","2020","","","605","608","Modern smart city projects are evolving to the next level of data-centric situation awareness and decision makings, thereby requiring much intensive data integration over various data sources made from city space. In order to satisfy a variety of data demands for diverse smart city applications, we have been developing an integrated IoT data service, IoTDA, to provide essential data-oriented services from data collecting to deep learning based data analysis. In this paper, we introduce the overall architecture and functions of the service platform and explain how the platform will be used with a case study of road surface analysis. In particular, we examine how our data service can be connected to public smart city applications and present the common direction that these types of urban data services should provide for advanced city services.","2375-9356","978-1-7281-6034-4","10.1109/BigComp48618.2020.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9070700","IoT Data Service;Smart City;Deep Learning Service;Traffic Data Analysis;Visual Data Analysis","Roads;Videos;Smart cities;Machine learning;Data analysis;Task analysis;Data integration","data analysis;decision making;Internet of Things;learning (artificial intelligence);smart cities","data demands;integrated IoT data service;data-oriented services;deep learning based data analysis;service platform;road surface analysis;public smart city applications;urban data services;IoT data ready;data-centric situation awareness;decision makings;data integration;data sources;smart city projects;IoTDA","","18","","4","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Deep cross altitude visual interpretation for service robotic agents in smart city","M. H. Abbasi; B. Majidi; M. T. Manzuri","Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran","2018 6th Iranian Joint Congress on Fuzzy and Intelligent Systems (CFIS)","12 Apr 2018","2018","","","79","82","Multi-agent robotic platforms are increasingly used for various commercial applications. In this paper, a cross altitude visual analytic framework for a group of robots, singularly referred to as MOdular RApidly Deployable Decision Support Agent (MORAD DSA), used for decision support and various services in the smart city environment is presented. The robotic subsystem consists of two agents operating in different altitudes. These agents give the decision support system the ability to have encompassing view of the operating environment. The visual analytic system which is the focus of this paper uses a deep convolutional neural network to learn the complex patterns required by the urban management responsibilities. Several smart city applications such as sidewalk pavement inspection, sidewalk sweeping, rubbish detection and parks management scenarios are used for real world simulation of the proposed framework. The experimental results show that the proposed algorithm is capable of performing complex inspection and decision-making tasks required for smart city management.","","978-1-5386-2836-2","10.1109/CFIS.2018.8336636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8336636","Robotics;Computer Vision;Intelligent Systems;Deep Learning;Machine Learning","Smart cities;Robots;Inspection;Task analysis;Visualization;Machine vision","data analysis;data visualisation;decision support systems;inspection;mobile robots;multi-agent systems;multi-robot systems;neurocontrollers;robot vision;service robots;town and country planning","rubbish detection;smart city management;deep cross altitude visual interpretation;service robotic agents;multiagent robotic platforms;cross altitude visual analytic framework;MORAD DSA;robotic subsystem;decision support system;deep convolutional neural network;urban management responsibilities;smart city applications;sidewalk pavement inspection;inspection;modular rapidly deployable decision support agent;sidewalk sweeping;parks management","","18","","10","IEEE","12 Apr 2018","","","IEEE","IEEE Conferences"
"Mobile Mechanic - An innovative step towards Digital Automobile Service","J. Philip; S. Nayak; S. Patel; Y. Devashrayee","Department of Information Technology, Universal College of Engineering, Vasai; Universal College of Enaineering, Vasai; Universal College of Enaineering, Vasai; Universal College of Enaineering, Vasai","2018 International Conference on Smart City and Emerging Technology (ICSCET)","18 Nov 2018","2018","","","1","6","In the 21st century's work engrossed environment, everyone is in a rush to reach their destination on time, nothing should be a hindrance to their way of achieving their goal. Considering a real-life problem where a person faces troubles when their car breaks down in the middle of the road, can really become a major problem especially when this occurs on highways or distant places. This can be solved by using our application which can help the users to find nearby location of service or a repairing center. The application would be subdivided into two main sections namely the Mechanic's portal and the User's portal. Both these portals would require the respective user to either login or register themselves up before using the application. The location can be provided or obtained using the GPS available in mobile phones. The User's portal would display a map with the current location of themselves along with all the available repair shops around them, which shall be consistently updated using the plethora of location services available on Microsoft Azure Cloud. User can get detailed information about these shops along with a route to reach the desired mechanic shop, using Google Map API. Further, the same data shall be utilized for providing interest/choice based mechanic shops to future users, by implementing Data Analytics and Machine learning available as API's on Azure Cloud Services. This same data can be thereafter be cleansed and provided as employment opportunities for locations which have lesser mechanic reach and for various other assistance, by using Azure Big Data. The application will also be providing a SOS feature for women's safety and a DIY section consisting of videos and documents within the application would let the users try their hands at fixing their own vehicles on occasion of no network coverage or poor internet connectivity.","","978-1-5386-1185-2","10.1109/ICSCET.2018.8537243","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8537243","Cloud Computing;Big Data;Machine Learning;GPS;Google Map API;Data Analytics;SOS service;DIY;Mechanic Service;Women Safety;Digital India","Portals;Roads;Google;Registers;Password;Mobile handsets;Databases","application program interfaces;automobiles;cloud computing;data analysis;Global Positioning System;Internet;learning (artificial intelligence);mobile computing;mobile handsets;portals;traffic engineering computing","repairing center;Mechanic's portal;mobile phones;location services;Microsoft Azure Cloud;Google Map API;mechanic shops;Azure Cloud Services;Azure Big Data;DIY section;mobile mechanic;digital automobile service;GPS;repair shops;data analytics;machine learning","","","","6","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"Cyber Attacks Detection from Smart City Applications Using Artificial Neural Network","M. M. Rashid; J. Kamruzzaman; T. Imam; S. Kaisar; M. J. Alam","School of Engineering and Technology, CQUniversity, Australia; School of Engineering and Information Technology, and Physical sciences, Federation University, Australia; School of Business and Law, CQUniversity, Australia; School of Information systems, RMIT, Australia; Asia Pacific International College, Melbourne, Australia","2020 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE)","28 Apr 2021","2020","","","1","6","Recently, the widespread deployment of the Internet of Things (IoT) applications has contributed to the development of smart cities, which utilise smart applications to maximize operational efficiency, and thereby the quality of services and the wellbeing of people. In this paper, we propose an attack and anomaly detection technique based on machine learning algorithms to mitigate IoT cybersecurity threats in a smart city. Notably, while there are many different machine learning (ML) algorithms, including computationally expensive deep learning network, we opted for using artificial neural network (ANN) since an ANN can provide a simple and computationally faster architecture as needed for smart city operations. A widely used performance metrics, namely, accuracy, precision, recall, and F1 score are utilized to evaluate the model. Experiment results with the recent attack dataset demonstrate that the proposed technique can effectively identify the cyber attacks and outperform results reported in an existing work.","","978-1-6654-1974-1","10.1109/CSDE50874.2020.9411606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9411606","","Deep learning;Measurement;Machine learning algorithms;Smart cities;Computational modeling;Artificial neural networks;Quality of service","deep learning (artificial intelligence);Internet of Things;security of data;smart cities","artificial neural network;ANN;computationally faster architecture;smart city operations;cyber attacks detection;smart city applications;Internet of Things;anomaly detection technique;IoT cybersecurity threats;machine learning;deep learning","","","","16","IEEE","28 Apr 2021","","","IEEE","IEEE Conferences"
"Accuracy Analysis of Selected Time Series and Machine Learning Methods for Smart Cities based on Estonian Electricity Consumption Forecast","T. Häring; R. Ahmadiahangar; A. Rosin; T. Korõtko; H. Biechl","Smart City Center of Excellence (Finest Twins), Tallinn University of Technology, Tallinn, Estonia; Smart City Center of Excellence (Finest Twins), Tallinn University of Technology, Tallinn, Estonia; Smart City Center of Excellence (Finest Twins), Tallinn University of Technology, Tallinn, Estonia; Smart City Center of Excellence (Finest Twins), Tallinn University of Technology, Tallinn, Estonia; Institute of Electrical Power Systems (IEES), University of Applied Sciences Kempten, Kempten, Germany","2020 IEEE 14th International Conference on Compatibility, Power Electronics and Power Engineering (CPE-POWERENG)","7 Aug 2020","2020","1","","425","428","Increasing shares of renewable energy sources in combination with rising popularity of demand response applications and flexibility programs forces higher awareness for production and consumption balancing. Accurate models for forecasting are not just necessary for PV- or wind power sources in smart cities, but also the prediction of loads respectively consumption, which can be based on time series analysis or machine learning methods. Three of those methods, namely a linear regression (LM), a long short-term memory network (LSTM) and a neural network model (NN), have been selected to see their performance on predicting the load of a large smart city on the example of the Estonian electricity consumption data. Hourly data of the year 2019 was used as training data to predict the first 20 days of 2020. For this kind of prediction, the LM showed the lowest root mean square error (RMSE) and had the lowest computational time. The neural network was slightly less accurate. The LSTM showed the worst performance in terms of accuracy and computational time. Thus, LSTM is not the preferred method for this kind of prediction and the recommendation for forecasting such loads would be a LM because the RMSE and computational effort needed are lower than for a NN.","2166-9546","978-1-7281-4218-0","10.1109/CPE-POWERENG48600.2020.9161690","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9161690","Time Series Analysis;Smart City;Machine Learning;Load Forecast;Load Prediction;Distribution Grid","Predictive models;Neural networks;Load modeling;Linear regression;Smart cities;Production;Forecasting","data analysis;learning (artificial intelligence);load forecasting;power consumption;power engineering computing;recurrent neural nets;regression analysis;renewable energy sources;smart cities;time series","accuracy analysis;machine learning methods;smart city;Estonian electricity consumption forecast;renewable energy sources;time series analysis;long short-term memory network;LSTM;neural network model;Estonian electricity consumption data;linear regression;time 20.0 d","","7","","16","IEEE","7 Aug 2020","","","IEEE","IEEE Conferences"
"Machine learning-based product recommendation using Apache Spark","L. Chen; R. Li; Y. Liu; R. Zhang; D. M. -k. Woodbridge","Master of Science in Analytics (MSAN) Program, University of San Francisco, San Francisco, California; Master of Science in Analytics (MSAN) Program, University of San Francisco, San Francisco, California; Master of Science in Analytics (MSAN) Program, University of San Francisco, San Francisco, California; Master of Science in Analytics (MSAN) Program, University of San Francisco, San Francisco, California; Master of Science in Analytics (MSAN) Program, University of San Francisco, San Francisco, California","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","28 Jun 2018","2017","","","1","6","There have been growing interests in the area of recommender systems using machine learning techniques. As there are a great number of explicit and implicit features that can be used for estimating user preference, it requires scalable and accurate algorithms along with a system with high availability and scalability. Alternating least square matrix (ALS) algorithm is an enhanced version of latent factor models using matrix factorization with good scalability and predictive accuracy. Apache Spark is an open-source distributed platform for processing big data, achieving good speed and scalability suitable for iterative machine learning algorithms. Amazon offers cloud computing services with various functionality including data storage and processing engines and is highly available and scalable. In this study, we applied the ALS algorithm using Apache Spark running on an Amazon Web Service (AWS) Elastic Map Reduce (EMR) cluster for recommending a product with a good accuracy and enhanced scalability.","","978-1-5386-0435-9","10.1109/UIC-ATC.2017.8397470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397470","collaborative learning;machine learning;Apache Spark;Amazon Web Service (AWS)","Sparks;Prediction algorithms;Scalability;Data models;Mathematical model;Recommender systems","Big Data;cloud computing;learning (artificial intelligence);marketing;matrix decomposition;recommender systems;Web services","high availability;alternating least square matrix algorithm;ALS;enhanced version;latent factor models;matrix factorization;good scalability;predictive accuracy;Apache Spark;open-source distributed platform;processing big data;iterative machine learning algorithms;cloud computing services;functionality including data storage;processing engines;Amazon Web Service Elastic Map Reduce cluster;enhanced scalability;product recommendation;recommender systems;machine learning techniques;user preference;AWS;EMR","","7","","12","IEEE","28 Jun 2018","","","IEEE","IEEE Conferences"
"Holistic Solution Design and Implementation for Smart City Recycle Waste Management Case Study: Saensuk City","K. Thibuy; S. Thokrairak; P. Jitngernmadan","Faculty of Informatics, Burapha University, Chon Buri, Thailand; Faculty of Informatics, Burapha University, Chon Buri, Thailand; Faculty of Informatics, Burapha University, Chon Buri, Thailand","2020 - 5th International Conference on Information Technology (InCIT)","11 Jan 2021","2020","","","233","237","Recycling waste is valuable waste due to its potential to be used as raw material. According to our observation and data collection at the Bangsaen Beach, Saensuk City, Chon Buri Province, Thailand, a lot of valuable waste is being thrown away instead of being collected and separated properly. This leads to not only the raw material problem but also the environmental pollution. We found out that the 2 main reasons cause people do not litter their waste appropriately are 1) they lack of basic knowledge how to separate the valuable waste correctly, and 2) they lack of motivation to separate the valuable waste. From this point of view, we designed a holistic waste management system that tries to tackle these problems using modern Information Technology. The system consists of 2 parts; the first one is the software design and implementation including web-based waste management application and mobile-application-based rewarding system; whereas the second one is the hardware design and implementation based on Internet of Things and Machine Learning technology. This part can recognize and separate 3 kinds of waste automatically, namely glass bottles, plastic bottles, and metal cans. The system is tested and it functions as expected. It can separate the mentioned 3 kinds of waste with good results. The rewarding system on mobile application allows the people to collect the points and get rewarded. This motivates them to litter their waste properly.","","978-1-7281-6694-0","10.1109/InCIT50588.2020.9310948","Burapha University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310948","Recycle Waste Management;Internet of Things;Machine Learning;Smart City","Recycling;Mobile applications;Hardware;Waste management;Intelligent sensors;Artificial intelligence;Standards","bottles;design engineering;environmental science computing;information technology;Internet;Internet of Things;learning (artificial intelligence);mobile computing;plastic products;raw materials;recycling;separation;waste handling;waste recovery;waste reduction","holistic solution design;Saensuk City;valuable waste;raw material;holistic waste management system;mobile-application-based rewarding system;smart city recycle waste management;Bangsaen Beach;Thailand;Chon Buri Province;waste separation;waste collection;environmental pollution;information technology;software design;web-based waste management application;hardware design;Internet of Things;machine learning technology;glass bottles;plastic bottles;metal cans","","6","","6","IEEE","11 Jan 2021","","","IEEE","IEEE Conferences"
"Travel Time Prediction: Comparison of Machine Learning Algorithms in a Case Study","F. Goudarzi","College of Engineering, Design and Physical Sciences Brunel University, London, UK","2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","24 Jan 2019","2018","","","1404","1407","Travel time prediction has important applications within the field of intelligent transportation, such as vehicle routing, congestion and traffic management. A challenging task in travel time prediction is obtaining data that is not readily available, as a clear majority of links in roads network are not equipped with traffic sensors. In this paper, data of travel time is collected for a link using Google Maps Application Programming Interface (API). Then, travel times are predicted for short horizons of up to one hour on the link by applying machine learning algorithms. The Mean Absolute Error (MAE) of predictions are compared. The study indicates that a shallow Artificial Neural Network (ANN) can provide more accurate prediction than the other algorithms.","","978-1-5386-6614-2","10.1109/HPCC/SmartCity/DSS.2018.00232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622970","Travel time prediction;Machine learning;Google maps API;Nearest neighbor;Linear regression;Neural network","Roads;Google;Artificial neural networks;Predictive models;Machine learning algorithms;Data models","application program interfaces;data handling;learning (artificial intelligence);mean square error methods;neural nets;road traffic;traffic engineering computing;transportation","travel time prediction;machine learning algorithms;intelligent transportation;vehicle routing;traffic management;traffic sensors;travel time data collection;mean absolute error;MAE;artificial neural network;ANN;Google Maps application programming interface;API","","10","","16","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
