"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Machine Learning Framework for Sleeping Cell Detection in a Smart-City IoT Telecommunications Infrastructure","O. G. Manzanilla-Salazar; F. Malandra; H. Mellah; C. Wetté; B. Sansò","Polytechnique Montréal, Montreal, Canada; Department of Electrical Engineering, University at Buffalo, Buffalo, USA; Polytechnique Montréal, Montreal, Canada; Ericsson, Stockholm, Sweden; Polytechnique Montréal, Montreal, Canada","IEEE Access","8 Apr 2020","2020","8","","61213","61225","The smooth operation of largely deployed Internet of Things (IoT) applications will depend on, among other things, effective infrastructure failure detection. Access failures in wireless network Base Stations (BSs) produce a phenomenon called “sleeping cells”, which can render a cell catatonic without triggering any alarms or provoking immediate effects on cell performance, making them difficult to discover. To detect this kind of failure, we propose a Machine Learning (ML) framework based on the use of Key Performance Indicators (KPIs) statistics from the BS under study, as well as those of the neighboring BSs with propensity to have their performance affected by the failure. A simple way to define neighbors is to use adjacency in Voronoi diagrams. In this paper, we propose a much more realistic approach based on the nature of radio-propagation and the way devices choose the BS to which they send access requests. We gather data from large-scale simulators that use real location data for BSs and IoT devices and pose the detection problem as a supervised binary classification problem. We measure the effects on the detection performance by the size of time aggregations of the data, the level of traffic and the parameters of the neighborhood definition. The Extra Trees and Naive Bayes classifiers achieve Receiver Operating Characteristic (ROC) Area Under the Curve (AUC) scores of 0.996 and 0.993, respectively, with False Positive Rates (FPRs) under 5%. The proposed framework holds potential for other pattern recognition tasks in smart-city wireless infrastructures, that would enable the monitoring, prediction and improvement of the Quality of Service (QoS) experienced by IoT applications.","2169-3536","","10.1109/ACCESS.2020.2983383","NSERC and Ericsson(grant numbers:CRDPJ 520642); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9046847","Failure detection;IoT;M2M communications;machine learning;sleeping cells;smart cities;wireless networks","Internet of Things;Telecommunications;Computer architecture;Microprocessors;Smart cities;Cellular networks","Bayes methods;computational geometry;Internet of Things;learning (artificial intelligence);pattern classification;pattern recognition;quality of service","smart-city IoT telecommunications infrastructure;Internet of Things;access failures;cell catatonic;Voronoi diagrams;access requests;IoT devices;supervised binary classification problem;smart-city wireless infrastructures;sleeping cell detection;infrastructure failure detection;wireless network base stations;key performance indicators statistics;machine learning;Quality of Service;receiver operating characteristic","","7","","33","CCBY","25 Mar 2020","","","IEEE","IEEE Journals"
"A Review of Predictive Quality of Experience Management in Video Streaming Services","M. Torres Vega; C. Perra; F. De Turck; A. Liotta","imec-IDLab, Ghent University, Ghent, Belgium; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; imec-IDLab, Ghent University, Ghent, Belgium; Data Science Center, University of Derby, Derby, U.K.","IEEE Transactions on Broadcasting","5 Jun 2018","2018","64","2","432","445","Satisfying the requirements of devices and users of online video streaming services is a challenging task. It requires not only managing the network quality of service but also to exert real-time control, addressing the user's quality of experience (QoE) expectations. QoE management is an end-to-end process that, due to the ever-increasing variety of video services, has become too complex for conventional “reactive” techniques. Herein, we review the most significant “predictive” QoE management methods for video streaming services, showing how different machine learning approaches may be used to perform proactive control. We pinpoint a selection of the best suited machine learning methods, highlighting advantages and limitations in specific service conditions. The review leads to lessons learned and guidelines to better address QoE requirements in complex video services.","1557-9611","","10.1109/TBC.2018.2822869","Italian Ministry of University and Research, through the Smart City framework CAGLIARI2020(grant numbers:PON04a2_00381); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8344556","Machine learning;quality of experience management;video streaming services","Quality of experience;Streaming media;Predictive models;Machine learning;Monitoring;Computational modeling;Prediction algorithms","learning (artificial intelligence);quality of experience;quality of service;video streaming","online video streaming services;real-time control;specific service conditions;complex video services;machine learning approaches;predictive quality of experience management;predictive QoE management methods;network quality of service;reactive techniques;proactive control","","36","","76","IEEE","20 Apr 2018","","","IEEE","IEEE Journals"
"A Survey on an Emerging Area: Deep Learning for Smart City Data","Q. Chen; W. Wang; F. Wu; S. De; R. Wang; B. Zhang; X. Huang","Department of Computer Science and Software Engineering, Xi’an Jiaotong Liverpool University, Suzhou, China; Department of Computer Science and Software Engineering, Xi’an Jiaotong Liverpool University, Suzhou, China; Department of Computer Science and Software Engineering, Xi’an Jiaotong Liverpool University, Suzhou, China; Institute for Communication Systems (ICS), University of Surrey, Guildford, U.K.; Institute of Natural and Mathematical Sciences, Massey University, Auckland, New Zealand; Department of Computer Science and Software Engineering, Xi’an Jiaotong Liverpool University, Suzhou, China; Soochow University, Suzhou, China","IEEE Transactions on Emerging Topics in Computational Intelligence","23 Sep 2019","2019","3","5","392","410","Rapid urbanization has brought about great challenges to our daily lives, such as traffic congestion, environmental pollution, energy consumption, public safety, and so on. Research on smart cities aims to address these issues with various technologies developed for the Internet of Things. Very recently, the research focus has shifted toward processing of massive amount of data continuously generated within a city environment, e.g., physical and participatory sensing data on traffic flow, air quality, and health care. Techniques from computational intelligence have been applied to process and analyze such data, and to extract useful knowledge that helps citizens better understand their surroundings and informs city authorities to provide better and more efficient public services. Deep learning, as a relatively new paradigm in computational intelligence, has attracted substantial attention of the research community and demonstrated greater potential over traditional techniques. This paper provides a survey of the latest research on the convergence of deep learning and smart city from two perspectives: while the technique-oriented review pays attention to the popular and extended deep learning models, the application-oriented review emphasises the representative application domains in smart cities. Our study showed that there are still many challenges ahead for this emerging area owing to the complex nature of deep learning and wide coverage of smart city applications. We pointed out a number of future directions related to deep learning efficiency, emergent deep learning paradigms, knowledge fusion and privacy preservation, and hope these would move the relevant research one step further in creating truly distributed intelligence for smart cities.","2471-285X","","10.1109/TETCI.2019.2907718","Xi’an Jiaotong-Liverpool University(grant numbers:RDF-16-01-34); Jiangsu Planned Projects for Postdoctoral Research Funds(grant numbers:2018K005A); National Natural Science Foundation of China(grant numbers:61701418); Innovation Projects of The Next Generation Internet Technology(grant numbers:NGII20170301); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704334","Deep learning;smart city;machine learning;data processing;internet of things","Sensors;Deep learning;Smart cities;Data analysis;Data models;Computational intelligence","data mining;learning (artificial intelligence);smart cities;town and country planning","computational intelligence;efficient public services;research community;technique-oriented review;smart city applications;deep learning efficiency;smart city data;physical sensing data;participatory sensing data;city authorities;Internet of things;application-oriented review;representative application domains;knowledge fusion;privacy preservation;distributed intelligence","","81","","149","IEEE","1 May 2019","","","IEEE","IEEE Journals"
"Modular and Personalized Smart Health Application Design in a Smart City Environment","J. Venkatesh; B. Aksanli; C. S. Chan; A. S. Akyurek; T. S. Rosing","Computer Science and Engineering Department, University of California at San Diego, La Jolla, CA, USA; Electrical and Computer Engineering Department, San Diego State University, San Diego, CA, USA; Electrical and Computer Engineering Department, University of California at San Diego, La Jolla, CA, USA; Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA; Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA","IEEE Internet of Things Journal","10 Apr 2018","2018","5","2","614","623","The Internet of Things (IoT) envisions to create a smart, connected city that is composed of ubiquitous environmental and user sensing along with distributed, low-capacity computing. This provides ample information regarding the citizens in various smart environments. We can leverage this people-centric information, provided by the smart city infrastructure, to improve “smart health” applications: user data from connected wearable devices can be accompanied with ubiquitous environmental sensing and versatile actuation. The state-of-the-art in smart health applications is black-box, end-to-end implementations which are neither intended for use with heterogeneous data nor adaptable to a changing set of sensing and actuation. In this paper, we apply our modular approach for IoT applications - the context engine - to smart health problems, enabling the ability to grow with available data, use general-purpose machine learning, and reduce compute redundancy and complexity. For smart health, this improves response times for critical situations, more efficient identification of health-related conditions and subsequent actuation in a smart city environment. We demonstrate the potential with three sets of interconnected context-aware applications, extracting health-related people-centric context, such as user presence, user activity, air quality, and location from IoT sensors.","2327-4662","","10.1109/JIOT.2017.2712558","TerraSwarm, a funded center of STARnet; MARCO and DARPA through the Semiconductor Research Corporation Program; NSF(grant numbers:1446912); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7939979","Context-aware computation;Internet of Things (IoT);personalized health-care;smart health","Context;Internet of Things;Complexity theory;Smart cities;Engines;Intelligent sensors","health care;Internet of Things;learning (artificial intelligence);medical computing;smart cities","IoT applications;smart health problems;smart city environment;interconnected context-aware applications;Internet of Things;personalized smart health application design;modular smart health application design;smart connected city;health-related people-centric context extraction;health-related conditions;general-purpose machine learning;heterogeneous data;distributed low-capacity computing;connected wearable devices;user data;smart health applications;smart city infrastructure;people-centric information;smart environments;ubiquitous environmental user sensing","","49","","28","IEEE","6 Jun 2017","","","IEEE","IEEE Journals"
"Data-Driven Security for Smart City Systems: Carving a Trail","N. Mohamed; J. Al-Jaroodi; I. Jawhar; N. Kesserwan","Department of Computer Science, Information Systems, and Engineering, California University of Pennsylvania, California, USA; Department of Engineering, Robert Morris University, Moon, USA; Faculty of Engineering, Al Maaref University, Beirut, Lebanon; Department of Engineering, Robert Morris University, Moon, USA","IEEE Access","20 Aug 2020","2020","8","","147211","147230","Smart cities rely heavily on collecting and using data. Smart systems are implemented and deployed to provide intelligent features that help improve efficiency and quality of life. This creates a huge repository of data representing many aspects of smart city operations. Many data-driven applications can take advantage of this data to further improve the “smartness” of a smart city. At the same time, smart city systems, being very large-scale distributed systems and highly integrated with the physical infrastructure and residents of the city, pose immense security challenges as well. So why don't we take advantage of this data to improve security measures? In this paper we propose the use of data-driven security approaches to secure smart city systems. To illustrate the significance of this approach we first identify the different challenges for securing smart city systems given the unique characteristics of these systems. Then we discuss the benefits of using data-driven security. Furthermore, we categorize the different types of security applications (features) needed to help capitalize on the data needs and benefits. We also discuss the how these categories of applications can alleviate some of the challenges. In addition, we highlight possible future research directions to incorporate effective data-driven security in smart city systems.","2169-3536","","10.1109/ACCESS.2020.3015510","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163375","Smart city;data-driven security;cybersecurity;security protection techniques;security policies;security management","Security;Smart cities;Organizations;Internet of Things;Software;Machine learning","distributed processing;security of data;smart cities;town and country planning","smart systems;smart city operations;data-driven applications;smart city systems;data-driven security;large-scale distributed systems;security measures","","18","","91","CCBY","10 Aug 2020","","","IEEE","IEEE Journals"
"Machine Learning Approaches for EV Charging Behavior: A Review","S. Shahriar; A. R. Al-Ali; A. H. Osman; S. Dhou; M. Nijim","Department of Computer Science and Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Computer Science and Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Electrical Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Computer Science and Engineering, American University of Sharjah, Sharjah, United Arab Emirates; Department of Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, USA","IEEE Access","22 Sep 2020","2020","8","","168980","168993","As the smart city applications are moving from conceptual models to development phase, smart transportation is one of smart cities applications and it is gaining ground nowadays. Electric Vehicles (EVs) are considered one of the major pillars of smart transportation applications. EVs are ever growing in popularity due to their potential contribution in reducing dependency on fossil fuels and greenhouse gas emissions. However, large-scale deployment of EV charging stations poses multiple challenges to the power grid and public infrastructure. To overcome the issue of prolonged charging time, the simple solution of deploying more charging stations to increase charging capacity does not work due to the strain on power grids and physical space limitations. Therefore, researchers have focused on developing smart scheduling algorithms to manage the demand for public charging using modeling and optimization. More recently, there has been a growing interest in data-driven approaches in modeling EV charging. Consequently, researchers are looking to identify consumer charging behavior pattern that can provide insights and predictive analytics capability. The purpose of this article is to provide a comprehensive review for the use of supervised and unsupervised Machine Learning as well as Deep Neural Networks for charging behavior analysis and prediction. Recommendations and future research directions are also discussed.","2169-3536","","10.1109/ACCESS.2020.3023388","Department of Computer Science and Engineering and the Open Access Program from the American University of Sharjah, United Arab Emirates; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194702","Electric vehicles;machine learning;smart city;smart transportation;big data","Electric vehicle charging;Charging stations;Prediction algorithms;Machine learning;Smart cities;Optimization","battery powered vehicles;learning (artificial intelligence);neural nets;power engineering computing;power grids;scheduling;smart cities;smart power grids","consumer charging behavior pattern;EV charging behavior;smart city applications;conceptual models;development phase;smart cities applications;smart transportation applications;fossil fuels;greenhouse gas emissions;large-scale deployment;EV charging stations;power grid;prolonged charging time;charging capacity;smart scheduling algorithms;public charging;modeling optimization;data-driven approaches","","62","","96","CCBY","11 Sep 2020","","","IEEE","IEEE Journals"
"Distributed-to-Centralized Data Management: A New Sense of Large-Scale ICT Management of Smart City IoT Networks","A. Sinaeepourfard; J. Krogstie; S. Sengupta","Norwegian University of Science and Technology (NTNU); IDI Department; Fundació i2CAT, Spain","IEEE Internet of Things Magazine","27 Oct 2020","2020","3","3","76","82","Modern cities are equipped with various information and communications technology (ICT) resources including Internet of Things (IoT) devices, computing platforms, and data storage media. Data are one of the most valuable ICT resources in smart cities. Data management strategies play a vital role in managing the requirements of user and business models in a city. Using the benefits of data makes an agile, creative, and smart city via the widespread use of appropriate city services. Centralized and distributed-to-centralized data management (D2CDM) architectures are recommended to organize the large-scale produced city data in smart city networks, including physical data resources (e.g., sensor data) and nonphysical data sources (e.g., city consumer personal databases). In this article, we explain two different ICT technology management solutions for smart city networks in which the ICT resources in a city can be managed and delivered: centralized and distributed-to-centralized. We also describe two main strategies for data management in smart cities, and the advantages of D2C-DM are discussed based on two ongoing case studies. We also mention there is much room for future works and development of this study, such as developing software services in smart cities based on edge-to-cloud orchestration and enhancing the effectiveness of machine learning (ML) and artificial intelligence (AI) techniques through multilevel ICT architecture.","2576-3199","","10.1109/IOTM.0001.1900038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9241477","","Smart cities;Computer architecture;Distributed databases;Cloud computing;Internet of Things;Information and communications technology","cloud computing;database management systems;Internet of Things;learning (artificial intelligence);smart cities;software architecture;storage management;town and country planning","city services;distributed-to-centralized data management architectures;smart city networks;physical data resources;sensor data;nonphysical data sources;city consumer personal databases;multilevel ICT architecture;smart city IoT networks;data storage media;ICT resources;ICT management;ICT technology management solutions;information and communications technology;Internet of Things;business models;D2CDM;software services;edge-to-cloud orchestration;machine learning;artificial intelligence","","8","","20","IEEE","27 Oct 2020","","","IEEE","IEEE Magazines"
"Using Smart City Technology to Make Healthcare Smarter","D. J. Cook; G. Duncan; G. Sprint; R. L. Fritz","Washington State University, Pullman, WA, USA; Washington State University, Spokane, WA, USA; Gonzaga University, Spokane, WA, USA; Washington State University Vancouver, Vancouver, WA, USA","Proceedings of the IEEE","27 Mar 2018","2018","106","4","708","722","Smart cities use information and communication technologies (ICTs) to scale services include utilities and transportation to a growing population. In this paper, we discuss how smart city ICTs can also improve healthcare effectiveness and lower healthcare cost for smart city residents. We survey current literature and introduce original research to offer an overview of how smart city infrastructure supports strategic healthcare using both mobile and ambient sensors combined with machine learning. Finally, we consider challenges that will be faced as healthcare providers make use of these opportunities.","1558-2256","","10.1109/JPROC.2017.2787688","National Institutes of Health(grant numbers:R01EB015853); National Science Foundation(grant numbers:1543656); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8264687","Activity recognition;mobile health;pervasive computing;smart cities;smart environments","Medical services;Intelligent sensors;Smart cities;Mobile communication;Feature extraction;Mobile handsets;Electronic healthcare;Information and communication technology","health care;smart cities","smart cities;transportation;healthcare effectiveness;lower healthcare cost;smart city residents;smart city infrastructure;strategic healthcare;healthcare providers;smart city technology;smart city ICT","","111","","96","IEEE","22 Jan 2018","","","IEEE","IEEE Journals"
"IoT as a Service for Smart Cities and Nations","A. A. Brincat; F. Pacifici; F. Mazzola","T.net S.p.A, ComSoc; IoT Business Unit, IEEE IoTI Smart Cities Architecture WG; IoT Business Unit, T.net S.p.A","IEEE Internet of Things Magazine","13 Sep 2019","2019","2","1","28","31","Nowadays, smart city requirements foresee an intelligent frame work that enables integrated models toward an Internet of Things (IoT) as a service (IoTaaS) standardization. The tailored selection of each IoT component inside the selected IoT world can solve adoption and monetization issues pushing forward to integrated and intelligent IoT solutions, creating the highest values for secure smart cities.","2576-3199","","10.1109/IOTM.2019.1900014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835425","","Internet of Things;Smart cities;Machine learning algorithms;Prediction algorithms;Monitoring;Standardization","cloud computing;Internet of Things;smart cities","smart city requirements;service standardization;IoTaaS;IoT component;monetization issues;integrated IoT solutions;intelligent IoT solutions;IoT as a service;smart nations;smart cities","","10","","11","IEEE","13 Sep 2019","","","IEEE","IEEE Magazines"
"UbeHealth: A Personalized Ubiquitous Cloud and Edge-Enabled Networked Healthcare System for Smart Cities","T. Muhammed; R. Mehmood; A. Albeshri; I. Katib","Department of Computer Science, King Abdulaziz University, Jeddah, Saudi Arabia; High Performance Computing Center, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science, King Abdulaziz University, Jeddah, Saudi Arabia","IEEE Access","28 Jun 2018","2018","6","","32258","32285","Smart city advancements are driving massive transformations of healthcare, the largest global industry. The drivers include increasing demands for ubiquitous, preventive, and personalized healthcare, to be provided to the public at reduced risks and costs. Mobile cloud computing could potentially meet the future healthcare demands by enabling anytime, anywhere capture and analyses of patients' data. However, network latency, bandwidth, and reliability are among the many challenges hindering the realization of next-generation healthcare. This paper proposes a ubiquitous healthcare framework, UbeHealth, that leverages edge computing, deep learning, big data, high-performance computing (HPC), and the Internet of Things (IoT) to address the aforementioned challenges. The framework enables an enhanced network quality of service using its three main components and four layers. Deep learning, big data, and HPC are used to predict network traffic, which in turn are used by the Cloudlet and network layers to optimize data rates, data caching, and routing decisions. Application protocols of the traffic flows are classified, enabling the network layer to meet applications' communication requirements better and to detect malicious traffic and anomalous data. Clustering is used to identify the different kinds of data originating from the same application protocols. A proof of concept UbeHealth system has been developed based on the framework. A detailed literature review is used to capture the design requirements for the proposed system. The system is described in detail including the algorithmic implementation of the three components and four layers. Three widely used data sets are used to evaluate the UbeHealth system.","2169-3536","","10.1109/ACCESS.2018.2846609","King Abdulaziz University(grant numbers:G-661-611-38); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8382164","Cloudlets;deep learning;Internet of Things (IoT);mobile edge computing;mobile healthcare;preventive healthcare;traffic classification;traffic prediction;survey;fog computing;cloud computing;multimedia applications;smart cities","Medical services;Cloud computing;Edge computing;Quality of service;Machine learning;Smart cities;Internet of Things","Big Data;cloud computing;health care;Internet of Things;learning (artificial intelligence);medical computing;mobile computing;parallel processing;protocols;quality of service;smart cities","smart cities;mobile cloud computing;future healthcare demands;network latency;next-generation healthcare;ubiquitous healthcare framework;edge computing;deep learning;high-performance computing;HPC;network traffic;network layers;data rates;data caching;application protocols;anomalous data;Big Data;UbeHealth system;personalized ubiquitous cloud computing;edge-enabled networked healthcare system;personalized healthcare;patient data analysis;reliability;Internet of Things;IoT;enhanced network quality of service;routing decisions;traffic flows;malicious traffic detection","","165","","145","OAPA","12 Jun 2018","","","IEEE","IEEE Journals"
