Title,Year,DOI,Link,Abstract,Access Type
"Integrating complex event processing and machine learning: An intelligent architecture for detecting IoT security attacks",2020,"10.1016/j.eswa.2020.113251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079340111&doi=10.1016%2fj.eswa.2020.113251&partnerID=40&md5=43a93e58809b1a17db000345efc6d7ae","The Internet of Things (IoT) is growing globally at a fast pace: people now find themselves surrounded by a variety of IoT devices such as smartphones and wearables in their everyday lives. Additionally, smart environments, such as smart healthcare systems, smart industries and smart cities, benefit from sensors and actuators interconnected through the IoT. However, the increase in IoT devices has brought with it the challenge of promptly detecting and combating the cybersecurity attacks and threats that target them, including malware, privacy breaches and denial of service attacks, among others. To tackle this challenge, this paper proposes an intelligent architecture that integrates Complex Event Processing (CEP) technology and the Machine Learning (ML) paradigm in order to detect different types of IoT security attacks in real time. In particular, such an architecture is capable of easily managing event patterns whose conditions depend on values obtained by ML algorithms. Additionally, a model-driven graphical tool for security attack pattern definition and automatic code generation is provided, hiding all the complexity derived from implementation details from domain experts. The proposed architecture has been applied in the case of a healthcare IoT network to validate its ability to detect attacks made by malicious devices. The results obtained demonstrate that this architecture satisfactorily fulfils its objectives. © 2020 Elsevier Ltd",
"An efficient smart parking pricing system for smart city environment: A machine-learning based approach",2020,"10.1016/j.future.2020.01.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078543529&doi=10.1016%2fj.future.2020.01.031&partnerID=40&md5=d40f4b2dd0d110c16f24050d3d8c5361","Now-a-days, with the ever increasing number of vehicles, getting parking space at right place and on time has become an inevitable necessity for all across the globe. In this context, finding an unoccupied parking slot by the interested vehicle owners with least overhead becomes an NP-Hard problem bounded by various constraints. In-advance availability of information regarding parking occupancy plays a major role in hassle free trip optimization for motorists. It also facilitates services-cum-profit management for the parking owners. It further helps in curbing congestion by reducing cruising time and hence, helps in controlling pollution of the smart cities. Thus, accurate and timely information regarding parking occupancy and availability has become the basic need in the evolution of the smart cities. Motivated by these facts, an occupancy-driven machine learning based on-street parking pricing scheme is proposed in this paper. The proposed scheme uses machine learning based approaches to predict occupancy of parking lots, which in turn is used to deduce occupancy driven prices for arriving vehicles. In order to train, test, and compare different machine learning models, on-street parking data of Seattle city has been used. To the best of our knowledge, this is the first time that parking occupancy prediction system is used to generate occupancy based parking prices for on-street parking system of the Seattle city. Results obtained using the proposed occupancy driven machine learning based on-street parking pricing scheme demonstrate its effectiveness over other existing state-of-the-art schemes. © 2020 Elsevier B.V.",
"Big Data analytics and IoT in Operation safety management in Under Water Management",2020,"10.1016/j.comcom.2020.02.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080067759&doi=10.1016%2fj.comcom.2020.02.052&partnerID=40&md5=0a08f0306f8d19eba41cd150c67ec39c","The smart city is described as the place where citizens live well-organized urban lives, ensure their sustainability, and cause the least damage to the environment through information and communication technology (ICTs). Big data and the internet of things sensors and applications collect data that allows effective technology solutions. In water management, smart water meters reporting water quality and use, alerting leaks to the water company, or potential contamination. In this paper, the Supervisory controller and data acquirement (SCADA) Approach for sustainable water management in the smart city based on IoT and Big Data Analytics. Big data analysis is a new technical term for the collection from deployed IoT sensors of huge amounts of relevant data to track the physical state, use and quality of the device. The Internet of Things (IoT) software can be extended to the entire water supply system and to device product use to carry out this principle of big data analysis. The experimental results demonstrate that the implementation aims to proactively control the usage of water by both companies and customers and to achieve higher levels of sustainable water supply. © 2020 Elsevier B.V.",
"Parallel Reinforcement Learning with Minimal Communication Overhead for IoT Environments",2020,"10.1109/JIOT.2019.2955035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079735206&doi=10.1109%2fJIOT.2019.2955035&partnerID=40&md5=2455c66796fe20ba62e9d1b2f41ff3d4","Many Internet of Things (IoT) applications require a distributed architecture for decision making either because of a lack of a centralized system, failure-prone connectivity to a centralized system or because the imposed latency to contact such a system is too high for real-time applications. Often, these IoT applications fall in the domain of reinforcement learning (RL), e.g., autonomous robot navigation in smart factories and traffic signal control in smart cities. However, RL-based applications require a long learning time. To overcome this limitation and scale with the number of agents, parallel RL (PRL) algorithms run multiple RL agents in parallel and on distributed environments. However, deploying PRL algorithms in such environments entails a communication overhead that increases the (actual) execution time. The state-of-the-art PRL algorithms are designed for reducing the learning time while assuming no (or limited) communication overhead. In this article, we present a novel partitioning algorithm that minimizes the communication overhead in PRL running on IoT environments. To the best of our knowledge, this is the first work that focuses on solving the communication overhead of distributing PRL algorithms without requiring any a priori knowledge about the structure of the problem. The proposed algorithm intelligently combines a dynamic state partitioning strategy, which exploits the agent's exploration capabilities to build partition knowledge while learning, with an efficient mapping of agents to partitions, which reduces the communication among agents. Performance evaluations show that the proposed algorithm can achieve almost no communication among PRL agents at the converged state. © 2014 IEEE.",
"Analyzing the robotic behavior in a smart city with deep enforcement and imitation learning using IoRT",2020,"10.1016/j.comcom.2019.11.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076049365&doi=10.1016%2fj.comcom.2019.11.031&partnerID=40&md5=c0f2575a6afb483425c63cdace9e3d02","Smart City aims to develop an environment in which different things goes to different people. The smart city provides a core infrastructure by improving the status of the inhabitants by providing a smart environment by applying Smart Solutions. The Internet of Things (IoT) is a revolutionary concept which finds its way in many applications such as business, industry, healthcare, Transportation, modern Information Technology applications and many more. IoT combined with Artificial Intelligence (AI) can be applied to many day to day applications in superior systems like transportation, robotics, industrial, and automation systems applications. This research focuses on developing a robotic behavior control using the Internet of Robotic Things (IoRT) using deep learning for a Smart City. The IoRT is a promising standard that brings together autonomous robotic systems in the midst of the IoT vision of connected sensors and smart objects pervasively embedded in the day to day environments. Robotic behavioral control models the robot with the essential features to react with the immediate environment via sensory-motor links. Robotic behavioral control has a direct interconnection between the sensors and actuators and controls the functions necessary to move around the environment and carry out necessary tasks. This deep learning solution applied to the robotic behavioral control for robotic application uses two main paradigms: Deep Reinforcement Learning (DRL) and Imitation Learning (IL).DRL merges the concept of deep learning architecture using neural networks and Reinforcement learning algorithms to identify the behavior of the robots.IL focus on imitating human learning or expert demonstration for controlling the robot behavior. The behavior of the robot is monitored in a diner and its performance is estimated to be 92% in realtime © 2019 Elsevier B.V.",
"Towards a reference big data architecture for sustainable smart cities",2020,"10.30534/ijatcse/2020/118912020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080897398&doi=10.30534%2fijatcse%2f2020%2f118912020&partnerID=40&md5=8b1c4ffc24dc6e1391e0196459695dcb","The creation of smart cities aims to reduce the problems posed by the continuous evolution of population density and urbanization. Smart City applications produce a huge amount of data every day. Thus, the knowledge of these large data in a context of urban and intelligent decision-making has become an issue for current systems. Large data analysis frameworks offer significant inventive potential in the new area of the smart community. This paper propose a new architecture for large data analysis for smart cities called ""BIG DATA ANALYTICS FRAMEWORK FOR SMART CITY (BDAFSC)"", The proposed framework specifically addresses a conceptual and technological model by creating several layers of abstraction. The proposed architecture is generic and can be applied to a wide range of smart city use cases. © 2020, World Academy of Research in Science and Engineering. All rights reserved.",Open Access
"Boltzmann Randomized Clustering Algorithm for Providing Quality of Evolution in Wireless Multimedia Sensor Networks",2020,"10.1007/s11277-020-07152-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078418385&doi=10.1007%2fs11277-020-07152-1&partnerID=40&md5=d80fc11ea482d08227cdde7384035b0c","Recent improvement and necessity made upcoming application for wireless sensor networks like land slide monitoring, smart cities, smart agriculture, domestic animal habitats, vehicle traffic monitoring extended from traditional sensor network into multimedia wireless sensor network. It has to handle video, audio as well as images, but coming to energy, processing, transmission are very limited in case of wireless sensor network. Latest woks in randomized approach and restricted Boltzmann algorithm shows confident in producing optimized results. In this work Randomized Boltzmann Machine Learning Clustering Algorithm (RBMLCA) with randomized approach is presented. It consists of optimizing quality of service parameters, clustering of the nodes and cluster head formation. Modified clustering approach for data transmission over multimedia sensor network, RBMLCA algorithm provides better quality of evolution parameters. Simulation results shows that RBMLCA protocol performs comparatively good edge with existing Packet delivery ratio, throughput ratio, and packet delay in quality metrics also to improve the overall network performance up to 9.3% as well as to improve up to 8% of throughput ratio in network. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",
"IoT Ecosystem: A Survey on Devices, Gateways, Operating Systems, Middleware and Communication",2020,"10.1007/s10776-020-00483-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079720826&doi=10.1007%2fs10776-020-00483-7&partnerID=40&md5=e61b0e652e0bc7d6123714ba402958f5","In this era of research and technology, Internet of things (IoT) takes a prominent part in the evolution of applications of the various field like health, education, smart cities, homes, agriculture etc. This paper provides a survey of the IoT ecosystem. All the components of IoT and their significance has been elaborated. The smart sensors collaborate through wireless communication and internet, with zero human activity, to deliver automated intelligent applications. In this internet world, machine-to-machine (M2M) technologies are the first phase of the IoT. As IoT is expanding, it is bringing together vast technologies as in Big Data, Artificial Intelligent, Machine Learning to tackle the huge data and devices. This paper starts by providing an overview of the taxonomy of the IoT ecosystem. Then, it provides a technical overview of IoT enabling architectures, devices, gateways, operating systems (OS), middleware, platforms, data storage, security, communication protocols and interfaces for the data flow in an ecosystem. This paper also discusses the key hurdles that need to be tackled for expanding IoT. A relation between IoT and new technologies like big data, cloud and fog computing has been briefed. Finally, it presents the growing applications that IoT delivers. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",
"A survey of data fusion in smart city applications",2019,"10.1016/j.inffus.2019.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066074486&doi=10.1016%2fj.inffus.2019.05.004&partnerID=40&md5=38d4bd3f76f9bfdd456998359f5ab57b","The advancement of various research sectors such as Internet of Things (IoT), Machine Learning, Data Mining, Big Data, and Communication Technology has shed some light in transforming an urban city integrating the aforementioned techniques to a commonly known term - Smart City. With the emergence of smart city, plethora of data sources have been made available for wide variety of applications. The common technique for handling multiple data sources is data fusion, where it improves data output quality or extracts knowledge from the raw data. In order to cater evergrowing highly complicated applications, studies in smart city have to utilize data from various sources and evaluate their performance based on multiple aspects. To this end, we introduce a multi-perspectives classification of the data fusion to evaluate the smart city applications. Moreover, we applied the proposed multi-perspectives classification to evaluate selected applications in each domain of the smart city. We conclude the paper by discussing potential future direction and challenges of data fusion integration. © 2019 Elsevier B.V.",Open Access
"A Synergetic Orchestration of Objects, Data, and Services to Enable Smart Cities",2019,"10.1109/JIOT.2019.2939496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076775153&doi=10.1109%2fJIOT.2019.2939496&partnerID=40&md5=598c7d0c105d20d928f6b9b46f540fe9","Smart cities (SCs), as a novel solution built on top of large-scale Internet of Things (IoT) systems, experiences a rapid growth worldwide, in which, a synergetic orchestration among objects, data, and services is emphasized for innovative solutions to elevate the intelligence of cities based on the fusion of multisource and multimodal data. To enable such orchestration, this article proposes a smart service orchestration architecture (SSOA) to coordinate ubiquitous objects, create interlinked data, and implement versatile smart services. As a proof of concept of SSOA, an informed design platform (IDP) is presented to demonstrate how a smart service system can be designed and how a synergetic orchestration can be implemented to support an informed place design. Moreover, two dedicated mechanisms, namely, place utilization analysis mechanism (PUAM) and ensemble-based activity detection mechanism (EADM), are implemented in a multisource data processing flow to illustrate how massive geo-referenced data can be analyzed effectively and efficiently by machine learning algorithms to extract key information for a comprehensive data fusion required in using multimodal IoT systems. As evaluated, PUAM running in a distributed environment can dramatically improve the performance of geospatial clustering about 11 times from the baseline 53.6 to 4.7 s, and EADM with an ensemble activity classifier achieves the highest accuracy about 87.7% and also the highest f-score per activity category. Finally, various insights about the project testbed Jurong East, Singapore, are discussed to reveal its place design context. © 2014 IEEE.",
