Title-and-Abstract-Based-screening,Inclusion/esclusion-criteria-screening (yes: include no: esclude),Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
,yes,Cloud Native Approach to the Implementation of an Environmental Monitoring System for Smart City Based on IoT Devices,Computational Science – ICCS 2023,,,,10.1007/978-3-031-36030-5_41,Mirosław HajderLucyna HajderPiotr HajderJanusz Kolbusz,2023,http://link.springer.com/chapter/10.1007/978-3-031-36030-5_41,Chapter
,,Blockchain Applications in Smart City: A Survey,Smart Computing and Communication,,,,10.1007/978-3-031-28124-2_46,Shuo WangZhiqi LeiZijun WangDongjue WangMohan WangGangqiang YangKeke Gai,2023,http://link.springer.com/chapter/10.1007/978-3-031-28124-2_46,Chapter
,,Semantic Matching Through Knowledge Graphs: A Smart City Case,Advanced Information Systems Engineering Workshops,,,,10.1007/978-3-031-34985-0_10,Alexander VoelzDanial M. AmlashiMoonkun Lee,2023,http://link.springer.com/chapter/10.1007/978-3-031-34985-0_10,Chapter
,,Rating Urban Transport Services Quality Using a Sentiment Analysis Approach,Smart Technologies for Sustainable and Resilient Ecosystems,,,,10.1007/978-3-031-35982-8_12,Orlando BeloRicardo Milhazes,2023,http://link.springer.com/chapter/10.1007/978-3-031-35982-8_12,Chapter
,,Human-Centric Machine Learning: The Role of Users in the Development of IoT Device Identification and Vulnerability Assessment,"HCI for Cybersecurity, Privacy and Trust",,,,10.1007/978-3-031-35822-7_40,Priscilla Kyei DansoHeather MolyneauxAlireza ZohourianEuclides Carlos Pinto NetoDerrick WhalenSajjad DadkhahAli A. Ghorbani,2023,http://link.springer.com/chapter/10.1007/978-3-031-35822-7_40,Chapter
,,Detecting Air Conditioning Usage in Households Using Unsupervised Machine Learning on Smart Meter Data,Smart Cities,,,,10.1007/978-3-031-28454-0_16,Rodrigo PorteiroSergio Nesmachnow,2023,http://link.springer.com/chapter/10.1007/978-3-031-28454-0_16,Chapter
,,Machine Learning Approach to Crisis Management Exercise Analysis: A Case Study in SURE Project,Smart Technologies for Sustainable and Resilient Ecosystems,,,,10.1007/978-3-031-35982-8_8,Henry JoutsijokiSari MäenpääIlari KarppiIina Sankala,2023,http://link.springer.com/chapter/10.1007/978-3-031-35982-8_8,Chapter
,,Distribution of Police Patrols as a Covering Problem in Smart Cities: Fuengirola Use Case,Smart Cities,,,,10.1007/978-3-031-28454-0_4,Jamal ToutouhFrancisco ChicanoRodrigo Gil-Merino,2023,http://link.springer.com/chapter/10.1007/978-3-031-28454-0_4,Chapter
,,Data Integration Revitalized: From Data Warehouse Through Data Lake to Data Mesh,Database and Expert Systems Applications,,,,10.1007/978-3-031-39847-6_1,Robert Wrembel,2023,http://link.springer.com/chapter/10.1007/978-3-031-39847-6_1,Chapter
,,Big Data Trends in the Analysis of City Resources,Smart Cities,,,,10.1007/978-3-031-28454-0_15,Regina GubarevaRui Pedro Lopes,2023,http://link.springer.com/chapter/10.1007/978-3-031-28454-0_15,Chapter
