Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Towards the Creation of Be In/Be Out Model for Smart City with the Use of Internet of Things Concepts","Service-Oriented Computing – ICSOC 2019 Workshops","","","","10.1007/978-3-030-45989-5_13","Bartosz WieczorekAneta Poniszewska-Marańda","2020","http://link.springer.com/chapter/10.1007/978-3-030-45989-5_13","Chapter"
"Multi-criteria Differential Evolution for Optimization of Virtual Machine Resources in Smart City Cloud","Computer Information Systems and Industrial Management","","","","10.1007/978-3-030-47679-3_28","Jerzy BalickiHonorata BalickaPiotr DryjaMaciej Tyszka","2020","http://link.springer.com/chapter/10.1007/978-3-030-47679-3_28","Chapter"
"Service-Oriented Pervasive Platform Supporting Machine Learning Applications in Smart Buildings","Service-Oriented Computing – ICSOC 2019 Workshops","","","","10.1007/978-3-030-45989-5_1","Philippe LalandaDan WangGerman VegaHumberto CervantesMoustapha A. Khalid","2020","http://link.springer.com/chapter/10.1007/978-3-030-45989-5_1","Chapter"
"Inter-space Machine Learning in Smart Environments","Machine Learning and Knowledge Extraction","","","","10.1007/978-3-030-57321-8_30","Amin AnjomshoaaEdward Curry","2020","http://link.springer.com/chapter/10.1007/978-3-030-57321-8_30","Chapter"
"An Intelligent Machine Learning-Based Real-Time Public Transport System","Computational Science and Its Applications – ICCSA 2020","","","","10.1007/978-3-030-58817-5_47","Menzi SkhosanaAbsalom E. EzugwuNadim RanaShafi’i M. Abdulhamid","2020","http://link.springer.com/chapter/10.1007/978-3-030-58817-5_47","Chapter"
"An Ensemble Interpretable Machine Learning Scheme for Securing Data Quality at the Edge","Machine Learning and Knowledge Extraction","","","","10.1007/978-3-030-57321-8_29","Anna KaranikaPanagiotis OikonomouKostas KolomvatsosChristos Anagnostopoulos","2020","http://link.springer.com/chapter/10.1007/978-3-030-57321-8_29","Chapter"
"User Behavioral Biometrics and Machine Learning Towards Improving User Authentication in Smartphones","Information Systems Security and Privacy","","","","10.1007/978-3-030-49443-8_12","José TorresSergio de los SantosEfthimios AlepisConstantinos Patsakis","2020","http://link.springer.com/chapter/10.1007/978-3-030-49443-8_12","Chapter"
"Phishing Attacks and Websites Classification Using Machine Learning and Multiple Datasets (A Comparative Analysis)","Intelligent Computing Methodologies","","","","10.1007/978-3-030-60796-8_26","Sohail Ahmed KhanWasiq KhanAbir Hussain","2020","http://link.springer.com/chapter/10.1007/978-3-030-60796-8_26","Chapter"
"SafeCity: A Platform for Safer and Smarter Cities","Advances in Practical Applications of Agents, Multi-Agent Systems, and Trustworthiness. The PAAMS Collection","","","","10.1007/978-3-030-49778-1_37","Bruno FernandesJosé NevesCesar Analide","2020","http://link.springer.com/chapter/10.1007/978-3-030-49778-1_37","Chapter"
"A Blockchain-Based Framework for Information Security in Intelligent Transportation Systems","Intelligent Technologies and Applications","","","","10.1007/978-981-15-5232-8_6","Wajid RafiqueMaqbool KhanXuan ZhaoNadeem SarwarWanchun Dou","2020","http://link.springer.com/chapter/10.1007/978-981-15-5232-8_6","Chapter"
