Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Big Data Analytics Towards a Framework for a Smart City","Information and Communication Technology for Intelligent Systems (ICTIS 2017) - Volume 1","","","","10.1007/978-3-319-63673-3_27","Devesh Kumar SrivastavaAyush Singh","2018","http://link.springer.com/chapter/10.1007/978-3-319-63673-3_27","Chapter"
"A Big-Data-Analytics System for Supporting Decision Making Processes in Complex Smart-City Applications","Computational Science and Its Applications – ICCSA 2019","","","","10.1007/978-3-030-24289-3_58","Alfredo CuzzocreaMassimiliano NolichWalter Ukovich","2019","http://link.springer.com/chapter/10.1007/978-3-030-24289-3_58","Chapter"
"Harnessing Big Data and Analytics Solutions in Support of Smart City Services","Advances in Service Science","","","","10.1007/978-3-030-04726-9_12","Shailesh Kumar PandeyMohammad Tariq KhanRobin G. Qiu","2019","http://link.springer.com/chapter/10.1007/978-3-030-04726-9_12","Chapter"
"IoT-Based Smartbots for Smart City Using MCC and Big Data","Smart Intelligent Computing and Applications","","","","10.1007/978-981-13-1921-1_52","Praveen Kumar SinghRajesh Kumar VermaP. E. S. N. Krishna Prasad","2019","http://link.springer.com/chapter/10.1007/978-981-13-1921-1_52","Chapter"
"Government Enterprise Architecture for Big and Open Linked Data Analytics in a Smart City Ecosystem","Smart Education and e-Learning 2017","","","","10.1007/978-3-319-59451-4_47","Martin LnenickaRenata MachovaJitka KomarkovaMiroslav Pasler","2018","http://link.springer.com/chapter/10.1007/978-3-319-59451-4_47","Chapter"
"Application of Big Data and Smart City Technology in New Urbanization Planning","Big Data Analytics for Cyber-Physical System in Smart City","","","","10.1007/978-981-15-2568-1_138","Minghui Long","2020","http://link.springer.com/chapter/10.1007/978-981-15-2568-1_138","Chapter"
"The Value of Intelligent Cybersecurity Strategies for Dubai Smart City","Smart Technologies and Innovation for a Sustainable Future","","","","10.1007/978-3-030-01659-3_49","Khulood Ali Jumah AlJarman AlZaabi","2019","http://link.springer.com/chapter/10.1007/978-3-030-01659-3_49","Chapter"
"Data Science Supporting Smart City Management: A Predictive Analysis Perspective","Proceedings of the 4th Brazilian Technology Symposium (BTSym'18)","","","","10.1007/978-3-030-16053-1_41","Giovanni Moura de HolandaCristina Y. K. Obata AdorniJorge Moreira de Souza","2019","http://link.springer.com/chapter/10.1007/978-3-030-16053-1_41","Chapter"
"Smart City Privacy Protection in Big Data Environment","Big Data Analytics for Cyber-Physical System in Smart City","","","","10.1007/978-981-15-2568-1_91","Lirong SunShidie Wu","2020","http://link.springer.com/chapter/10.1007/978-981-15-2568-1_91","Chapter"
"Smart City Traffic Monitoring System Based on 5G Cellular Network, RFID and Machine Learning","Engineering Software Systems: Research and Praxis","","","","10.1007/978-3-319-99617-2_10","Bartosz PawłowiczMateusz SalachBartosz Trybus","2019","http://link.springer.com/chapter/10.1007/978-3-319-99617-2_10","Chapter"
"An Efficient Framework for Smart City Using Big Data Technologies and Internet of Things","Progress in Advanced Computing and Intelligent Engineering","","","","10.1007/978-981-13-0224-4_29","Krishna Kumar Mohbey","2019","http://link.springer.com/chapter/10.1007/978-981-13-0224-4_29","Chapter"
