Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Achieving sustainability through smart city applications: protocols, systems and solutions using IoT and wireless sensor network","CSI Transactions on ICT","","8","2","10.1007/s40012-020-00285-5","Maneesha Vinodini RameshRekha PrabhaHemalatha ThirugnanamAryadevi Remanidevi DevidasDhanesh RajSruthy AnandRahul Krishnan Pathinarupothi","2020","http://link.springer.com/article/10.1007/s40012-020-00285-5","Article"
"Computational Intelligence and Citizen Communication in the Smart City","Informatik-Spektrum","","40","1","10.1007/s00287-016-1007-0","Fabio Aurelio D’AsaroMattia Antonino Di GangiValerio PerticoneMarco Elio Tabacchi","2017","http://link.springer.com/article/10.1007/s00287-016-1007-0","Article"
"Managing Urban Resilience","Informatik-Spektrum","","40","1","10.1007/s00287-016-1005-2","Bernhard KleinReinhard KoenigGerhard Schmitt","2017","http://link.springer.com/article/10.1007/s00287-016-1005-2","Article"
"Improved methods for software fault prediction and web service selection","CSI Transactions on ICT","","8","2","10.1007/s40012-020-00284-6","Sandeep Kumar","2020","http://link.springer.com/article/10.1007/s40012-020-00284-6","Article"
"A Multi-layered Psychological-Based Reference Model for Citizen Need Assessment Using AI-Powered Models","SN Computer Science","","1","5","10.1007/s42979-020-00271-3","Rajwa AlharthiAbdulmotaleb El Saddik","2020","http://link.springer.com/article/10.1007/s42979-020-00271-3","Article"
"Towards a Cloud Computing Paradigm for Big Data Analysis in Smart Cities","Programming and Computer Software","","44","3","10.1134/S0361768818030052","R. MassobrioS. NesmachnowA. TchernykhA. AvetisyanG. Radchenko","2018","http://link.springer.com/article/10.1134/S0361768818030052","Article"
"PostGrid: Das smarte Netzwerk der Schweizerischen Post für eine intelligentere Stadt","Informatik-Spektrum","","40","1","10.1007/s00287-016-1012-3","Edy PortmannStefan Metzger","2017","http://link.springer.com/article/10.1007/s00287-016-1012-3","Article"
"Designed Features for Improving Openness, Scalability and Programmability in the Fog Computing-Based IoT Systems","SN Computer Science","","1","4","10.1007/s42979-020-00197-w","Quang Minh TranPhat Huu NguyenTakeshi TsuchiyaMichel Toulouse","2020","http://link.springer.com/article/10.1007/s42979-020-00197-w","Article"
"A Systematic Review on Software Architectures for IoT Systems and Future Direction to the Adoption of Microservices Architecture","SN Computer Science","","1","6","10.1007/s42979-020-00359-w","Abdul Razzaq","2020","http://link.springer.com/article/10.1007/s42979-020-00359-w","Article"
"Cognitive Computing","Informatik-Spektrum","","41","2","10.1007/s00287-018-1095-0","Sara D’OnofrioEdy PortmannMichel FranzelliChristoph Bürki","2018","http://link.springer.com/article/10.1007/s00287-018-1095-0","Article"
"Editorial for June 2020 Issue","CSI Transactions on ICT","","8","2","10.1007/s40012-020-00310-7","S. V. RaghavanNavakanta BhatKrishna SivalingamSanjiva Prasad","2020","http://link.springer.com/article/10.1007/s40012-020-00310-7","Article"
"S-COAP: Semantic Enrichment of COAP for Resource Discovery","SN Computer Science","","1","2","10.1007/s42979-020-0104-y","C. P. VandanaAjeet A. Chikkamannur","2020","http://link.springer.com/article/10.1007/s42979-020-0104-y","Article"
"Security Considerations for Internet of Things: A Survey","SN Computer Science","","1","4","10.1007/s42979-020-00201-3","Anca JurcutTiberiu NiculceaPasika RanaweeraNhien-An Le-Khac","2020","http://link.springer.com/article/10.1007/s42979-020-00201-3","Article"
"Security and Privacy Issues in Deep Learning: A Brief Review","SN Computer Science","","1","5","10.1007/s42979-020-00254-4","Trung HaTran Khanh DangHieu LeTuan Anh Truong","2020","http://link.springer.com/article/10.1007/s42979-020-00254-4","Article"
"Mining Urban Traffic Condition from Crowd-Sourced Data","SN Computer Science","","1","4","10.1007/s42979-020-00244-6","Ha Mai-TanHoang-Nam Pham-NguyenNguyen Xuan LongQuang Tran Minh","2020","http://link.springer.com/article/10.1007/s42979-020-00244-6","Article"
"Real-Time Automatic Seizure Detection Using Ordinary Kriging Method in an Edge-IoMT Computing Paradigm","SN Computer Science","","1","5","10.1007/s42979-020-00272-2","Ibrahim L. OlokodanaSaraju P. MohantyElias KougianosOluwaseyi O. Olokodana","2020","http://link.springer.com/article/10.1007/s42979-020-00272-2","Article"
"Introduction to the Special Issue on the French–Polish Collaboration in Mathematical Models of Computer Systems, Networks and Bioinformatics","SN Computer Science","","1","1","10.1007/s42979-019-0044-6","Erol Gelenbe","2019","http://link.springer.com/article/10.1007/s42979-019-0044-6","Article"
"Theoretical Understanding of Deep Learning in UAV Biomedical Engineering Technologies Analysis","SN Computer Science","","1","6","10.1007/s42979-020-00323-8","Wasswa ShafikS. Mojtaba MatinkhahMohammad Ghasemzadeh","2020","http://link.springer.com/article/10.1007/s42979-020-00323-8","Article"
"Data-driven optimizations in IoT: a new frontier of challenges and opportunities","CSI Transactions on ICT","","7","1","10.1007/s40012-019-00217-y","Sharda TripathiSwades De","2019","http://link.springer.com/article/10.1007/s40012-019-00217-y","Article"
"GI wird Netzwerkpartner der BMWi-Begleitforschung ,,Smart Data“","Informatik-Spektrum","","38","4","10.1007/s00287-015-0907-8","","2015","http://link.springer.com/article/10.1007/s00287-015-0907-8","Article"
"A Comparative Study of the Some Methods Used in Constructing Coresets for Clustering Large Datasets","SN Computer Science","","1","4","10.1007/s42979-020-00227-7","Nguyen Le HoangLe Hong TrangTran Khanh Dang","2020","http://link.springer.com/article/10.1007/s42979-020-00227-7","Article"
"A framework for disturbance analysis in smart grids by fault injection","Computer Science - Research and Development","","32","1 - 2","10.1007/s00450-016-0313-8","Igor KaitovicFilip ObradovicSlobodan LukovicMiroslaw Malek","2017","http://link.springer.com/article/10.1007/s00450-016-0313-8","Article"
"Bridge Load Classifier Based on Deep Learning for Structural Displacement Correlation","Programming and Computer Software","","46","8","10.1134/S0361768820080101","Wendy Flores-Fuentes","2020","http://link.springer.com/article/10.1134/S0361768820080101","Article"
"Placing Humans in the Feedback Loop of Social Infrastructures","Informatik-Spektrum","","36","6","10.1007/s00287-013-0735-7","Günter MüllerWolfgang Wahlster","2013","http://link.springer.com/article/10.1007/s00287-013-0735-7","Article"
"Assessment of Water Quality Parameters in Real-Time Environment","SN Computer Science","","1","6","10.1007/s42979-020-00368-9","Punit KhatriKarunesh Kumar GuptaRaj Kumar Gupta","2020","http://link.springer.com/article/10.1007/s42979-020-00368-9","Article"
