Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
CIoT-Net: a scalable cognitive IoT based smart city network architecture,Human-centric Computing and Information Sciences,,9,1,10.1186/s13673-019-0190-9,Jin-ho ParkMikail Mohammed SalimJeong Hoon JoJose Costa Sapalo SicatoShailendra RathoreJong Hyuk Park,2019,http://link.springer.com/article/10.1186/s13673-019-0190-9,Article
Research on the Internet of Things and the development of smart city industry based on big data,Cluster Computing,,21,1,10.1007/s10586-017-0910-8,Zhanyu Liu,2018,http://link.springer.com/article/10.1007/s10586-017-0910-8,Article
IoT based pollution monitoring and health correlation: a case study on smart city,International Journal of System Assurance Engineering and Management,,10,4,10.1007/s13198-019-00802-z,Debadri DuttaAkshit PradhanO. P. AcharyaS. K. Mohapatra,2019,http://link.springer.com/article/10.1007/s13198-019-00802-z,Article
Flow data processing paradigm and its application in smart city using a cluster analysis approach,Cluster Computing,,22,2,10.1007/s10586-018-2839-y,Xiang ZouJinghua CaoWei SunQuan GuoTao Wen,2019,http://link.springer.com/article/10.1007/s10586-018-2839-y,Article
Networking architectures and protocols for smart city systems,Journal of Internet Services and Applications,,9,1,10.1186/s13174-018-0097-0,Imad JawharNader MohamedJameela Al-Jaroodi,2018,http://link.springer.com/article/10.1186/s13174-018-0097-0,Article
Investigating the entrepreneurial perspective in smart city studies,International Entrepreneurship and Management Journal,,,,10.1007/s11365-019-00630-4,Eusebio ScornavaccaFrancesco PaoloneStefano ZaLaura Martiniello,2020,http://link.springer.com/article/10.1007/s11365-019-00630-4,Article
Special issue on multi-modal information learning and analytics for smart city,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-020-01784-8,Zheng XuQingyuan Zhou,2020,http://link.springer.com/article/10.1007/s12652-020-01784-8,Article
Fear and Fantasy in the Smart City,Critical Criminology,,,,10.1007/s10612-019-09447-7,Brunilda PaliMarc Schuilenburg,2019,http://link.springer.com/article/10.1007/s10612-019-09447-7,Article
A common approach to intelligent energy and mobility services in a smart city environment,Journal of Ambient Intelligence and Humanized Computing,,6,3,10.1007/s12652-015-0263-1,Marco LützenbergerNils MasuchTobias KüsterDaniel FreundMarcus VoßChristopher-Eyk HrabiaDenis PozoJohannes FähndrichFrank TrollmannJan KeiserSahin Albayrak,2015,http://link.springer.com/article/10.1007/s12652-015-0263-1,Article
Living Lab Bamberg: an infrastructure to explore smart city research challenges in the wild,KI - Künstliche Intelligenz,,31,3,10.1007/s13218-017-0497-5,Aboubakr BenabbasGolnaz ElmamoozBrent LagesseDaniela NicklasUte Schmid,2017,http://link.springer.com/article/10.1007/s13218-017-0497-5,Article
