Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Machine Learning: Algorithms, Real-World Applications and Research Directions","SN Computer Science","","2","3","10.1007/s42979-021-00592-x","Iqbal H. Sarker","2021","http://link.springer.com/article/10.1007/s42979-021-00592-x","Article"
"Contactless Technologies for Smart Cities: Big Data, IoT, and Cloud Infrastructures","SN Computer Science","","2","4","10.1007/s42979-021-00719-0","Arunmozhi ManimuthuVenugopal DharshiniIoannis ZografopoulosM. K. PriyanCharalambos Konstantinou","2021","http://link.springer.com/article/10.1007/s42979-021-00719-0","Article"
"Application of Machine Learning and Deep Learning Techniques for COVID-19 Screening Using Radiological Imaging: A Comprehensive Review","SN Computer Science","","4","1","10.1007/s42979-022-01464-8","Asifuzzaman LaskerSk Md ObaidullahChandan ChakrabortyKaushik Roy","2022","http://link.springer.com/article/10.1007/s42979-022-01464-8","Article"
"Data Science and Analytics: An Overview from Data-Driven Smart Computing, Decision-Making and Applications Perspective","SN Computer Science","","2","5","10.1007/s42979-021-00765-8","Iqbal H. Sarker","2021","http://link.springer.com/article/10.1007/s42979-021-00765-8","Article"
"Prediction Tool on Fine Particle Pollutants and Air Quality for Environmental Engineering","SN Computer Science","","3","3","10.1007/s42979-022-01068-2","Aparna S. VardeAbidha PandeyXu Du","2022","http://link.springer.com/article/10.1007/s42979-022-01068-2","Article"
"AI-Based Modeling: Techniques, Applications and Research Issues Towards Automation, Intelligent and Smart Systems","SN Computer Science","","3","2","10.1007/s42979-022-01043-x","Iqbal H. Sarker","2022","http://link.springer.com/article/10.1007/s42979-022-01043-x","Article"
"Detection of Network Attacks in a Heterogeneous Industrial Network Based on Machine Learning","Programming and Computer Software","","49","4","10.1134/S0361768823040126","A. M. Vulfin","2023","http://link.springer.com/article/10.1134/S0361768823040126","Article"
"Spatio-temporal Crime Analysis and Forecasting on Twitter Data Using Machine Learning Algorithms","SN Computer Science","","4","4","10.1007/s42979-023-01816-y","Meghashyam VivekBoppuru Rudra Prathap","2023","http://link.springer.com/article/10.1007/s42979-023-01816-y","Article"
"Machine Learning Based Low Redundancy Prediction Model for IoT-Enabled Wireless Sensor Network","SN Computer Science","","4","5","10.1007/s42979-023-01898-8","S. RegilanL. K. Hema","2023","http://link.springer.com/article/10.1007/s42979-023-01898-8","Article"
"A Reference Architecture for IoT-Enabled Smart Buildings","SN Computer Science","","3","6","10.1007/s42979-022-01401-9","Muhammad Rizwan BashirAsif Qumer GillGhassan Beydoun","2022","http://link.springer.com/article/10.1007/s42979-022-01401-9","Article"
"Employing Feature Extraction, Feature Selection, and Machine Learning to Classify Electricity Consumption as Normal or Electricity Theft","SN Computer Science","","4","5","10.1007/s42979-023-01911-0","Rajesh NayakC. D. Jaidhar","2023","http://link.springer.com/article/10.1007/s42979-023-01911-0","Article"
"Software-Defined Dew, Roof, Fog and Cloud (SD-DRFC) Framework for IoT Ecosystem: The Journey, Novel Framework Architecture, Simulation, and Use Cases","SN Computer Science","","2","3","10.1007/s42979-021-00521-y","Ishtiaq AhammadMd. Ashikur Rahman KhanZayed Us Salehin","2021","http://link.springer.com/article/10.1007/s42979-021-00521-y","Article"
"Deep Learning: A Comprehensive Overview on Techniques, Taxonomy, Applications and Research Directions","SN Computer Science","","2","6","10.1007/s42979-021-00815-1","Iqbal H. Sarker","2021","http://link.springer.com/article/10.1007/s42979-021-00815-1","Article"
"Performance Counters and DWT Enabled Control Flow Integrity","SN Computer Science","","3","1","10.1007/s42979-021-00915-y","Ananda BiswasZelong LiAkhilesh Tyagi","2021","http://link.springer.com/article/10.1007/s42979-021-00915-y","Article"
"A Fog-Based Multi-Purpose Internet of Things Analytics Platform","SN Computer Science","","3","3","10.1007/s42979-022-01110-3","Theo ZschörnigJonah WindolphRobert WehlitzYann DumontBogdan Franczyk","2022","http://link.springer.com/article/10.1007/s42979-022-01110-3","Article"
"Priority-Based Adaptive Traffic Signal Control System for Smart Cities","SN Computer Science","","3","5","10.1007/s42979-022-01316-5","Md. Ashifuddin MondalZeenat Rehena","2022","http://link.springer.com/article/10.1007/s42979-022-01316-5","Article"
