Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Robo-Sweeper: Bionics based Unmanned Sweeper Platform,G. Chen; P. Lv; H. Li; G. Yang,"Zhejiang University, Hangzhou, China; Zhejiang University, Hangzhou, China; Zhejiang University, Hangzhou, China; Zhejiang University, Hangzhou, China","2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",30-May-22,2021,,,1381,1388,"The autonomous driving system is becoming an important part of the smart city, and unmanned sweeper for a specific area is an important application field of autonomous driving technology, which makes low-cost and reliable unmanned sweeper an important technology that the industry needs to develop. Based on the bionic structure, we propose an unmanned cleaning system platform solution, which uses embedded artificial intelligence to empower traditional cleaning equipment. This method realizes the unmanned upgrade without changing the important structure of the traditional cleaning equipment, which reduced the development and production cost of the unmanned sweeper. In this paper, we first adopted the bionic structure on the hardware, which highly integrates the controller and the sensor to reduce the cost of unmanned transformation for sweepers. Secondly, the AUTOSAR software architecture is adopted on the software, which enhances the reliability of the system software. Thirdly, the man-vehicle driving method is adopted to support manual driving and remote control, which improves the usability of the unmanned sweeper.",,978-1-6654-9457-1,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00208,National Key Research and Development Program of China(grant numbers:2021YFB2501300); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781178,Smart City;Road Sweeper;Unmanned Sweeper;AUTOSAR Adaptive;AUTOSAR Classic,Costs;Smart cities;Manuals;Cleaning;Hardware;Software reliability;System software,artificial intelligence;cleaning;embedded systems;mobile robots;remotely operated vehicles;road vehicles;service industries;service robots;smart cities;software architecture;software reliability;telerobotics,cleaning equipment;man-vehicle driving method;robo-sweeper;autonomous driving system;unmanned cleaning system platform;embedded artificial intelligence;AUTOSAR software architecture;system software reliability;manual driving;remote control;bionics based unmanned sweeper platform;smart city;urban service industry,,,,20,IEEE,30-May-22,,,IEEE,IEEE Conferences
Aprus: An Airborne Altitude-Adaptive Purpose-Related UAV System for Object Detection,W. Wang; H. Chen; X. Zhang; W. Zhou; W. Shi,"Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Department of Computer and Information Sciences, University of Delaware, Newark, DE, USA","2022 IEEE 24th Int Conf on High Performance Computing & Communications; 8th Int Conf on Data Science & Systems; 20th Int Conf on Smart City; 8th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",28-Mar-23,2022,,,402,411,"Unmanned aerial vehicle (UAV) system plays an important role in new edge scenarios such as disaster relief, situational awareness, and so on. In order to improve efficiency, computing tasks such as object detection are carried out on the drone-mounted computing unit. However, there is a trade-off between flight altitude and mission accuracy. Higher altitudes result in smaller images, which influence the accuracy. In comparison, shorter altitudes reduce the difficulty of detection while decreasing the recognition range, which affects user experience. Therefore, this paper proposes an airborne altitude adaptive UAV System, Aprus, which selects the most suitable object detection models based on a self-adaptation strategy at different altitudes. The selection strategy is based on a purpose-related evaluation indicator, PEI. It comprehensively considers the model's accuracy, recall, and inference speed at the current altitude according to the user's purpose. Moreover, Aprus sends the original image to a divider instead of scaling the image before pushing it to the model, thus ensuring that the original picture information will not be lost. To evaluate the system, we build a high-resolution UAV dataset with altitude, UDWA, which contains 46037 images. From the experiments, Aprus obtained 58.52% mAP, 94.17%mAP50, 66.17%mAR, 1.61FPS results on DJI Manifold 2G when the purpose is set to Balance mode, and the system can be adjusted by multiple preset purposes or according to the user customs.",,979-8-3503-1993-4,10.1109/HPCC-DSS-SmartCity-DependSys57074.2022.00083,"National Natural Science Foundation of China(grant numbers:62162067,62101480); China Postdoctoral Science Foundation(grant numbers:2021M693227); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074645,Altitude adaptive;Purpose related;Object detection;UAV system;Edge Computing;Embedded system,Meters;Manifolds;Adaptation models;Image resolution;Atmospheric modeling;Object detection;Autonomous aerial vehicles,autonomous aerial vehicles;deep learning (artificial intelligence);disasters;geophysical image processing;image fusion;image resolution;image sampling;object detection;remotely operated vehicles;video signal processing,airborne altitude adaptive;airborne altitude-adaptive purpose-related UAV System;Aprus;current altitude;disaster relief;edge scenarios;high-resolution UAV dataset;higher altitudes;mission accuracy;multiple preset purposes;purpose-related evaluation indicator;selection strategy;self-adaptation strategy;shorter altitudes;situational awareness;smaller images;suitable object detection models;trade-off between flight altitude;unmanned aerial vehicle system;user experience,,,,40,IEEE,28-Mar-23,,,IEEE,IEEE Conferences
Robust Control of Full Bridge Inverter Based on Improved High-Order Sliding Mode Controller,H. Zhang; Y. Li; Z. Wang; J. Yang; J. Cao,"New Smart City High-Quality Power Supply Joint Laboratory of China, Southern Power Grid (Shenzhen Power Supply Co., Ltd.), Shenzhen, Guangdong, P. R. China; New Smart City High-Quality Power Supply Joint Laboratory of China, Southern Power Grid (Shenzhen Power Supply Co., Ltd.), Shenzhen, Guangdong, P. R. China; New Smart City High-Quality Power Supply Joint Laboratory of China, Southern Power Grid (Shenzhen Power Supply Co., Ltd.), Shenzhen, Guangdong, P. R. China; Department of Automation, Tsinghua University, Beijing, P. R. China; Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, P. R. China",2022 12th International Conference on Power and Energy Systems (ICPES),27-Mar-23,2022,,,152,157,"It is difficult to adjust the parameters for the controller in the stability control of a full bridge inverter due to its unknown upper bound. To solve this problem, an improved second-order sliding mode twisting algorithm based on adaptive parameter has been proposed and simulated. By adding the adaptive parameter method into the original second-order sliding mode twisting controller, improved controller not only automatically regulates its parameters according to states of system but also fully compensates the uncertainty of upper bound. The simulation in the output control of full bridge inverter illustrates that the system can reach the target value of voltage and current in finite time. Compared with original second-order sliding mode twisting algorithm, this improved algorithm, though under the existence of unknown upper bound, can effetely guarantee the finite-time stability of the system.",2767-732X,978-1-6654-5145-1,10.1109/ICPES56491.2022.10072535,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10072535,higher order sliding mode;twisting algorithm;adaptive;full bridge inverter,Robust control;Adaptation models;Upper bound;Uncertainty;Adaptive systems;System performance;Bridge circuits,adaptive control;bridge circuits;invertors;power system stability;robust control;variable structure systems,adaptive parameter;finite-time stability;full bridge inverter;high-order sliding mode controller;output control;robust control;second-order sliding mode twisting controller;stability control,,,,17,IEEE,27-Mar-23,,,IEEE,IEEE Conferences
Decision-Making Support to Auto-scale Smart City Platform Infrastructures,A. Solino; T. Batista; E. Cavalcante,"Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil; Federal University of Rio Grande do Norte, Natal, Brazil",2023 18th Iberian Conference on Information Systems and Technologies (CISTI),15-Aug-23,2023,,,1,6,"Smart city platforms support application development and deployment and typically rely on a robust, scalable underlying Information Technology infrastructure composed of cloud platforms, containers, virtual machines, storage, and other services. Such a runtime infrastructure must deal with the highly dynamic workload of the different applications, with simultaneous access from multiple users and sometimes working with many interconnected devices and systems. This scenario requires auto-scaling mechanisms that automatically and timely add or remove cloud resources in response to dynamic variations in workload. This paper introduces a decision-making mechanism that analyzes the monitored state of a smart city platform and its underlying infrastructure at runtime to decide whether auto-scaling is needed. The performance of the decision-making mechanism has been evaluated upon the computational environment that supports a platform for developing real-world smart city applications.",2166-0727,978-989-33-4792-8,10.23919/CISTI58278.2023.10212058,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212058,Smart city;auto-scaling;autonomic computing;MAPE-K loop,Cloud computing;Runtime;Smart cities;Decision making;Containers;Dynamic scheduling;Virtual machining,,,,,,14,,15-Aug-23,,,IEEE,IEEE Conferences
$AP^{3}$: Adaptive Power Prediction Framework based on Spatial Partition Multi-Phase Model,J. Chen; Z. Ou; Y. Guo; X. Qi; Y. Sun; L. Deng; H. Chen; Z. Lin,"College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China","2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",30-May-22,2021,,,89,98,"The accuracy of processor power modeling is an important foundation for power management and optimization on parallel computing system. It is difficult to build a high-accuracy instantaneous CPU/DRAM power prediction model. One of the main reasons for the low accuracy is that the processor architecture sometimes influence greatly on the accuracy of power prediction. For example, the accuracy of processor power model is affected by inaccurate modeling of the uncore part of processor. Another reason comes from the limitation of static models for instantaneous power prediction. Despite the existence of various optional linear/nonlinear models, the fixed training set and model coefficients are insufficient to make high-accuracy instantaneous predictions for various target programs. Aiming at the above two issues, this paper proposes an Adaptive Power Prediction framework based on spatial Partition multi-phase model ($AP^{3}$). Spatial partition mainly solves the impact of uncore power on the prediction accuracy, and adaptability solves the limitation of the static model on the power prediction accuracy. According to the experimental results on both ARM-based and x86-based processor platforms, $AP^{3}$ greatly increases the CPU and DRAM power instantaneous prediction accuracy. Spatial partition reduce the prediction error (MRE) by 0.3%–8.2% compared to previous single model, while adaptive update further reduces the error (MRE) by 1.7%–7.1% compared to previous static model.",,978-1-6654-9457-1,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00039,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781056,power prediction;spatial partition;adaptive update,Training;Adaptation models;Smart cities;Multicore processing;Computational modeling;Power system management;Random access memory,DRAM chips;multiprocessing systems;parallel processing;power aware computing,x86-based processor platforms;adaptive power prediction framework;spatial partition multiphase model;processor power modeling;power management;optimization;processor architecture;instantaneous CPU/DRAM power prediction model;parallel computing system;AP3;high-performance computing,,,,32,IEEE,30-May-22,,,IEEE,IEEE Conferences
Design and Implementation of Irrigation Water Saving Control System Based on WSN,D. Qiong; P. Hao,"Hunan Polytechnic of Water Resources and Electric Power, ChangSha, China; Changsha County Water Authority, ChangSha, China","2021 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",3-Sep-21,2021,,,75,78,"Aiming at the problem of low utilization rate and low intelligent degree of agricultural irrigation water, this paper proposes a water-saving agricultural adaptive irrigation system based on WSN and intelligent communication technology. The scheme integrates the embedded system technology, ZigBee wireless networking, GPRS transmission and automatic control technology, etc. From the overall system architecture, hardware application and software design, and the operation mechanism of the whole system are explained. Then, the key technologies of each function module design, such as data acquisition, wireless transmission, Zibee development, remote monitoring and so on, are provided. Finally, the simulation test of each part of the system is performed in the laboratory environment. The test results show that the intelligent farmland irrigation water-saving control system designed in this paper has good adaptability and stability, and greatly saves agricultural water consumption.",,978-1-6654-4854-3,10.1109/ICITBS53129.2021.00027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526052,water saving;ZigBee;intelligent irrigation;CC2350;WSN,Wireless communication;Irrigation;Wireless sensor networks;Software design;Zigbee;Control systems;Hardware,agricultural engineering;cellular radio;control engineering computing;control system synthesis;data acquisition;irrigation;packet radio networks;software architecture;wireless sensor networks;Zigbee,intelligent farmland irrigation water-saving control system;wireless transmission;function module design;software design;hardware application;system architecture;automatic control technology;ZigBee wireless networking;embedded system technology;intelligent communication technology;water-saving agricultural adaptive irrigation system;agricultural irrigation water;low intelligent degree;low utilization rate;WSN;agricultural water consumption,,3,,4,IEEE,3-Sep-21,,,IEEE,IEEE Conferences
Wind Force Model and Adaptive Control of Catamaran Model Sailboat,I. Astrov; A. Udal; H. Mõlder; T. Jalakas; T. Möller,"Finest Twins Smart City Center of Excellence, Tallinn University of Technology, Tallinn, Estonia; Department of Software Sciences, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia","2022 8th International Conference on Automation, Robotics and Applications (ICARA)",22-Mar-22,2022,,,202,208,"The development of algorithms of optimal control of autonomous vehicles (AV) has become a high priority task in order to ensure safe and energy effective use of different types of AVs. From viewpoint of waterborne AVs, the modeling of wind influence may help to use wind as potential additional movement energy source or otherwise, may help to design strategies to overcome the disturbances created by wind. Paper focuses on the development of methodology of modeling and control of movement of a light weight catamaran sailboat model. A theory-based adjustable controller for achieving desired heading angles is offered and analyzed in Simulink/MATLAB software environment. The results of the work are planned to take into use in development of a real autonomous catamaran vessel “Nymo” of 200 kg weight class dedicated for cargo transportation and environment monitoring.",2767-7745,978-1-6654-8383-4,10.1109/ICARA55094.2022.9738524,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9738524,catamaran sailboat;autonomous vessel;adaptive control;optimal control;wind force model,Space vehicles;Adaptation models;Force;Transportation;Optimal control;Software;Task analysis,adaptive control;boats;marine control;mobile robots;optimal control,wind force model;adaptive control;catamaran model sailboat;optimal control;autonomous vehicles;waterborne AVs;autonomous catamaran vessel Nymo;movement energy source;cargo transportation,,1,,18,IEEE,22-Mar-22,,,IEEE,IEEE Conferences
A Model-Based Adaptive Control of an Autonomous Driving Car for Lane Change Maneuver,I. Astrov; A. Udal; M. Jaanus,"Tallinn University of Technology, Finest Twins Smart City Center of Excellence, Tallinn, Estonia; Department of Software Sciences, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia","2021 44th International Convention on Information, Communication and Electronic Technology (MIPRO)",15-Nov-21,2021,,,1160,1165,"Design of effective computer control systems for different autonomous vehicles has become one of the high priority tasks in the present era of fast development Cyber-Physical Systems (CPS), Industry 4.0 systems the segment of self-driving cars in world economy in general. Paper discusses control mathematics of an Autonomous Vehicle (AV) highly nonlinear model of small shuttle bus weight class. To ensure safety of the autonomous line switching and compliance with the traffic rules in the demanding urban conditions of a Smart City, we offer a specially designed control system capable to assure smooth trajectory changes under given spatial constraints. Paper describes design and simulation of control system in Simulink/MATLAB environment. Results of the design will be implemented and tested on the full-scale autonomous shuttle minibus.",2623-8764,978-953-233-101-1,10.23919/MIPRO52101.2021.9597195,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9597195,adaptive control;autonomous vehicle;bicycle model;self-driving car;simulation;smart city,Adaptation models;Smart cities;Control systems;Mathematical models;Trajectory;Adaptive control;Vehicle dynamics,adaptive control;automobiles;control engineering computing;control system synthesis;mobile robots;road traffic;road vehicles;traffic engineering computing;vehicle dynamics,Autonomous Vehicle highly nonlinear model;shuttle bus weight class;autonomous line;demanding urban conditions;specially designed control system;smooth trajectory changes;full-scale autonomous shuttle minibus;model-based adaptive control;Autonomous driving car;lane change maneuver;effective computer control systems;different autonomous vehicles;high priority tasks;fast development Cyber-Physical Systems;cars;world economy,,,,21,,15-Nov-21,,,IEEE,IEEE Conferences
Adaptive Semi-supervise Graph Neural Network for Fault Diagnosis of Tunnel Ventilation Systems,H. Chen; X. -B. Wang; Z. -X. Yang,"State Key Laboratory of Internet of Things for Smart City, University of Macau, Macau SAR, China; State Key Laboratory of Internet of Things for Smart City, University of Macau, Macau SAR, China; State Key Laboratory of Internet of Things for Smart City, University of Macau, Macau SAR, China",2021 5th International Conference on System Reliability and Safety (ICSRS),3-Jan-22,2021,,,53,57,"Tunnel fans are typical and key fire-fighting electromechanical equipment to ensure the ventilation and safety of tunnel traffic. Effective maintenance of such a group of complex electromechanical equipment servicing in hazard environment is challenging for vulnerable to unexpected failure. However, the widely applied deep learning methods lack the capability that extracting features from sample organization. A novel semisupervised graph neural network (ASGNN) is proposed that is adaptive to fluctuate fault features. First, a clustering method is proposed to develop a knowledge alignment layer for the construction of the graph. Then, the embedded representation of the graph network is introduced to aggregate the information of the whole graph. Finally, an expectation-maximization (EM) algorithm-based learning method is developed to realize the alternate learning of both signal and relationship features. The proposed fault diagnosis solution has been verified with experiments, and the results demonstrated that the proposed method outperformed the state-of-the-art solutions.",,978-1-6654-0049-7,10.1109/ICSRS53853.2021.9660758,Science and Technology Development Fund; Ministry of Science and Technology; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9660758,Fault diagnosis;Tunnel fans;Graph neural network;Rotating machine;EM algorithm.,Fault diagnosis;Vibrations;Representation learning;Fans;Adaptive systems;Clustering methods;Organizations,fault diagnosis;feature extraction;graph theory;learning (artificial intelligence);neural nets;tunnels;ventilation,adaptive semisupervise graph neural network;tunnel ventilation systems;tunnel fans;key fire-fighting electromechanical equipment;safety;tunnel traffic;effective maintenance;complex electromechanical equipment servicing;hazard environment;unexpected failure;widely applied deep learning methods;sample organization;fault features;clustering method;knowledge alignment layer;graph network;expectation-maximization algorithm-based;alternate learning;relationship features;fault diagnosis solution,,,,23,IEEE,3-Jan-22,,,IEEE,IEEE Conferences
Adaptive Channel Detection for Full-Duplex Based IAB Systems on Unlicensed Channels,Q. Xiao; Z. Wu; J. Yuan; M. Zhou; G. Yu; R. Yin,"School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information and Electrical Engineering, Zhejiang University City College, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; School of Information and Electrical Engineering, Zhejiang University City College, Hangzhou, China","2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",30-May-22,2021,,,1475,1481,"Integrated access and backhaul (IAB) technology in the fifth generation (5G) network is key to facilitating the internet of devices and data sharing in smart cities. To promote the development of smart cities and improve cost-effectiveness, IAB exploits the unlicensed spectrums with full-duplex technology. However, the residual self-interference (RSI) in the full-duplex based IAB system would impact the accuracy of clear channel assessment (CCA), which becomes the main factor reducing system throughput performance. This paper proposes an adaptive channel detection (ACD) scheme, optimizes the sequence of self-interference cancellation and CCA detection with a fixed self-interference channel estimation period, and presents two optimal initial CCA energy detection (ED) threshold schemes. In addition, we dynamically adjust the ED threshold according to the interference power detected and transmission feedback to improve the accuracy of CCA detection. Simulation results are demonstrated to verify that the ACD scheme effectively reduces the impact of RSI on CCA detection and improves throughput performance.",,978-1-6654-9457-1,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00220,National Natural Science Foundation of China(grant numbers:61771429); Zhejiang Province public welfare technology application research project(grant numbers:GG22F010472); Academy of Finland(grant numbers:319759); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9781117,IAB;full-duplex;unlicensed band;CCA threshold adaptation;smart city,Interference cancellation;Adaptive systems;Smart cities;5G mobile communication;Simulation;Channel estimation;Full-duplex system,5G mobile communication;channel estimation;interference suppression;radio spectrum management,full-duplex based IAB systems;unlicensed channels;fifth generation network;data sharing;smart cities;unlicensed spectrums;full-duplex technology;residual self-interference;RSI;IAB system;clear channel assessment;system throughput performance;adaptive channel detection scheme;self-interference cancellation;CCA detection;fixed self-interference channel estimation period;optimal initial CCA energy detection;threshold schemes;interference power;transmission feedback;ACD scheme;integrated access and backhaul technology,,,,16,IEEE,30-May-22,,,IEEE,IEEE Conferences
