Title,Publication Year,Abstract,DOI
An adaptive policy-driven middleware for mobile computing,2017,"The recent trend in mobile computing has led to complex environments, and requirements which are changed dynamically. Adaptation is a solution for complex, and flexible mobile computing systems, it can not only dynamically adapt to a variety of changes inside of the physical layer, but also adapt to changes outside of their applications, and requirements. In this paper, we present an adaptive middleware system, which can dynamically relocate software components between computers to provide adaptation. On top of it, we also design a policy interpreter to execute user-defined adaptation to control the location of program at Runtime. This paper describes the two ideas with several scenarios, such as location measurement, and preference recommendation components in a sensor network. In the last, we demonstrate several sets of round-trip time through the proposed middleware system, and policies on Google Cloud Platform, which are verified in three instance groups at different zones.",10.1109/UIC-ATC.2017.8397632
Data-centric framework for adaptive smart city honeynets,2017,"A smart city system will contain diverse heterogeneous smart objects. Their complexity will range from simple reduced function devices (RFD) acting as common nodes, to full function devices (FFD) acting as coordinators and controlling actuators. As part of the Internet of Things, web facing devices can be remotely accessed for monitoring, control and data exchange. This makes them vulnerable to cyber attacks and compromise. To analyse such attacks, honeynets and honeypots are deployed to attract attackers and capture their activity for behavioural analysis. Designing honeynets is difficult due to the broad engineering scope of smart cities as a concept, and consequent diversity of smart object characteristics such as communication channels, interaction, data exchange and embedded security. This paper brings order to this diversity and scope by taking a data-centric view of smart city devices. The data-centric view assesses smart devices for their criticality, security and complexity. It presents a framework using this view, for adaptive honeynet development. It then validates the new framework by categorizing smart objects using the data centric view and applying them to the framework.",10.1109/SCSP.2017.7973836
Self-adaptive cyber city system,2016,"The trend in using information and communication technology as an engine of the current city management system has hypnotized various cities in the world, including Indonesia. Many terms appeared such as cyber city, smart city, intelligent city, or whatever it's called with the various developments of concepts that offer a wide range of sophistication and ease in managing any city needs. But behind the greatness of the proposed system, whether they are aware of how the characteristics of a city should be. In a city, there are so many diversities of the dynamic elements that make us must have an adaptive system to control it. This paper proposes an approach that has concern for the importance of adaptability to help the city management system. Two type of problems that become the main focus that make why the self-adaptive capability is important are deterministic and non-deterministic problems. The developed key strategy consists of two approaches. First, through series of modification for representing new problem space for solving a deterministic problem. Second, a non-deterministic problem is handled by a system that prepared automatically to search solution. The main objective of this paper is to depict a model to handle both types, through cyber city case illustration.",10.1109/ICAICTA.2016.7803142
Smart city concept as socio-technical system,2017,"Smart City is a very popular concept as the advancement in technology bring new possibilities how to make life in cities easier and more comfortable. Whereas the technical part of Smart City concept is highly discussed in research articles, impact on social part of this system is not in the center of interest. This article aims to contribute to the complex view of this concept. First we discuss different concepts close to Smart City and based on literature review to evaluate involvement into technical or social research areas. Then we use Leavitt's model adapted for Smart Cities to discuss all interconnected elements. Last part describe plans for Pardubice Smart City in the view of Leavitt's model.",10.1109/DT.2017.8024297
SCCIR: Smart Cities Critical Infrastructure Response Framework,2011,"Critical infrastructures play important roles in ensuring the wellbeing of the populace. Protecting critical infrastructures and ensuring their continued operation will be an important part of future Smart City ecosystems. Minimising the destruction of failing critical infrastructure components or system components that are geographically close critical services is essential. Equally important are the system of systems relationships that a failing system has, as these could render a minor system critical under certain circumstances. Infrastructure failure is usually brought under control through system adaptation e.g. using sensor area networks to close valves or by emergency response e.g. extinguishing fires. Current response procedures rely on antiquated information sharing techniques and provide little or no opportunity to effect change within the failing infrastructures systems. There may also be minimal understanding of the important systems of systems role that is being provided by components of the failing system. This paper details our initial work on the Smart Cities Critical Infrastructure response framework. The goal of our framework is to provide a response strategy to first responders based on smart cities information flows. Where these information flows have been compromised we propose a robust infrastructure state preservation system as to provide an interface to a failing critical infrastructure.",10.1109/DeSE.2011.112
DingNet: A Self-Adaptive Internet-of-Things Exemplar,2019,"Recent efforts have shown that research on self-adaptive systems can benefit from exemplars to evaluate and compare new methods, techniques and tools. One highly relevant application domain for self-adaptation is the Internet-of-Things (IoT). While some initial exemplars have been proposed for IoT, these exemplars are limited in scope to support research in realistic IoT domains, such as smart cities. To address this limitation, we introduce the DingNet exemplar, a reference implementation for research on self-adaptation in the domain of IoT. DingNet offers a simulator that maps directly to a physical IoT system that is deployed in the area of Leuven, Belgium. DingNet models a set of geographically distributed gateways, which are connected to a user application that is deployed at a front-end server. The gateways can interact over a LoRaWAN network with local stationary and mobile motes that can be equipped with sensors and actuators. The exemplar comes with a set of scenarios for comparing the effectiveness of different self-adaptive solutions. We illustrate how the exemplar is used for a typical adaptation problem of smart city IoT application, where mobile motes dynamically have to adapt their communication settings to ensure reliable and energy efficient communication.",10.1109/SEAMS.2019.00033
A Design Framework for Smart City Learning Scenarios,2013,"In this paper we present a design Framework for Smart City Learning scenarios based on three main aspects Learner, Contextualized Activity and Space. The strengths of our Design framework lie in the fact that, in a formal manner through friendly graphical interfaces, it allows pedagogical designers and teachers:(1) to specify, model, generate and simulate different types of context-aware and adaptive learning activities (e-learning, M-learning and P-learning) and their related contexts. (2) to design indoor and outdoor spaces within smart cities to enable pupils or students to learn through factual cases and to experiment various learning scenarios.(3) To model and simulate interactions and co-adaptivity rules between Learner, Contextualized Activity and Space.",10.1109/IE.2013.34
Capability Adaptive Elastic IoT Architecture,2015,"IoT networks, together with the data that flows between inter-networked smart devices are growing at unprecedented rates. Storing the data arriving in high volume at IoT gateways or transferring it to back-end clusters for timely processing and real-time response generation is not always feasible, and generally requires considerable overprovisioning of resources. In typical configurations, a computationally capable front-end gateway is available for coordinating the operation of smart devices and for linking them to computation and communication rich back-end infrastructure. It is attractive to harness the computational capabilities in front-end gateways to achieve elasticity of deployment so that the total throughput and response time of IoT solutions can be optimized by intelligent division of labor between devices, front-end gateways, and back-end servers. This paper proposes an Elastic Computing Framework (ECF), an architecture in which programmability of front-end machines is drawn upon to dynamically divide data processing tasks into those that see all of the data but perform simple operations on it, and those that see a transformed subset of the data and extract deep insights from it. This results in lifting the pressure on the network that links the front-and back-ends, and achieves capability adaptive deployment of IoT solutions. In experimental evaluation with one production usage scenario, this approach achieves between six fold and fifty fold reduction in data transferred to back-end clusters, and improves responsiveness by roughly sixteen fold.",10.1109/SmartCity.2015.138
Smart government assessment using Scottish Smart City Maturity Model: A case study of Depok city,2017,"Nowadays, many cities around the world are moving towards the smart city by advancing the utilization of ICT and Depok is one of them. The Scottish Smart City Maturity Model, a smart city framework adapted from the IDC model and British Standard Institution PAS 181, can be used as a reference in determining the concept and direction of a smart city implementation. It identifies and measures the existing condition of a city in order to map the city's capabilities. Smart government, as a blend of technology and innovation, can be described as the next step for e-government. It is identified a vital part of the transformation towards smart city. Hence, this study aims to assess the maturity of the smart government in Depok City. This study adopts the Scottish Smart City Maturity Model using a qualitative approach that includes interviews, observations, and document analysis. This study also performs weigh calculation to determine the importance of the smart government dimension using the Entropy method. The results show that Depok is at level 1 (Ad-hoc) indicating that the city is still focusing on the development and application of ICT and on improving the use of data in its services.",10.1109/ICACSIS.2017.8355018
An Adaptive Park Bench System to Enhance Availability of Appropriate Seats for the Elderly: A Safety Engineering Approach for Smart City,2019,"An important part of older adults' social integration is their involvement in urban life outdoors. While going outdoors contributes to participation and well-being, older adults often avoid to go outdoors because of deteriorating health and individual perceptions of threats to their safe mobility. A particular perceived threat to safety and a crucial barrier to go outdoors is the perception of lacking appropriate seating possibilities. To mitigate this barrier, we introduce an adaptive park bench system as an innovative form of smart urban objects. The system of adaptive park benches seeks to ensure that each pedestrian has available an appropriate seat when necessary. Empty adaptive park benches are particularly appropriate due to an active assistance functionality for sitting down and standing up. We developed an AI based algorithm and validated its effectiveness by conducting a simulation of a use case scenario created with domain experts.",10.1109/CBI.2019.00049
