"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An adaptive system architecture for devising adaptive user interfaces for mobile ERP apps","K. Omar; J. M. Gómez","Department of Computing Science, University of Oldenburg, Oldenburg, Germany; Department of Computing Science, University of Oldenburg, Oldenburg, Germany","2017 2nd International Conference on the Applications of Information Technology in Developing Renewable Energy Processes & Systems (IT-DREPS)","1 Feb 2018","2017","","","1","6","The mobile ERP model can enrich the research on smart city concept with an ICT application that can enhance the sustainability and the quality of business life for enterprises' employees, and economic prosperity for people. Presently, this model has become a core requirement for enterprises that have ERP systems, due to the benefits that can be reaped from it. However, this model suffers from poor usability, due to the usability challenges that are inherited from ERP systems, and the mobile context of use. Adaptive user interfaces (AUIs) were exploited in numerous research works as a means to improve the usability of software applications by addressing their usability challenges through these types of UIs. However, a knowledge gap was identified in finding an appropriate adaptive system architecture that can support the adaptation processes in AUIs for mobile ERP apps. Therefore, this paper aims to bridge this gap by presenting an adaptive system architecture that can enable the automatic adaptation for the UIs' components of mobile ERP apps according to the context of use.","","978-1-5386-1986-5","10.1109/IT-DREPS.2017.8277812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8277812","mobile ERP;adaptive system architecture;usability","Mobile communication;Adaptive systems;Usability;Systems architecture;Adaptation models;Task analysis;Navigation","business data processing;enterprise resource planning;ergonomics;information systems;mobile computing;smart cities;software architecture;user interfaces","adaptive user interfaces;usability challenges;adaptation processes;mobile ERP apps;automatic adaptation;mobile ERP model;smart city concept;ICT application;ERP systems;adaptive system architecture;AUIs","","","","32","IEEE","1 Feb 2018","","","IEEE","IEEE Conferences"
"Computer Aided Measurement of Smart City Multi-source Information Synergy Structure Dependent on Adaptive Artificial Immune Network Algorithm","Y. Yang","Department of Information Engineering, Shandong Vocational College of Light Industry, Zibo, Shandong, China","2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","21 Mar 2019","2019","","","183","187","In view of the low efficiency in the measurement of multi-source information synergy structure for the smart city and other problems, a kind of computer aided measurement of smart city multi-source information synergy structure (hereinafter referred to as CAMMISS for short) that is dependent on the adaptive artificial immune network algorithm (hereinafter referred to as AAINA for short) is put forward. Firstly, the number of the input and output nodes in the multi-source information synergy structure (hereinafter referred to as MSISS for short) is determined in accordance with the number of the situation input index and the value of the output situation. The connection weight value and the threshold value of each layer are randomly initialized, and the floating number encoding method is used to encode the weight value and the threshold value into the adaptive artificial immune network algorithm. The experimental results show that compared with the methods of the MSISS and the genetic algorithm for the optimization of the multi-source information, the method put forward in this paper has relatively fast convergence speed and relatively high prediction accuracy.","","978-1-7281-1307-4","10.1109/ICITBS.2019.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669542","Smart City Multi-source Information Synergy Structure;Adaptive Artificial Immune Network Algorithm;Multi-source Information;Prediction Accuracy","Adaptive systems;Smart cities;Loss measurement;Encoding;Convergence;Weight measurement;Prediction algorithms","artificial immune systems;convergence;information networks;smart cities","adaptive artificial immune network algorithm;computer aided measurement;threshold value;relatively high prediction accuracy;relatively fast convergence speed;floating number encoding method;situation input index;AAINA;CAMMISS;smart city multisource information synergy structure","","3","","7","IEEE","21 Mar 2019","","","IEEE","IEEE Conferences"
"DingNet: A Self-Adaptive Internet-of-Things Exemplar","M. Provoost; D. Weyns","Department of Computer Science, Katholieke Universiteit Leuven, Kulak, 8500 Kortrijk, Belgium; Department of Computer Science, Katholieke Universiteit Leuven & Linnaeus University, Belgium & 351 95 Vaxjo, Sweden","2019 IEEE/ACM 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","5 Aug 2019","2019","","","195","201","Recent efforts have shown that research on self-adaptive systems can benefit from exemplars to evaluate and compare new methods, techniques and tools. One highly relevant application domain for self-adaptation is the Internet-of-Things (IoT). While some initial exemplars have been proposed for IoT, these exemplars are limited in scope to support research in realistic IoT domains, such as smart cities. To address this limitation, we introduce the DingNet exemplar, a reference implementation for research on self-adaptation in the domain of IoT. DingNet offers a simulator that maps directly to a physical IoT system that is deployed in the area of Leuven, Belgium. DingNet models a set of geographically distributed gateways, which are connected to a user application that is deployed at a front-end server. The gateways can interact over a LoRaWAN network with local stationary and mobile motes that can be equipped with sensors and actuators. The exemplar comes with a set of scenarios for comparing the effectiveness of different self-adaptive solutions. We illustrate how the exemplar is used for a typical adaptation problem of smart city IoT application, where mobile motes dynamically have to adapt their communication settings to ensure reliable and energy efficient communication.","2157-2321","978-1-7281-3368-3","10.1109/SEAMS.2019.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787065","self-adaptation;exemplar;Internet-of-Things","Logic gates;Internet of Things;Sensors;Smart cities;Quality of service;Servers","computer network reliability;energy conservation;Internet of Things;internetworking;mobile computing;smart cities;wide area networks;wireless sensor networks","self-adaptive Internet-of-Things exemplar;geographically distributed gateways;LoRaWAN network;local stationary mote;mobile mote;Leuven;Belgium;DingNet models;physical IoT system;DingNet exemplar;realistic IoT domains;self-adaptive systems;smart city IoT application","","8","","27","IEEE","5 Aug 2019","","","IEEE","IEEE Conferences"
"Self-adaptive cyber city system","I. Supriana; K. Surendro; Aradea; E. Ramadhan","Institut Teknologi Bandung, Bandung, Jawa Barat, ID; Institut Teknologi Bandung, Bandung, Jawa Barat, ID; Universitas Siliwangi, Tasikmalaya, Jawa Barat, ID; Universitas Sriwijaya, Palembang, Sumatera Selatan, ID","2016 International Conference On Advanced Informatics: Concepts, Theory And Application (ICAICTA)","2 Jan 2017","2016","","","1","6","The trend in using information and communication technology as an engine of the current city management system has hypnotized various cities in the world, including Indonesia. Many terms appeared such as cyber city, smart city, intelligent city, or whatever it's called with the various developments of concepts that offer a wide range of sophistication and ease in managing any city needs. But behind the greatness of the proposed system, whether they are aware of how the characteristics of a city should be. In a city, there are so many diversities of the dynamic elements that make us must have an adaptive system to control it. This paper proposes an approach that has concern for the importance of adaptability to help the city management system. Two type of problems that become the main focus that make why the self-adaptive capability is important are deterministic and non-deterministic problems. The developed key strategy consists of two approaches. First, through series of modification for representing new problem space for solving a deterministic problem. Second, a non-deterministic problem is handled by a system that prepared automatically to search solution. The main objective of this paper is to depict a model to handle both types, through cyber city case illustration.","","978-1-5090-1636-5","10.1109/ICAICTA.2016.7803142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7803142","self-adaptive systems;intelligent systems;knowledge representation;rule-based systems;adaptive cyber city","Urban areas;Adaptation models;Context;Context modeling;Monitoring;Informatics;Engines","knowledge representation;smart cities","knowledge representation;adaptive system;intelligent city;smart city;current city management system;self-adaptive cyber city system","","","","18","IEEE","2 Jan 2017","","","IEEE","IEEE Conferences"
"Self-Adaptive Learning in Decentralized Combinatorial Optimization - A Design Paradigm for Sharing Economies","P. Pilgerstorfer; E. Pournaras","Professorship of Computational Social Science, ETH Zurich, Zurich, Switzerland; Professorship of Computational Social Science, ETH Zurich, Zurich, Switzerland","2017 IEEE/ACM 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","7 Jul 2017","2017","","","54","64","The democratization of Internet of Things and ubiquitous computing equips citizens with phenomenal new ways for online participation and decision-making in application domains of smart grids and smart cities. When agents autonomously self-determine the options from which they make choices, while these choices collectively have an overall system-wide impact, an optimal decision-making turns into a combinatorial optimization problem known to be NP-hard. This paper contributes a new generic self-adaptive learning algorithm for a fully decentralized combinatorial optimization: I-EPOS, the Iterative Economic Planning and Optimized Selections. In contrast to related algorithms that simply parallelize computations or big data and deep learning systems that often require personal data and overtake of control with implication on privacy-preservation and autonomy, I-EPOS relies on coordinated local decision-making via structured interactions over tree topologies that involve the exchange of entirely local and aggregated information. Strikingly, the cost-effectiveness of I-EPOS in regards to performance vs. computational and communication cost highly outperforms other related algorithms that involve non-local brute-force operations or exchange of full information. The algorithm is also evaluated using real-world data from two state-of-the-art pilot projects of participatory sharing economies: (i) energy management and (ii) bicycle sharing. The contribution of an I-EPOS open source software suite implemented as a paradigmatic artifact for community aspires to settle a knowledge exchange for the design of new algorithms and application scenarios of sharing economies towards highly participatory and sustainable digital societies.","","978-1-5386-1550-8","10.1109/SEAMS.2017.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7968132","learning;adaptation;optimization;decentralized system;network;sharing economy;smart grid;smart city","Decision making;Bicycles;Topology;Algorithm design and analysis;Cost function;Smart grids","Big Data;combinatorial mathematics;computational complexity;Internet of Things;iterative methods;learning (artificial intelligence);optimisation;power engineering computing;power system economics;power system planning;smart power grids","fully decentralized combinatorial optimization;economy sharing;Internet of Things democratization;smart grid;smart cities;optimal decision-making;NP-hard problem;generic self-adaptive learning algorithm;iterative economic planning and optimized selections;Big Data;deep learning system;energy management;bicycle sharing;I-EPOS open source software suite;paradigmatic artifact;knowledge exchange","","14","","29","IEEE","7 Jul 2017","","","IEEE","IEEE Conferences"
"A context model development process for smart city operations","A. Ghannem; M. S. Hamdi; W. Abdelmoez; H. H. Ammar","Information Systems Department, Ahmed Bin Mohammed Military College, Doha, Qatar; Information Systems Department, Ahmed Bin Mohammed Military College, Doha, Qatar; Software Engineering Department, Arab Academy for Science, Technology, and Maritime Transport, Alexandria, Egypt; Lane Department of Computer Sc. and Electrical Engineering, West Virginia University, Morgantown, WV, USA","2015 IEEE International Conference on Service Operations And Logistics, And Informatics (SOLI)","4 Jan 2016","2015","","","122","127","Systems enabling smart city operations are highly adaptive complex systems that pose great challenges in their development and operation. Current user-driven techniques for system domain modeling and requirements engineering are not adequate for supporting the development of such systems. In this paper, we propose a development process and an environment-driven modeling approach for the Requirement Engineering Context Awareness methodology to be used for smart city applications. To this end, we propose the use of ontologies to build the environment context model. We show that the environment dimension is the most important dimension of context with the highest impact of changes in a dynamic context. We illustrate our approach by presenting an ontology-based context model of I-Parking. We present dynamic models of typical scenarios of interactions. We propose our approach as an important step in developing highly adaptive context-aware systems for smart city operations where uncertainty and changing conditions in the environment need to be carefully modeled and addressed.","","978-1-4673-8480-3","10.1109/SOLI.2015.7367605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7367605","Requirement Engineering;Context-awareness;Ontology;Smart City;I-Parking","Context;Context modeling;Smart cities;Adaptation models;Requirements engineering;Cities and towns;Ontologies","adaptive systems;formal specification;formal verification;large-scale systems;ontologies (artificial intelligence);smart cities;ubiquitous computing","context model development process;smart city operations;adaptive complex systems;user-driven techniques;system domain modeling;environment-driven modeling approach;requirement engineering context awareness methodology;smart city applications;ontology-based context model;I-Parking;dynamic models;adaptive context-aware systems","","5","","28","IEEE","4 Jan 2016","","","IEEE","IEEE Conferences"
"A Smart City Application Modeling Framework: A Case Study on Re-engineering a Smart Retail Platform","P. Smiari; S. Bibi","Department of Informatics and Telecommunications Engineering, ImpediMed Hellas, Greece; Department of Informatics and Telecommunications, Engineering University of Western Macedonia, Greece","2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","21 Oct 2018","2018","","","111","118","Smart City Application Engineering is a challenging task due to the constantly evolving environment in which these applications operate and the variability of the different types of technologies that synthesize them. Therefore, flexibility and extendibility are two important quality attributes that should be taken into consideration when designing Smart City Applications. In this paper, we propose the Smart City Application Modeling Framework (SCAMF) for analyzing and designing Smart City applications that is based on the concept of Clean Architecture and adopts the representation formalism of feature models. SCAMF methodology is evaluated through a case study on a Smart Retail Platform. Quality indices like flexibility, extendibility along with metrics as complexity, cohesion and design size are compared to the initial version of the application that was completely re-engineered due to maintenance problems. The results of the study suggest that the proposed methodology improves quality indices like flexibility and extendibility up to 120%.","","978-1-5386-7383-6","10.1109/SEAA.2018.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8498194","Smart City;Feature models;class diagrams;requirements modeling","Smart cities;Business;Computer architecture;Adaptation models;Analytical models;Context modeling;Software","retail data processing;smart cities","smart city application engineering;smart retail platform;smart city application modeling framework;SCAMF;clean architecture;design size;flexibility;extendibility;complexity","","1","","21","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Smart City Roadway Lighting System Evaluation from Driver's Field of View","M. Navvab; F. Bisegna; F. Gugliermetti","The University of Michigan, Taubman College of Architecture and Urban Planning, Ann Arbor, MI, USA; Department of Astronautic, Electric and Energy Engineering Sapienza University, Rome, Italy; Department of Astronautic, Electric and Energy Engineering Sapienza University, Rome, Italy","2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe)","18 Oct 2018","2018","","","1","6","The latest Smart City roadway lighting technologies and their implementation in cities are being promoted as positive impacts on the quality of life within urban areas along with a sense of safety and security for drivers and pedestrians. Autonomous vehicles are a new addition to this complexity of infrastructure. This paper introduces a new methodology in the evaluation of Smart City lighting from the driver's field of view, and provides latest measured and simulated data that demonstrates the impact of roadway lighting on the driver's vision using “Adaptation Luminance” function. The results show the drivers' eye adaptation luminance under dynamics of the roadway lighting conditions and reactions to technological innovation in vehicle design while adjusting to Smart City lighting conditions. Solutions aimed at removing the driver from routine operational decision-making are presented, while considering the street lighting design of the future along with in-vehicle lighting conditions.","","978-1-5386-5186-5","10.1109/EEEIC.2018.8493497","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493497","Dynamic Roadways Lighting;Eye adaptation;Glare;Adaptation Luminance Function;Smart Cities","Lighting;Vehicles;Roads;Real-time systems;Smart cities;Visualization","brightness;roads;smart cities;street lighting","street lighting design;in-vehicle lighting conditions;Smart City roadway lighting system evaluation;autonomous vehicles;roadway lighting conditions;Smart City lighting conditions;adaptation luminance function","","2","","14","IEEE","18 Oct 2018","","","IEEE","IEEE Conferences"
"An adaptive policy-driven middleware for mobile computing","M. Chen; J. Sun","Department of Electrical and Information Engineering, China Central Normal University, Wuhan, China; Information Systems Architecture Research Division, National Institute of Informatics, Tokyo, Japan","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","28 Jun 2018","2017","","","1","8","The recent trend in mobile computing has led to complex environments, and requirements which are changed dynamically. Adaptation is a solution for complex, and flexible mobile computing systems, it can not only dynamically adapt to a variety of changes inside of the physical layer, but also adapt to changes outside of their applications, and requirements. In this paper, we present an adaptive middleware system, which can dynamically relocate software components between computers to provide adaptation. On top of it, we also design a policy interpreter to execute user-defined adaptation to control the location of program at Runtime. This paper describes the two ideas with several scenarios, such as location measurement, and preference recommendation components in a sensor network. In the last, we demonstrate several sets of round-trip time through the proposed middleware system, and policies on Google Cloud Platform, which are verified in three instance groups at different zones.","","978-1-5386-0435-9","10.1109/UIC-ATC.2017.8397632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397632","Adaptation;relocation;middleware;software component;policy;mobile computing","Mobile computing;Adaptive systems;Adaptation models;Computers;Cloud computing","cloud computing;middleware;mobile computing","adaptive policy;complex environments;flexible mobile computing systems;physical layer;adaptive middleware system;software components;policy interpreter;preference recommendation components;policies;Google Cloud Platform;user-defined adaptation","","","","19","IEEE","28 Jun 2018","","","IEEE","IEEE Conferences"
"HeyCitI: Healthy Cycling in a City using Self-Adaptive Internet-of-Things","M. Saelens; Y. Kinoo; D. Weyns","Katholieke Universiteit Leuven, Kulak, Kortrijk, Belgium; Katholieke Universiteit Leuven, Kulak, Kortrijk, Belgium; Katholieke Universiteit Leuven, Belgium","2020 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C)","15 Sep 2020","2020","","","226","227","Air pollution is the biggest environmental health risk in Europe. Smart city initiatives that rely on the Internet-of-Things (IoT) can help addressing the problem. In this paper, we introduce HeyCitI, short for Healthy Cycling in a City using IoT. HeyCitI finds the most healthy path in a city and dynamically adapts the path on the way avoiding areas with higher pollution. To that end, HeyCitI uses up to date information from pollution sensors deployed in the city to dynamically adapt the path. We developed a simulator of HeyCitI that is compatible with DingNet, an IoT infrastructure deployed in Leuven. We give an overview of the HeyCitI and illustrate how self-adaptation improves the air quality for cyclists in a typical scenario.","","978-1-7281-8414-2","10.1109/ACSOS-C51401.2020.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9196409","Air quality management;smart-cities;Internet-of-Things;self-adaptation","Pollution;Urban areas;Air quality;Sensors;Europe;Adaptation models;Navigation","air pollution;air quality;environmental science computing;health hazards;Internet of Things;smart cities","HeyCitI;pollution sensors;IoT infrastructure;Internet-of-Things;air pollution;environmental health risk;healthy cycling;Europe;Leuven;air quality","","4","","10","IEEE","15 Sep 2020","","","IEEE","IEEE Conferences"
