"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Hierarchical Security Framework for Defending Against Sophisticated Attacks on Wireless Sensor Networks in Smart Cities","J. Wu; K. Ota; M. Dong; C. Li","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Information and Electric Engineering, Muroran Institute of Technology, Muroran, Japan; Department of Information and Electric Engineering, Muroran Institute of Technology, Muroran, Japan; School of Information Engineering, Yangzhou University, Yangzhou, China","IEEE Access","20 May 2017","2016","4","","416","424","In smart cities, wireless sensor networks (WSNs) act as a type of core infrastructure that collects data from the city to implement smart services. The security of WSNs is one of the key issues of smart cities. In resource-restrained WSNs, dynamic ongoing or unknown attacks usually steer clear of isolated defense components. Therefore, to resolve this problem, we propose a hierarchical framework based on chance discovery and usage control (UCON) technologies to improve the security of WSNs while still taking the low-complexity and high security requirements of WSNs into account. The features of continuous decision and dynamic attributes in UCON can address ongoing attacks using advanced persistent threat detection. In addition, we use a dynamic adaptive chance discovery mechanism to detect unknown attacks. To design and implement a system using the mechanism described above, a unified framework is proposed in which low-level attack detection with simple rules is performed in sensors, and high-level attack detection with complex rules is performed in sinks and at the base station. Moreover, software-defined networking and network function virtualization technologies are used to perform attack mitigation when either low-level or high-level attacks are detected. An experiment was performed to acquire an attack data set for evaluation. Then, a simulation was created to evaluate the resource consumption and attack detection rate. The results demonstrate the feasibility and efficiency of the proposed scheme.","2169-3536","","10.1109/ACCESS.2016.2517321","National Natural Science Foundation of China(grant numbers:61401273,61431008); Japan Society for the Promotion of Science KAKENHI through the JSPS A3 Foresight Program.(grant numbers:26730056,15K15976); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7383218","Smart city;attack detection;chance discovery;wireless sensor networks (WSNs);software-defined networking;Smart city;wireless sensor networks (WSNs);chance discovery;attack detection;software-defined networking","Wireless sensor networks;Sensors;Base stations;Access control;Smart cities;Hierarchical systems","computer network security;smart cities;software defined networking;virtualisation;wireless sensor networks","resource consumption;high-level attacks;network function virtualization;software defined networking;low-level attack detection;unknown attack detection;dynamic adaptive chance discovery mechanism;advanced persistent threat detection;UCON technology;usage control technology;chance discovery technology;isolated defense component;smart services;WSN hierarchical security framework;smart cities;resource-restrained wireless sensor network;sophisticated attacks","","106","","35","OAPA","14 Jan 2016","","","IEEE","IEEE Journals"
"Internet of Smart City Objects: A Distributed Framework for Service Discovery and Composition","F. Sivrikaya; N. Ben-Sassi; X. -T. Dang; O. C. Görür; C. Kuster","GT -ARC gemeinnützige GmbH, Berlin, Germany; DAI-Labor, Technische Universität Berlin, Berlin, Germany; DAI-Labor, Technische Universität Berlin, Berlin, Germany; DAI-Labor, Technische Universität Berlin, Berlin, Germany; GT -ARC gemeinnützige GmbH, Berlin, Germany","IEEE Access","8 Feb 2019","2019","7","","14434","14454","Smart cities generally aim at efficiently organizing and managing city resources through a digital layer on top of the legacy infrastructure. As the digitalization trend goes on with an increasing pace and with the involvement of a diverse set of actors, proper management of this digital layer as well as the services deployed over it becomes ever more crucial. This paper presents our methodology of transforming the complex smart city concept and its digital layer into a structured model for creating a dynamic and adaptive service ecosystem in the digital cities of the future. An overview of the smart city concept and the three-tier architecture that emerges through the digitalization of cities is presented first, together with the main challenges in attaining coherent smart city service environments that can avoid fragmentation, ensure scalability, and allow reuse. The three major enablers that are identified in this direction are 1) a semantic functional description of city objects, representing physical devices or abstract services; 2) a distributed service directory that embodies available city services for service lookup and discovery; and 3) planning tools for selecting and chaining basic services to compose new complex services. For each of these, a high-level overview of the available tools and results from the research literature are provided as well as the relevant standards. This overview is complemented with our own approach and design choices in project ISCO (Internet of smart city objects). Through the implementation of two distinct use cases, this paper illustrates how ISCO components can jointly enrich service creation and consumption of various stakeholders in smart cities.","2169-3536","","10.1109/ACCESS.2019.2893340","Bundesministerium für Bildung und Forschung(grant numbers:16KIS0580); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616795","Smart cities;smart city objects;service discovery;service composition;semantic service description;adaptive planning","Smart cities;Standards;Tools;Interoperability;Europe","Internet;smart cities;town and country planning;Web services","digital layer;dynamic service ecosystem;adaptive service ecosystem;digital cities;coherent smart city service environments;abstract services;distributed service directory;service lookup;complex services;smart city objects;service creation;city resources;digitalization trend;complex smart city concept;city services","","33","","69","OAPA","17 Jan 2019","","","IEEE","IEEE Journals"
"Enhancing Privacy of Information Brokering in Smart Districts by Adaptive Pseudonymization","J. Suomalainen; J. Julku","VTT Technical Research Centre Of Finland, Espoo, Finland; VTT Technical Research Centre Of Finland, Espoo, Finland","IEEE Access","20 May 2017","2016","4","","914","927","District-wide real-time information sharing provides new opportunities to optimize infrastructures and, for example, the energy consumption of smart cities. However, information collection introduces new privacy threats that must be addressed. Existing anonymization solutions are not sufficient for the brokering of streaming real-time measurements. Advanced adversaries may utilize information available from different sources and correlation analyses to reveal a measurement's actual source. We analyze security and privacy requirements and design a privacy-enhancing architecture for an information brokering platform. We propose an adaptive pseudonymization framework to make privacy attacks harder and to gain real-time awareness of the robustness of the privacy protection of platforms. Finally, we present an initial evaluation of the proposal using real-world energy consumption measurements.","2169-3536","","10.1109/ACCESS.2016.2538818","European Union Seventh Framework Programme and VTT through the District of Future Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7426727","access control;anonymity;authentication;information sharing;privacy;real-time;security;smart city;Access control;anonymity;authentication;information sharing;privacy;real-time;security;smart city","Access control;Authentication;Information sharing;Real-time systems;Smart cities;Network security;Information management;Privacy;Security","authorisation;data privacy;smart cities","information brokering privacy enhancement;smart districts;district-wide real-time information sharing;energy consumption;smart cities;information collection;privacy threats;correlation analysis;privacy requirements;security requirements;privacy-enhancing architecture;information brokering platform;adaptive pseudonymization framework;privacy attacks;real-world energy consumption measurements","","5","","27","OAPA","7 Mar 2016","","","IEEE","IEEE Journals"
"Finite-Time Adaptive Fuzzy Quantized Control for a Quadrotor UAV","W. Yang; G. Cui; J. Yu; C. Tao; Z. Li","School of Electronic and Information Engineering, Suzhou University of Science and Technology, Suzhou, China; School of Electronic and Information Engineering, Suzhou University of Science and Technology, Suzhou, China; School of Automation, Qingdao University, Qingdao, China; School of Electronic and Information Engineering, Suzhou University of Science and Technology, Suzhou, China; School of Electronic and Information Engineering, Suzhou University of Science and Technology, Suzhou, China","IEEE Access","7 Oct 2020","2020","8","","179363","179372","In this paper, a finite-time command filtered backstepping (FTCFB) adaptive trajectory tracking control strategy is proposed for a quadrotor unmanned aerial vehicle (UAV) with quantized inputs and external disturbances. For the position subsystem and attitude subsystem, a finite-time command filter is introduced to faster approximate the derivative of virtual control signal, which can effectively avoid the problem of explosion of complexity inherent in the traditional backstepping design procedure. The fractional order error compensation mechanism is designed to remove the filter error, and it further improves control performance. From the Lyapunov stability theory, the boundedness of all signals in the closed-loop system is rigorously proved, and the position and attitude tracking errors can converge to a small neighborhood of the origin in finite-time. Finally, a numerical example is conducted to intuitively show the validity of the developed control scheme.","2169-3536","","10.1109/ACCESS.2020.3027854","National Natural Science Foundation of China(grant numbers:61703059,61973179,61873144,61801323); Natural Science Foundation of Jiangsu Province(grant numbers:BK20170291); Taishan Scholar Special Project Fund(grant numbers:TSQN20161026); China Post-Doctoral Science Foundation(grant numbers:2018M632621); Postgraduate Research and Practice Innovation Program of Jiangsu Province(grant numbers:SJCX20_1111); Science and Technology Projects Fund of Suzhou(grant numbers:SYG201708,SS2019029); Construction System Science and Technology Fund of Jiangsu Province(grant numbers:2017ZD066); Open Foundation of The Suzhou Smart City Research Institute, Suzhou University of Science and Technology(grant numbers:SZSCR2019003,SZSCR2019009); Applied Research Project for Postdoctoral Researchers of Qingdao; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9209958","Quadrotor unmanned aerial vehicle;command filtered backstepping;adaptive quantized control;finite-time control","Unmanned aerial vehicles;Backstepping;Attitude control;Trajectory tracking;Explosions;Complexity theory;Electronic countermeasures","adaptive control;aircraft control;attitude control;autonomous aerial vehicles;closed loop systems;control nonlinearities;control system synthesis;error compensation;fuzzy control;helicopters;Lyapunov methods;position control;stability;tracking;uncertain systems","finite-time adaptive fuzzy quantized control;quadrotor UAV;finite-time command filtered backstepping;trajectory tracking control strategy;quadrotor unmanned aerial vehicle;quantized inputs;external disturbances;position subsystem;attitude subsystem;virtual control signal;traditional backstepping design procedure;fractional order error compensation mechanism;filter error;control performance;attitude tracking errors","","6","","41","CCBY","30 Sep 2020","","","IEEE","IEEE Journals"
"A Novel Approach to Coordinating Green Wave System With Adaptation Evolutionary Strategy","Y. Zheng; R. Guo; D. Ma; Z. Zhao; X. Li","School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China","IEEE Access","7 Dec 2020","2020","8","","214115","214127","Urban arterial traffic coordination control has attracted much attention in smart city construction process. To achieve optimal signal timing, many studies have attempted to adjust green splits of a cycle time according to the distance between road intersections. However, existing green wave traffic control systems usually require a sophisticated calculation that depend upon the stability of vehicle speed and traffic flow, which can lead to weak robustness. Therefore, this article proposes two novel approaches to control arterial traffic coordination with the help of artificial intelligence: DDPG-BAND and ES-BAND. DDPG-BAND has two stages: a coarse-tuning stage reduces the blocking coefficient, and a fine-tuning stage optimizes the traffic evaluation index. ES-BAND introduces the Covariance Matrix Adaptation Evolutionary Strategy (CMA-ES), a scalable alternative to reinforcement learning, into signal timing. Different traffic variables are adopted as parameters to search for the optimal value by the CMA-ES. To evaluate the feasibility and effectiveness of our approaches, we import real traffic flow data from Zhongshan Road, Ningbo, Zhejiang Province, China, into a traffic environment simulator for training and then conduct a series of experiments. The results show that ES-BAND outperforms the traditional methods in terms of better convergence, lower journey time, fewer stops, and more throughput.","2169-3536","","10.1109/ACCESS.2020.3037129","National Key Research and Development Program of China(grant numbers:2019YFB210310,2019YFB2103104); China Postdoctoral Science Foundation(grant numbers:2019M663070); National Natural Science Foundation of China(grant numbers:4197134); Open Fund of the Key Laboratory of Urban Land Resources Monitoring and Simulation, Ministry of Land and Resources(grant numbers:KF-2018-03-036); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253530","Green wave traffic;artificial intelligence;optimization;signal control;smart city","Training;Roads;Green products;Stability criteria;Traffic control;Throughput;Timing","covariance matrices;evolutionary computation;learning (artificial intelligence);optimisation;road traffic control;traffic engineering computing","smart city construction process;optimal signal timing;green splits;cycle time;road intersections;green wave traffic control systems;vehicle speed;weak robustness;DDPG-BAND;ES-BAND;coarse-tuning stage;fine-tuning stage;traffic evaluation index;Covariance Matrix Adaptation Evolutionary Strategy;CMA-ES;traffic variables;traffic flow data;traffic environment;lower journey time;green wave system;urban arterial traffic coordination control","","8","","59","CCBYNCND","10 Nov 2020","","","IEEE","IEEE Journals"
"Adaptive Beamforming for Target Detection and Surveillance Based on Distributed Unmanned Aerial Vehicle Platforms","Q. Shen; W. Liu; L. Wang; Y. Liu","School of Information and Electronics, Beijing Institute of Technology, Beijing, China; Department of Electronic and Electrical Engineering, University of Sheffield, Sheffield, U.K.; Southwest China Institute of Electronic Technology, Chengdu, China; Southwest China Institute of Electronic Technology, Chengdu, China","IEEE Access","6 Nov 2018","2018","6","","60812","60823","A distributed sensor array network for target detection and surveillance is studied with sub-arrays placed on unmanned aerial vehicle (UAV) platforms, where arbitrary locations and rotation angles are allocated to each UAV-based sub-array in the predefined Cartesian coordinate system. In this model, one transmitter sends out a single signal and it is then reflected back from the targets and received by the distributed sensor array system. A joint reference signal-based beamformer (JRSB) is proposed for the static/slowly moving targets and UAV platforms where the Doppler effects can be ignored, leading to improved performance by exploiting the information collected by all the sub-arrays simultaneously. Then, the developed beamformer is extended to the dynamic case considering the Doppler effects, referred to as the frequency extended JRSB (FE-JRSB), achieving the potential maximum output signal to interference plus noise ratio (SINR) by exploiting the information across the potential frequencies of interest jointly. The output signal of the beamformer with increased SINR can be used to assist the extended target detection in the following processing. Simulation results show that both are able to extract the signals of interest while suppressing interfering signals, and a lower mean square error and a higher output SINR are achieved compared with a regular reference signal-based beamformer using a single sub-array. One unique feature of the provided solutions is that, although the signals involved are narrowband, the employed beamforming structure has to be wideband for it to be effective.","2169-3536","","10.1109/ACCESS.2018.2875560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489853","Adaptive beamforming;distributed sensor network;unmanned aerial vehicle;static/moving targets;Doppler frequency","Sensor arrays;Array signal processing;Unmanned aerial vehicles;Interference;Object detection;Doppler effect;Signal to noise ratio","array signal processing;autonomous aerial vehicles;distributed sensors;Doppler effect;interference suppression;mean square error methods;object detection;remotely operated vehicles;sensor arrays","adaptive beamforming;surveillance;distributed unmanned aerial vehicle platforms;distributed sensor array network;arbitrary locations;rotation angles;UAV-based sub-array;predefined Cartesian coordinate system;single signal;distributed sensor array system;joint reference signal-based beamformer;UAV platforms;Doppler effects;improved performance;developed beamformer;employed beamforming structure;single sub-array;regular reference signal-based beamformer;higher output SINR;interfering signals;extended target detection;increased SINR;interference plus noise ratio;potential maximum output signal;FE-JRSB","","6","","27","CCBY","11 Oct 2018","","","IEEE","IEEE Journals"
"QoE Assessment of Encrypted YouTube Adaptive Streaming for Energy Saving in Smart Cities","W. Pan; G. Cheng","Key Laboratory of Computer Network and Information Integration, Ministry of Education, Nanjing, China; Key Laboratory of Computer Network and Information Integration, Ministry of Education, Nanjing, China","IEEE Access","24 May 2018","2018","6","","25142","25156","Video streaming has become one of the most prevalent mobile applications and uses a substantial portion of the traffic on mobile networks today. With the limited bandwidth of mobile networks, understanding the user perception of the quality (i.e., Quality of Experience or QoE) of video streaming services is thus paramount for content providers and content-delivery network providers to flexibly configure network bandwidth, video servers, routing devices, and other network resources to save energy in smart cities. Although various video QoE assessment approaches have been proposed using different key performance indicators (KPIs), they all essentially relate to a common parameter: bitrate. However, because YouTube has adopted hyper text transfer protocol over secure socket layer (HTTPS) as its adaptive video streaming method to better protect user privacy and network security, bitrate can no longer be obtained from encrypted video traffic via typical deep packet inspection. In this paper, we address this challenge by proposing a machine-learning-based bitrate estimation (MBE) approach to parse bitrate information from IP packet level measurements. First, we filter HTTPS YouTube traffic based on the previously established video server IP according to the data packet googlevideo field. Then, we identify the transmission mode according to the traffic characteristics of several previous packets. Next, we identify the bitrates and resolutions of HTTP Live Streaming and Dynamic Adaptive Streaming over HTTP modes according to the characteristics of video chunks. Finally, for evaluating the effectiveness of MBE, we have chosen the video Mean Opinion Score (vMOS) proposed by a leading telecom vendor as the QoE assessment framework, and have conducted comprehensive experiments to study the impact of bitrate estimation accuracy on its KPIs for the HTTPS YouTube video streaming service. Experimental results show that MBE is a feasible and highly effective QoE evaluation approach to flexibly configure network resources in smart cities.","2169-3536","","10.1109/ACCESS.2018.2811416","Fundamental Research Funds for the Central Universities; National High Technology Research and Development Program (863 Program) of China(grant numbers:2015AA015603); Jiangsu Future Networks Innovation Institute: Prospective Research Project on Future Networks(grant numbers:BY2013095-5-03); Six talent peaks of high level Talents Project of Jiangsu province(grant numbers:2011-DZ024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8310894","Hyper text transfer protocol over secure socket layer (HTTPS) YouTube;QoE assessment;adaptive streaming;machine learning;smart city","Streaming media;Quality of experience;YouTube;Bit rate;Cryptography;Adaptive systems;Smart cities","cryptography;hypermedia;IP networks;learning (artificial intelligence);quality of experience;smart cities;social networking (online);telecommunication traffic;transport protocols;video servers;video streaming","content-delivery network providers;video servers;smart cities;video QoE assessment approaches;secure socket layer;user privacy;network security;MBE;IP packet level measurements;data packet googlevideo field;HTTPS YouTube video streaming service;vMOS;video mean opinion score;machine-learning-based bitrate estimation approach;HTTPS YouTube traffic characteristics;encrypted YouTube adaptive video streaming service;QoE evaluation approach;HTTP live streaming;video server IP;video traffic encryption;mobile network applications;dynamic adaptive streaming;deep packet inspection;hypertext transfer protocol;KPI","","19","","52","OAPA","9 Mar 2018","","","IEEE","IEEE Journals"
"Fog of Everything: Energy-Efficient Networked Computing Architectures, Research Challenges, and a Case Study","E. Baccarelli; P. G. V. Naranjo; M. Scarpiniti; M. Shojafar; J. H. Abawajy","Department of Information Engineering, Electronics and Telecommunications, Sapienza University of Rome, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications, Sapienza University of Rome, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications, Sapienza University of Rome, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications, Sapienza University of Rome, Rome, Italy; School of Information Technology, Deakin University, Geelong, VIC, Australia","IEEE Access","19 Jun 2017","2017","5","","9882","9910","Fog computing (FC) and Internet of Everything (IoE) are two emerging technological paradigms that, to date, have been considered standing-alone. However, because of their complementary features, we expect that their integration can foster a number of computing and network-intensive pervasive applications under the incoming realm of the future Internet. Motivated by this consideration, the goal of this position paper is fivefold. First, we review the technological attributes and platforms proposed in the current literature for the standing-alone FC and IoE paradigms. Second, by leveraging some use cases as illustrative examples, we point out that the integration of the FC and IoE paradigms may give rise to opportunities for new applications in the realms of the IoE, Smart City, Industry 4.0, and Big Data Streaming, while introducing new open issues. Third, we propose a novel technological paradigm, the Fog of Everything (FoE) paradigm, that integrates FC and IoE and then we detail the main building blocks and services of the corresponding technological platform and protocol stack. Fourth, as a proof-of-concept, we present the simulated energy-delay performance of a small-scale FoE prototype, namely, the V-FoE prototype. Afterward, we compare the obtained performance with the corresponding one of a benchmark technological platform, e.g., the V-D2D one. It exploits only device-to-device links to establish inter-thing “ad hoc” communication. Last, we point out the position of the proposed FoE paradigm over a spectrum of seemingly related recent research projects.","2169-3536","","10.1109/ACCESS.2017.2702013","GAUChO-A Green Adaptive Fog Computing and Networking Architectures Project through the MIUR Progetti di Ricerca di Rilevante Interesse Nazionale (PRIN) Bando 2015(grant numbers:2015YPXH4W 004); Vehicular Fog Energy-Efficient QoS Mining and Dissemination of Multimedia Big Data Streams Project (V-FOG) through Sapienza University of Rome Bando 2016; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7921687","Fog of IoE;virtualized networked computing platforms for IoE;context-aware networking-plus-computing distributed resource management;Internet of Energy;Smart City;Industry 4.0;Big Data Streaming;future Internet","Cloud computing;Big Data;Edge computing;Biological system modeling;Ecosystems;Smart cities","Internet;protocols;ubiquitous computing","energy-efficient networked computing architectures;fog computing;FC;Internet of Everything;IoE;complementary features;network intensive pervasive applications;Industry 4.0;Smart City;Big data streaming;Fog of Everything;technological platform;protocol;simulated energy-delay performance","","238","","159","OAPA","7 May 2017","","","IEEE","IEEE Journals"
"Dynamic Network Model for Smart City Data-Loss Resilience Case Study: City-to-City Network for Crime Analytics","O. Kotevska; A. G. Kusne; D. V. Samarov; A. Lbath; A. Battou","National Institute of Standards and Technology, Gaithersburg, MD, USA; National Institute of Standards and Technology, Gaithersburg, MD, USA; National Institute of Standards and Technology, Gaithersburg, MD, USA; University of Grenoble Alpes, Grenoble, France; National Institute of Standards and Technology, Gaithersburg, MD, USA","IEEE Access","25 Oct 2017","2017","5","","20524","20535","Today's cities generate tremendous amounts of data, thanks to a boom in affordable smart devices and sensors. The resulting big data creates opportunities to develop diverse sets of context-aware services and systems, ensuring smart city services are optimized to the dynamic city environment. Critical resources in these smart cities will be more rapidly deployed to regions in need, and those regions predicted to have an imminent or prospective need. For example, crime data analytics may be used to optimize the distribution of police, medical, and emergency services. However, as smart city services become dependent on data, they also become susceptible to disruptions in data streams, such as data loss due to signal quality reduction or due to power loss during data collection. This paper presents a dynamic network model for improving service resilience to data loss. The network model identifies statistically significant shared temporal trends across multivariate spatiotemporal data streams and utilizes these trends to improve data prediction performance in the case of data loss. Dynamics also allow the system to respond to changes in the data streams such as the loss or addition of new information flows. The network model is demonstrated by city-based crime rates reported in Montgomery County, MD, USA. A resilient network is developed utilizing shared temporal trends between cities to provide improved crime rate prediction and robustness to data loss, compared with the use of single city-based auto-regression. A maximum improvement in performance of 7.8 % for Silver Spring is found and an average improvement of 5.6 % among cities with high crime rates. The model also correctly identifies all the optimal network connections, according to prediction error minimization. City-to-city distance is designated as a predictor of shared temporal trends in crime and weather is shown to be a strong predictor of crime in Montgomery County.","2169-3536","","10.1109/ACCESS.2017.2757841","Information Technology Laboratory, National Institute of Standards and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8066282","Adaptive algorithms;geospatial analysis;predictive models;statistical learning","Smart cities;Resilience;Market research;Data models;Sensors;Predictive models","Big Data;data analysis;data handling;data mining;emergency services;Internet;police data processing;smart cities;town and country planning;ubiquitous computing","smart devices;big data;smart city data-loss resilience;crime rate prediction;city-to-city distance;optimal network connections;single city;resilient network;city-based crime rates;data prediction performance;multivariate spatiotemporal data streams;shared temporal trends;service resilience;data collection;data loss;emergency services;crime data analytics;smart cities;dynamic city environment;smart city services;context-aware services;sensors;city-to-city network;dynamic network model","","18","","21","OAPA","12 Oct 2017","","","IEEE","IEEE Journals"
"Energy and Congestion-Aware Routing Metric for Smart Grid AMI Networks in Smart City","R. Ullah; Y. Faheem; B. -S. Kim","Department of Electronics and Computer Engineering, Hongik University, Sejong, South Korea; Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Computer and Information Communications Engineering, Hongik University, Sejong, South Korea","IEEE Access","3 Aug 2017","2017","5","","13799","13810","Advanced metering infrastructure (AMI) is becoming a vital part of utility distribution networks, allowing the development of smart cities. AMI consists of smart electric, gas, and water meters, and the devices are very limited in terms of battery, processing power, and memory. The deployment and operational needs of energy-constrained network infrastructures in smart water and gas metering systems require the use of routing mechanisms that consider energy consumption, minimize energy use, and prolong network lifetime. An efficient routing metric is needed for energy-constrained devices. In this paper, we propose an energy- and congestion-aware routing metric for smart meter networks to be deployed in smart cities. The proposed metric is an adaptive parent node selection mechanism that considers the residual energy and queue utilization of neighboring nodes. Minimizing power consumption will enhance network lifetime. The proposed scheme was evaluated with the Cooja Simulator 3.0 using random and grid topology. The simulation results show greater network performance in terms of average power consumption and packet delivery ratio.","2169-3536","","10.1109/ACCESS.2017.2728623","Basic Science Research Program through the National Research Foundation of Korea from the Ministry of Education(grant numbers:2015R1D1A1A01059186); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7983339","Low power and lossy networks;smart city;smart grid;802.15.4;advance metering infrastructure (AMI);IoT;6LoWPAN","Routing;Measurement;Smart cities;Routing protocols;Smart grids;Meters;Batteries","distribution networks;energy consumption;flowmeters;metering;queueing theory;smart cities;smart meters;smart power grids;telecommunication network reliability;telecommunication network routing;telecommunication network topology;water meters","grid topology;average power consumption;packet delivery ratio;random topology;Cooja Simulator 3.0;network lifetime enhancement;power consumption minimization;neighboring nodes;queue utilization;residual energy;adaptive parent node selection mechanism;smart meter networks;energy-constrained devices;efficient routing metric;energy use minimization;energy consumption;routing mechanism;energy-constrained network infrastructures;water meters;gas meters;smart electric meters;utility distribution networks;AMI;advanced metering infrastructure;smart city;smart grid AMI networks;energy-congestion-aware routing metric","","89","1","28","OAPA","18 Jul 2017","","","IEEE","IEEE Journals"
