Title,Year,DOI,Link,Abstract,Author Keywords
"A systematic literature review on intelligent user interfaces: Preliminary results",2019,"10.1145/3366551.3370344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078406061&doi=10.1145%2f3366551.3370344&partnerID=40&md5=36e34fca3b34fdbc3fd623f52830e247","The user interfaces promote the interaction with the software system to achieve the users' goals. In this way different types of interaction are provided, such as direct manipulation, web UI or tangible interaction. These interfaces have evolved, including artificial intelligence and adaptation mechanisms to answer the evolution of the technological areas. From this evolution emerged the intelligent user interfaces that aim to be more effective, efficient, and natural. Considering the importance of IUI nowadays, we have performed a systematic literature review to investigate the design trends of IUIs in the context of contemporary software systems, such as software systems based on internet of things (IoT) or dedicated to smart cities. Preliminary results show which models and technologies are most used to develop IUIs, and which application domain is mostly represented. © 2019 Copyright is held by the owner/author(s).","Evidence-based software engineering; Intelligent user interface; Systemic literature review"
"Enviroscale: Resilient data collection for air quality monitoring in developing cities",2019,"10.1145/3364544.3373164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078122362&doi=10.1145%2f3364544.3373164&partnerID=40&md5=b8510063b8343428908f5a715b8e1012","In this panel talk, we present our experiences regarding the development and deployment of an Internet of Things (IoT) based air quality monitoring system for developing cities. We consider the areas where widespread free WiFi is not prevalent; instead, the platform needs to rely on expensive and metered cellular data connections with limited data budgets. For the better utilization of the limited data plan, we apply two adaptation techniques in sensemaking. First, we adjust sensing intervals of periodic sensors so that the data volume remains bounded within the plan. Second, we enable putting application-specific software modules on-board through containers to process media data locally and thus to reduce bulk upload. The platform we developed is called EnviroSCALE (Environmental Sensing and Community Alert Network), which hosts a set of air quality sensors on a Raspberry Pi and uses a 3G connection to upload data. We outline our deployment experience of EnviroSCALE in Dhaka city, the capital of Bangladesh. © 2019 Association for Computing Machinery.",
"Chars: A cultural heritage adaptive recommender system",2019,"10.1145/3364544.3364830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078106851&doi=10.1145%2f3364544.3364830&partnerID=40&md5=d8bafdf052a321a55b24a35965fa3583","One of the most significative resource of a territory is represented by the Cultural Heritage (CH). CH may be seen as one of the scenarios where new technologies, for example adaptive systems able to promote services, can provide more interesting contributions and relevant information. The aim of this paper is to introduce a methodology to design a chatbot based on a Context-Aware System able to recommends contents and services according to context and users' profile. A first prototype able to support tourists during a visit to Paestum Archeological Park was developed with aim to test the proposed architecture. The first experimental results are encouraging and show the potentiality of the proposed methodology. © 2019 Association for Computing Machinery.","Context-Aware Computing; E-Tourism; Natural Language Processing; Recommender System; Smart City"
"Adaptive parallel execution of deep neural networks on heterogeneous edge devices",2019,"10.1145/3318216.3363312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076258062&doi=10.1145%2f3318216.3363312&partnerID=40&md5=f5e4638abd23b05adb825c3ea47b6cb9","New applications such as smart homes, smart cities, and autonomous vehicles are driving an increased interest in deploying machine learning on edge devices. Unfortunately, deploying deep neural networks (DNNs) on resource-constrained devices presents significant challenges. These workloads are computationally intensive and often require cloud-like resources. Prior solutions attempted to address these challenges by either introducing more design efforts or by relying on cloud resources for assistance. In this paper, we propose a runtime adaptive convolutional neural network (CNN) acceleration framework that is optimized for heterogeneous Internet of Things (IoT) environments. The framework leverages spatial partitioning techniques through fusion of the convolution layers and dynamically selects the optimal degree of parallelism according to the availability of computational resources, as well as network conditions. Our evaluation shows that our framework outperforms state-of-art approaches by improving the inference speed and reducing communication costs while running on wirelessly-connected Raspberry-Pi3 devices. Experimental evaluation shows up to 1.9× ∼ 3.7× speedup using 8 devices for three popular CNN models. © 2019 Association for Computing Machinery.","Deep learning; Edge devices; Inference; Parallel execution"
"Vision for a holistic smart city-HSC: Integrating resiliency framework via Crowdsourced Community Resiliency Information System (CRIS)",2019,"10.1145/3356395.3365541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077317486&doi=10.1145%2f3356395.3365541&partnerID=40&md5=060c319c1affd4d70e068b47d61b2f00","This vision paper discusses future directions and existing gaps in integrating smart city initiatives with resilience frameworks. It proposes the use of a multi-modular crowdsourced Community Resiliency Information System (CRIS) to overcome traditional smart citiesâĂŹ focus on infrastructure and grid vulnerabilities/resiliency while overlooking socio-economic vulnerabilities. CRIS is conceptualized based on our previous research which identified the importance of customized information and targeted resources to foster preparedness, adaptation and resiliency among diverse communities. Our proposed vision of a smart city integrated with CRIS allows scalable and customizable solutions for policy-makers using information generated âĂŸby the peopleâĂŹ, thus ensuring participation of diverse communities in smart city technology, thus creating a Holistic Smart City (HSC). CRIS will foster a two-way communication between government and communities by creating a grassroots, community-based, technology-enhanced needs assessment and disaster-response information system. Among other benefits, CRIS will generate and organize data to be used by the local community and policy makers and foster ongoing dialogue between neighborhoods and policymakers. CRIS will foster social capital at the neighborhood level by increasing grassroots knowledge and access to resources and information, fostering preparedness, adaptation, and resiliency/recovery, and aiding decision-makers in resource allocation and customized communications. CRIS moves the smart city beyond a mere infrastructure to create an interactive space for information exchange, democratic participation and a collaborative resilience-building process. © 2019 Association for Computing Machinery.","Community engagement; Crowdsourced; GIS; Integrated Decision Support System"
"ES-Band: A novel approach to coordinate green wave system with adaptation evolutionary strategies",2019,"10.1145/3356470.3365532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075622320&doi=10.1145%2f3356470.3365532&partnerID=40&md5=b4e16014b2711982c5a43f5fbd4155b4","Urban arterial traffic coordination control catches great attention in the process of smart city construction. To achieve the optimum signal timing, many studies attempt to adjust green splits of a cycle time according to the distance between the road intersections. However, the existing green wave traffic control system usually has a sophisticated calculation, which depends upon the stability of vehicle speed and traffic flow, leading to weak robustness. Therefore, this short paper puts forward ES-Band, that is, a novel approach to control arterial traffic coordination with the help of artificial intelligence. ES-Band introduces the Covariance Matrix Adaptation Evolutionary Strategies (CMA-ES), a scalable alternative to reinforcement learning, into signal timing. Different traffic variables are adopted as parameters for searching the optimal value by CMA-ES. In order to evaluate the feasibility and effectiveness of ES-Band, we import the real traffic flow data of Zhongshan Road in Ningbo, Zhejiang Province, China, into traffic environment simulator for training and carry out a series of experiments. The results have shown that the ES-Band outperforms the traditional methods in terms of a better convergence, lower travel time, and fewer stops. © 2019 Association for Computing Machinery.","CMA-ES; Green Wave Coordinate; Intelligent Signal Control; Traffic Simulator"
"Multi-agent adaptive learning system based on incremental hybrid case-based reasoning (IHCBR)",2019,"10.1145/3368756.3369030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077758637&doi=10.1145%2f3368756.3369030&partnerID=40&md5=817f80d3dfc776319650df62d26162ba","The advent of Web 2.0 has contributed to the development of adaptive learning by expanding its possibilities for interaction such as personalization; It has also enabled it to involve a considerable variety of artificial intelligence technologies. An adaptive learning system allows the presentation of learning materials to be tailored to needs, the characteristics and learning styles of learners and the dynamic change in the learning environment, by offering them personalized paths in real time and predicting dynamic learning situations. To ensure this intelligent customization and improve the quality of adaptation, we propose an architecture of a Multi-Agent adaptive learning system based on Incremental Hybrid Case-Based Reasoning (IHCBR) to make the right decision in real time in the face of a current learning situation, using both the execution of a classical cycle (linear process) and a dynamic cycle (dynamic process) of Case-Based Reasoning. This decision will be made by assigning each step of the Incremental Hybrid Case-Based Reasoning at least one agent who ensures a precise task and collaborates with other agents to follow dynamically the learner during the learning process by offering them a personalized real-time learning path. © 2019 Association for Computing Machinery.","Adaptive Learning System; Felder-Silverman Learning Style Model (FSLSM); Incremental Hybrid Case-Based Reasoning (IHCBR); Multi-Agent Systems (MAS); Personalized Path"
"An adaptive throttle and brake control system for automatic cruise control in disability support vehicle",2019,"10.1145/3368756.3369045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077755176&doi=10.1145%2f3368756.3369045&partnerID=40&md5=1684cf292fb5a6aa0c4535580abee12a","Throttle and brake control system implemented as an Anti-braking system with several modes of operation during normal and emergency conditions is available. However, using an intelligent system to support seamless motion of physically challenged people and senior citizens in heavy traffic is an emerging area of research. In this paper, an intelligent vehicle control system with adaptive throttle and brake control is proposed. A self-controlled and self-managed vehicle for physically disabled using various sensors and Raspberry Pi controller is developed. The adaptive model controls the throttle valve using motor based Proportional-Derivative (PD) Control. It uses high torque servo motors to pull the brake pedal to the desired level using automated torque control. Firmware is implemented to integrate the brake and the speed control using Rule-based algorithms that function based on the sensed traffic surroundings at high accuracy without jerk and steady-state error. A brake test is performed to examine the performance of the proposed model under loaded conditions of the support vehicle. The proposed model yields better results in contrast to the existing ones. © 2019 Association for Computing Machinery.","Brake Control; Cruise Control; Raspberry Pi Controller; Throttle Control; Traffic monitoring"
"Student profile modeling: An overview model",2019,"10.1145/3368756.3369075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077733544&doi=10.1145%2f3368756.3369075&partnerID=40&md5=b0cb2e134dfcbdfb5460e866aa367247","Today, provide a customized, personalized and adaptive service is a big challenge that improve the services and functionalities of systems. The knowledge of the user profile is a vital phase in this process. Profile modeling is an important field that aims to give an abstract representation of some aspects related to the user features. In the educational field, student profile modeling can be a support for decision-making at different levels like learning, orientation, and recommendation. It can mainly offer the most exact description of students in order to: be able to act in case of problems such as failure, drop out; offer students the most appropriate orientation and recommendation; and define the most adaptive learning resources depending on their profile. In this paper, we present an analytical and statistical study on student profile modeling to propose a detailed description of the student's profile obtained with different techniques in different contexts of the educational field. We aim to extract the different categories of student's features that can be used alone or combined for decision making in different fields. © 2019 Association for Computing Machinery.","E-portfolio; Learner profile; Machine learning; Ontologies; Profile modeling"
"Energy savings and thermal comfort benefits of shading devices: Case study of a typical Moroccan building",2019,"10.1145/3368756.3369044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077735723&doi=10.1145%2f3368756.3369044&partnerID=40&md5=e786be7858a39114e62a4a3e87f481b8","The building sector in Morocco represents about 25% of the country's total energy consumption, including 18% for the residential sector and 7% for tertiary sector. This energy consumption is expected to rise due to the significant rise of household equipment rates in HVAC facilities, mainly air conditioners. This work presents the effect of the use of solar protection (overhangs and wings) on the thermal comfort as well as the energy performance of a typical Moroccan building R+1 (Ground floor + First floor) in three different climates, namely Marrakech, Casablanca and Tangier. This was achieved through the use of the dynamic thermal simulation, which is performed by the TRNSYS software. The results show that the use of solar protection has made a positive contribution, first, to the thermal comfort and, secondly, to the energy performance of the studied building. This is reflected in reductions in heating and cooling demand, which represent 5.57%, 4.41% and 3.95% respectively in Casablanca, Marrakech and Tangier. © 2019 Association for Computing Machinery.","Adaptive thermal comfort; Dynamic thermal simulation; Energy efficiency; Green building; Overhangs and wings; Shading devices"
