Title,Year,DOI,Link,Abstract,Author Keywords
"An Adaptive Security Data Collection and Composition Recognition method for security measurement over LTE/LTE-A networks",2020,"10.1016/j.jnca.2020.102549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079237087&doi=10.1016%2fj.jnca.2020.102549&partnerID=40&md5=53f0c334437fe4c5230563484a1e233f","With the development of wireless communications, Mobile Networks have become an important part of our daily life and fueled the growth of many attractive technologies such as 5G, Internet of Things (IoT) and even Smart City. As a main bearer of current Mobile Networks, LTE/LTE-A carries massive and important business data but is facing more and more serious attack situations, which makes the Security Measurement over it become necessary and important. However, current methods are usually designed from specific malicious detections, which cannot provide the user with a synthetic view of security evaluation. Meanwhile, as the massive amount and poor quality of networking data are considered, the efficiency and accuracy of the current security measurement methods are usually not good. In this paper, we focus on the evaluation basis (the collecting data) of security measurement over LTE/LTE-A networks, and propose an Adaptive Security Data Collection and Composition Recognition (ASDCCR) method for it. We design heuristic algorithms and processing framework in ASDCCR to make the data collection adaptive and synthetic attack recognition become possible. We also verified the proposed method in simulated LTE environment of NS3 to verify the usability and accuracy of the proposed methods. © 2020 Elsevier Ltd","Data collection algorithm; Data composition algorithm; Data processing; LTE network security; NS3 simulation; Security measurement"
"Holarchic structures for decentralized deep learning: a performance analysis",2020,"10.1007/s10586-019-02906-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061624426&doi=10.1007%2fs10586-019-02906-4&partnerID=40&md5=6a3074e7971f96d01662eaa62b506d1a","Structure plays a key role in learning performance. In centralized computational systems, hyperparameter optimization and regularization techniques such as dropout are computational means to enhance learning performance by adjusting the deep hierarchical structure. However, in decentralized deep learning by the Internet of Things, the structure is an actual network of autonomous interconnected devices such as smart phones that interact via complex network protocols. Self-adaptation of the learning structure is a challenge. Uncertainties such as network latency, node and link failures or even bottlenecks by limited processing capacity and energy availability can significantly downgrade learning performance. Network self-organization and self-management is complex, while it requires additional computational and network resources that hinder the feasibility of decentralized deep learning. In contrast, this paper introduces a self-adaptive learning approach based on holarchic learning structures for exploring, mitigating and boosting learning performance in distributed environments with uncertainties. A large-scale performance analysis with 864,000 experiments fed with synthetic and real-world data from smart grid and smart city pilot projects confirm the cost-effectiveness of holarchic structures for decentralized deep learning. © 2019, The Author(s).","Deep learning; Holarchy; Multi-agent system; Optimization; Resilience; Smart city"
"Fast key-frame image retrieval of intelligent city security video based on deep feature coding in high concurrent network environment",2020,"10.1007/s12652-020-01679-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077719871&doi=10.1007%2fs12652-020-01679-8&partnerID=40&md5=b3b068164c63a0d1f5da4136e307c882","Aiming at the problems faced by the connection management module in single packet processing in intelligent city security video retrieval, we firstly propose the traffic locality quantization index based on the traffic characteristics of the backbone link to quantitatively analyze the traffic locality characteristics in the backbone link. And then, a key-frame abstraction and retrieval of videos based on deep learning is proposed to improve the efficiency and accuracy of video retrieval, where an adaptive key-frame selection algorithm is designed and the existing convolutional neural network framework is used to extract the features of key-frames, and unsupervised, semi-supervised and supervised retraining models are designed to improve the effectiveness of the feature extraction of the convolutional neural network and the accuracy of the video retrieval. Experimental results based on the public video datasets show that our proposed key-frame image retrieval model realizes a good precision for key-frame representation, and achieves high accuracy and efficiency for video retrieval. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.","Deep feature; Deep learning; Intelligent city; Key-frame selection; Retraining model; Security video"
"Adaptive interface ecosystems in smart cities control systems",2019,"10.1016/j.future.2019.06.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068528040&doi=10.1016%2fj.future.2019.06.029&partnerID=40&md5=b54be276d335305ded7a22dd4105d5dc","Recently it is possible to find a lot of studies that propose the improvement of user interfaces in Smart Cities data analysis systems. In general, these proposals tend to take too much care of the representation of data, but they tend to set aside the user experience (UX). New systems try to improve the experiences citizens in Smart Cities platforms, because many of these government platforms are not user-friendly and their quality, in terms of UX, are not up to the task. To solve this problem, both in the interface design and UX, the solution proposed in this article is the application of Adaptive Interface Ecosystems (AIE), a new concept that can be applied to existing interfaces. The advantage of using AIE on developed and in operation interfaces is that it is not necessary to redesign the interface, but rather they will be adjusted (adapting over time) to each user's own way of using and monitoring it. The AIEs give the possibility of perfecting the initial modeling of an interface, collecting and analyzing the segmented data of citizens’ interactions. The proposed model has been evaluated by expert users in a real scenario and compared with other existing software with similar features. © 2019","Adaptive interface ecosystems; Smart cities platforms; User experience"
"Data compression in ViSAR sensor networks using non-linear adaptive weighting",2019,"10.1186/s13638-019-1577-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075909543&doi=10.1186%2fs13638-019-1577-z&partnerID=40&md5=6ad5f1d7cf4c02f8f3dc2fbc6069cce1","Nowadays, industrial video synthetic aperture radars (ViSARs) are widely used for aerial remote sensing and surveillance systems in smart cities. A main challenge of a group of networked ViSAR sensors in an IoT-based environment is low bandwidth of wireless links for communicating big video data. In this research, we propose a non-linear statistical estimator for adaptive reconstruction of compressed ViSAR data. Our proposed reconstruction filter is based on an adaptively generated non-linear weight mask of spatial observations. It can strongly outperform several conventional and well-known reconstruction filters for three different video samples. © 2019, The Author(s).","Adaptive weighting; Data compression; Internet of Things (IoT); Interpolation; Non-linear reconstruction filter; Video synthetic aperture radar (ViSAR)"
"SEAL: SDN based secure and agile framework for protecting smart city applications from DDoS attacks",2019,"10.1016/j.jnca.2019.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069973339&doi=10.1016%2fj.jnca.2019.06.001&partnerID=40&md5=91ab76d387d0a90eb41f0b0da11bc7f6","Evolution of smart cities induces critical challenges related to cyber and network security. The increased reliance of a smart city on Information and Communication Technologies (ICT) infrastructure improves automation, efficiency, and sustainability of city services. However, it also poses enormous challenges for ensuring continued operations and services at all times and especially under cyber-attacks. Any lapse in cyber security can lead to critical disaster across the city. Distributed Denial of Service (DDoS) attacks are considered to be the most predominant and prevalent cyber-attacks. We believe that smart city could consist of numerous applications with varying level of network and security requirements. Therefore, providing an adaptive mechanism against DDoS attacks for all applications in a smart city is a key challenge. Further, considering the wide-scale requirements of a smart city, developing an adaptive and flexible solution is a key requirement. Considering these requirements, this paper presents SEAL (SEcure and AgiLe) – a novel Software Defined Networking (SDN) based adaptive framework for protecting smart city applications against DDoS attacks. The SEAL framework leverages key characteristics of SDN such as the global visibility, centralized control, and programmability to enhance the security and resilience. SEAL is capable of effectively detecting and mitigating DDoS attacks not only on application servers but also on network resources. SEAL is also unique in this regard that it provides application specific DDoS attack security solution instead of static threshold mechanism. Moreover, inherently distributed architecture of the SEAL framework ensures fault tolerance, scalability and reliability of the smart city. The SEAL framework comprises three modules, namely D-Defense, A-Defense and C-Defense. These modules collectively provide a mechanism to detect and mitigate DDoS attack on smart city applications and the network infrastructure. Adaptability in SEAL is achieved through implementing customized version of estimated-weighted moving average (EWMA) filters. Three types of filters, Proactive Filter, Active Filter, and Passive Filter are proposed and implemented to compute the dynamic threshold in real time for various types of applications. Experimental evaluation of the SEAL framework has been conducted to establish the efficacy of the framework and its components in detecting and mitigating DDoS attacks. The results prove that SEAL is able to detect and mitigate DDoS attacks effectively. The focus of the SEAL framework is to protect smart city applications, however, the SEAL framework can potentially be utilized in a wide range of systems. © 2019 Elsevier Ltd","DDoS attacks; SDN security; Smart city; Smart city security; Software defined networking"
"Adaptive PID controller for cloud smart city system stability control based on chaotic neural network",2019,"10.1007/s10586-017-1197-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030115838&doi=10.1007%2fs10586-017-1197-5&partnerID=40&md5=443d2e3064c1e7f3a9a29d43651ca0f1","Stability is an essential component in system control especially with those systems exhibiting a non-linear dynamic behaviour. PID controllers are an integral and most commonly used tuning method for control over non-linear systems due to their simplicity and ease of computational complexity. PID controllers are most useful to systems in real time in which the system control parameters vary very slowly or exhibit uncertainty consequently making prediction very complicated and delayed. Continuous and quick adaptation of PID controllers towards varying input determines the efficiency of the non-linear system and this research paper presents a radial basis neural network model in a chaotic configuration for tuning the PID controller in an adaptive manner. However, because mobile cloud computing inherits some characteristics of mobile computing itself, there may be problems such as network congestion, no signal area and crosstalk, which leads to the frequent failure of computing resources and service cooperation, which makes the availability of mobile cloud computing more difficult than traditional cloud calculate the more severe challenges. The scope of this research work is limited to training the neural network with a chaotic map and time series plots are obtained using the experimental results. The efficiency of the proposed chaotic network model is justified by the evaluation of accuracy and robustness of the model even in presence of disturbances. © 2017, Springer Science+Business Media, LLC.","Adaptive PID tuning; Chaotic neural networks; Dynamic response; Stability"
"Internet of Things network cognition and traffic management system",2019,"10.1007/s10586-018-1722-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041839803&doi=10.1007%2fs10586-018-1722-1&partnerID=40&md5=ce5c32c56f857505aa6e03c66a715827","In a world of ever increasing technological diversity and an advancing ‘Internet of Things’ (IoTs), business landscapes are changing. New conditions alter the way in which competence resources are regarded and how they need to be managed in order for organizations to sustain as successful actors in a knowledge economy. Information technology play an important role in this new setting, including network management systems for handling information concerning competence resources. This research focus on smart IoTs traffic management system, which is advertised by minimal cost, long scalability, great compatibility, easy to promote, to replace conventional traffic management system and the proposed approach can develop public road traffic enormously. The aim of this research proposed to develop an IoT public traffic adaptive detection system and proficient of supposing the travel time associated with each street sector based on the traffic information streamlined every 18 s, which sequentially finds the path with the minimal travel time in the traffic network by using a dynamic procedure. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Agent technology; Intelligent traffic; Internet of Things; Network architecture; Sensor system integration; Smart city; Wireless sensor networks"
"Characterizing traffic context-based user experience for public safety",2019,"10.35940/ijitee.A5241.119119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075208084&doi=10.35940%2fijitee.A5241.119119&partnerID=40&md5=5c386f332ce833bc3308d468b2198324","The modern interconnected digital world is a result of the rapid growth of information and communication technology (ICT.) A smart city aims to provide a single technological platform through integrating all its services, devices, interfaces, and infrastructure, allowing the city to operate in an intelligent way that can support social and benefit from the user experience. In this context, one of the critical issues associated with fast urbanization is traffic management, which needs intelligent infrastructures. In this paper, aiming to enhance public security, improve user experience, and ensure smooth traffic flow, a road traffic signal control mechanism is proposed to automatically control the duration of a green light signal at the signalized road intersections by using an intelligent fuzzy rule-based system (FRBS). This can assist traffic signal plan, which dynamically adjusts the time required for switching between green and red lights. For this purpose, the concept of traffic context based on user experience is proposed to define the context in terms of the number of vehicles, the number of pedestrians, time of day, and the weather conditions as the inputs for the fuzzy control system. The proposed system was designed keeping in view the busy junctions joining important and busy areas; the system is effective for traffic congestion control, energy saving, and enhancing public security and comfort. Also, the FRBS-assisted system is very flexible and not limited to the defined antecedents; consequently, it can be easily extended to accommodate other variables on demand, making it adaptive to any road intersection scenario. © BEIESP.","Fuzzy Rule-Based System; Intelligent transportation systems; Traffic context; User experience"
"An efficient encryption algorithm for the security of sensitive private information in cyber-physical systems",2019,"10.3390/electronics8111220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078216610&doi=10.3390%2felectronics8111220&partnerID=40&md5=87d726a8307a4ae64de7b4dd8904c736","The new developments in smart cyber-physical systems can be shown to include smart cities, Internet of things (IoT), and for the most part smart anything. To improve the security of sensitive personal information (SPI) in cyber-physical systems, we present some novel ideas related to the encryption of SPI. Currently, there are issues in traditional encryption methods, such as low speed of information acquisition, low recognition rate, low utilization rate of effective information resources, and high delay of information query. To address these issues, we propose a novel efficient encryption algorithm for the security of incremental SPI. First, our proposed method analyzes user information resources and determines valid data to be encrypted. Next, it uses adaptive acquisition methods to collect information, and uses our encryption method to complete secure encryption of SPI according to the acquisition results. Our experimental analysis clearly shows that the algorithm effectively improves the speed of information acquisition as well as effective information recognition rate, thus enhancing the security of SPI. The encryption model in turn can provide a strong guarantee for user information security. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.","CPS; Cyber-physical systems; Efficient algorithms; Encryption; Incremental data; Privacy information; Security"
