Title,Year,DOI,Link,Abstract,Author Keywords
"Adaptive interface ecosystems in smart cities control systems",2019,"10.1016/j.future.2019.06.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068528040&doi=10.1016%2fj.future.2019.06.029&partnerID=40&md5=b54be276d335305ded7a22dd4105d5dc","Recently it is possible to find a lot of studies that propose the improvement of user interfaces in Smart Cities data analysis systems. In general, these proposals tend to take too much care of the representation of data, but they tend to set aside the user experience (UX). New systems try to improve the experiences citizens in Smart Cities platforms, because many of these government platforms are not user-friendly and their quality, in terms of UX, are not up to the task. To solve this problem, both in the interface design and UX, the solution proposed in this article is the application of Adaptive Interface Ecosystems (AIE), a new concept that can be applied to existing interfaces. The advantage of using AIE on developed and in operation interfaces is that it is not necessary to redesign the interface, but rather they will be adjusted (adapting over time) to each user's own way of using and monitoring it. The AIEs give the possibility of perfecting the initial modeling of an interface, collecting and analyzing the segmented data of citizens’ interactions. The proposed model has been evaluated by expert users in a real scenario and compared with other existing software with similar features. © 2019","Adaptive interface ecosystems; Smart cities platforms; User experience"
"SEAL: SDN based secure and agile framework for protecting smart city applications from DDoS attacks",2019,"10.1016/j.jnca.2019.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069973339&doi=10.1016%2fj.jnca.2019.06.001&partnerID=40&md5=91ab76d387d0a90eb41f0b0da11bc7f6","Evolution of smart cities induces critical challenges related to cyber and network security. The increased reliance of a smart city on Information and Communication Technologies (ICT) infrastructure improves automation, efficiency, and sustainability of city services. However, it also poses enormous challenges for ensuring continued operations and services at all times and especially under cyber-attacks. Any lapse in cyber security can lead to critical disaster across the city. Distributed Denial of Service (DDoS) attacks are considered to be the most predominant and prevalent cyber-attacks. We believe that smart city could consist of numerous applications with varying level of network and security requirements. Therefore, providing an adaptive mechanism against DDoS attacks for all applications in a smart city is a key challenge. Further, considering the wide-scale requirements of a smart city, developing an adaptive and flexible solution is a key requirement. Considering these requirements, this paper presents SEAL (SEcure and AgiLe) – a novel Software Defined Networking (SDN) based adaptive framework for protecting smart city applications against DDoS attacks. The SEAL framework leverages key characteristics of SDN such as the global visibility, centralized control, and programmability to enhance the security and resilience. SEAL is capable of effectively detecting and mitigating DDoS attacks not only on application servers but also on network resources. SEAL is also unique in this regard that it provides application specific DDoS attack security solution instead of static threshold mechanism. Moreover, inherently distributed architecture of the SEAL framework ensures fault tolerance, scalability and reliability of the smart city. The SEAL framework comprises three modules, namely D-Defense, A-Defense and C-Defense. These modules collectively provide a mechanism to detect and mitigate DDoS attack on smart city applications and the network infrastructure. Adaptability in SEAL is achieved through implementing customized version of estimated-weighted moving average (EWMA) filters. Three types of filters, Proactive Filter, Active Filter, and Passive Filter are proposed and implemented to compute the dynamic threshold in real time for various types of applications. Experimental evaluation of the SEAL framework has been conducted to establish the efficacy of the framework and its components in detecting and mitigating DDoS attacks. The results prove that SEAL is able to detect and mitigate DDoS attacks effectively. The focus of the SEAL framework is to protect smart city applications, however, the SEAL framework can potentially be utilized in a wide range of systems. © 2019 Elsevier Ltd","DDoS attacks; SDN security; Smart city; Smart city security; Software defined networking"
"An adaptive whale optimization algorithm guided smart city big data feature identification for fair resource utilization",2019,"10.35940/ijitee.L3763.1081219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073780274&doi=10.35940%2fijitee.L3763.1081219&partnerID=40&md5=f616d6ca958962341464385a028317d2","World improvement is the development of every single province of the world. Smart city implies changed hardware to adjusted individuals. Smart cities have the most indispensable part in altering distinctive regions of human life, touching segments like transportation, wellbeing, vitality, and instruction. Productively to make measurements to improve distinctive smart city benefits huge information frameworks are put away, prepared, and mined in smart cities. For the change and course of action of huge information applications for smart cities, different difficulties are faces. In this paper, we propose a wrapper display based ideal element recognizable proof calculation for ideal use of assets given highlight subset age. Nine component determination techniques used for compelling element extraction. At last, which includes best add to the ideal usage of assets got by means of a novel element recognizable proof calculation made by the application out of a Whale Optimization Algorithm with Adaptive Multi-Population (WOA-AMP) system as inquiry process in a wrapper display driven by the notable relapse demonstrate regression model Random Forest with Support Vector Machine (RF-SVM). Our proposed calculation gives the exact method to choose the most agreeable feature blend, which prompts ideal asset usage. © BEIESP.","Adaptive Multi-Population (AMP); Feature selection; Random forest; Smart city; Whale Optimization Algorithm (WOA)"
"Interoperability network model for traffic forecast and full electric vehicles power supply management within the smart city",2019,"10.1016/j.adhoc.2019.101929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067441513&doi=10.1016%2fj.adhoc.2019.101929&partnerID=40&md5=a8b92e4e9fa6f1d0d6680b37c11cef5a","Information technologies and applied mathematics provide us with a comprehensive framework to search for solutions to problems derived from traffic management.It is relevant for the mobility in our future cities to integrate the Full Electric Vehicle (FEV) in an interoperability network which allows us to track the FEV autonomy and to forecast the traffic and the power supply demand in the city. The target is to optimize the energy consumption and to improve the mobility in the city. To achieve these goals we propose an infrastructure to efficiently manage the power supply availability in the network of charge stations in the city and an adaptive model to predict the traffic based on historic data and on time series obtained mathematically. © 2019","Applied computing∼information integration and interoperability; Interoperability for mobility; Power supply and traffic forecast modeling; Prediction algorithm; Smart city ecosystem; Software and its engineering∼software design engineering; Time series and Markov modeling"
"Research on smart city service system based on adaptive algorithm",2019,"10.1007/s10586-018-2266-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043702909&doi=10.1007%2fs10586-018-2266-0&partnerID=40&md5=73d855026f52b10269695a02a98abbec","The information resources of various departments are limited, resulting in duplication of information systems and extensive redundancy of hardware and software resources. In order to change the above status, catalogue management service system for smart city is introduced. In addition, the structural level of government information resources is analyzed. Cloud platform, information recommendation, string similarity matching and other technologies are used to connect and share the system information of the departmental government. In this case, the catalogue information resources are used wisely. The LPvA-Index index structure is given based on the existing Gram–Trie tree. LPvA-Index adaptively selects the appropriate length of the Prefix filter, resulting in fewer inverted tables. In addition, filters are used during reads, thus reducing the number of candidate sets and increasing the query efficiency of strings. At the same time, the length segmentation and location segmentation methods are applied to the Gram–Trie tree. Finally, the test platform is built. The efficiency of the LPvA-Index index structure and the existing LPA-Index index structure under certain conditions is tested and compared. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Index; Service system; Smart city; String similarity search"
"GoalD: A Goal-Driven deployment framework for dynamic and heterogeneous computing environments",2019,"10.1016/j.infsof.2019.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064225214&doi=10.1016%2fj.infsof.2019.04.003&partnerID=40&md5=b457fb2b5cdc28e66b87400011ed02ec","Context: Emerging paradigms like Internet of Things and Smart Cities utilize advanced sensing and communication infrastructures, where heterogeneity is an inherited feature. Applications targeting such environments require adaptability and context-sensitivity to uncertain availability and failures in resources and their ad-hoc networks. Such heterogeneity is often hard to predict, making the deployment process a challenging task. Objective: This paper proposes GoalD as a goal-driven framework to support autonomous deployment of heterogeneous computational resources to fulfill requirements, seen as goals, and their correlated components on one hand, and the variability space of the hosting computing and sensing environment on the other hand. Method: GoalD comprises an offline and an online stage to fulfill autonomous deployment by leveraging the use of goals. Deployment configuration strategies arise from the variability structure of the Contextual Goal Model as an underlying structure to guide autonomous planning by selecting available as well as suitable resources at runtime. Results: We evaluate GoalD on an existing exemplar from the self-adaptive systems community – the Tele Assistance Service provided by Weyns and Calinescu [1]. Furthermore, we evaluate the scalability of GoalD on a repository consisting of 430,500 artifacts. The evaluation results demonstrate the usefulness and scalability of GoalD in planning the deployment of a system with thousands of components in a few milliseconds. Conclusion: GoalD is a framework to systematically tackle autonomous deployment in highly heterogeneous computing environments, partially unknown at design-time following a goal-oriented approach to achieve the user goals in a target environment. GoalD has demonstrated itself able to scale for deployment planning dealing with thousands of components in a few milliseconds. © 2019 Elsevier B.V.","Autonomous deployment; Contextual goal modelling; Deployment planning; Heterogeneous computational resources"
"Toward global IoT-enabled smart cities interworking using adaptive semantic adapter",2019,"10.1109/JIOT.2019.2905275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067872110&doi=10.1109%2fJIOT.2019.2905275&partnerID=40&md5=91a81bba716fa1820331b49f24ae7e04","Since the Internet-of-Things (IoT) has been introduced, it is considered as one of the emerging technologies providing great opportunities to many vertical industries. One of the major IoT application areas that gets significant attention is smart city. Since it is unrealistic to expect full convergence toward a single IoT platform in the near future, it is mandatory to enable interworking between different platforms based on multiple standards, coexisting in the emerging smart cities. In this paper, we take the example of two global IoT standards, FIWARE and oneM2M, which are actively used in many smart city projects, and analyze them to show the feasibility of IoT platforms interworking. Based on the analysis, we design and implement a novel IoT interworking architecture providing a semantic driven integration framework suitable for smart city. The core idea behind our approach is to introduce interworking proxies that: 1) conduct a static mapping of sensor information between IoT platforms and 2) perform semantic interoperability using semantically annotated resources via a semantic interworking proxy that dynamically discovers new kinds of information and adapts itself to enable automatic translation of semantic data between given source and target IoT platforms while it is running. We present the system based on these proxies and evaluate it in Santander smart city. The results demonstrate that it is able to discover and manage IoT sensors connected to both oneM2M and FIWARE. It appears that the semantic approach provides the flexibility and dynamic adaptivity needed for fast growing and rapidly changing urban environments. © 2014 IEEE.","FIWARE; Internet-of-Things (IoT); Interoperability; Interworking; Machine-to-machine (M2M); OneM2M; Semantics; Smart city; Standards"
"An integrated information lifecycle management framework for exploiting social network data to identify dynamic large crowd concentration events in smart cities applications",2018,"10.1016/j.future.2017.07.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028348035&doi=10.1016%2fj.future.2017.07.026&partnerID=40&md5=06fcdd4534ca320b4abaccbfbb17dea9","With the current availability of an extreme diversity of data sources and services, emerging from the Internet of Things and Cloud domains, the challenge is shifted towards identifying intelligent, abstracted and adaptive ways of correlating and combining the various levels of information. The purpose of this work is to demonstrate such a combination, on one hand at the service level, through integrating smart cities platforms for user level data, and on the other hand at Complex Event Processing, Storage and Analytics capabilities together with Twitter data. The final goal is to identify events of interest to the user such as Large Crowd Concentration (LCC) in a given area, in order to enrich application level information with related event identification that can enable more sophisticated actions on behalf of that user. The identification is based on observation of Twitter activity peaks compared to historical data on a dynamic time and location of interest. The approach is validated through a two-month experiment in the city of Madrid, identifying LCCs in sporting events around two sports venues and analyzing various approaches with relation to the needed thresholds definition. © 2017 Elsevier B.V.","Analytics; Cloud computing; Event identification; Internet of things; Smart cities; Social networks"
"Adaptive and context-aware service composition for IoT-based smart cities",2017,"10.1016/j.future.2016.12.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010972095&doi=10.1016%2fj.future.2016.12.038&partnerID=40&md5=0e0d6abcff8d479392f6ee8edbb16704","Smart Cities are advancing towards an instrumented, integrated, and intelligent living space, where Internet of Things (IoT), mobile technologies and next generation networks are expected to play a key role. In smart cities, numerous IoT-based services are likely to be available and a key challenge is to allow mobile users perform their daily tasks dynamically, by integrating the services available in their vicinity. Semantic Service Oriented Architectures (SSOA) abstract the environment's services and their functionalities as Semantic Web Services (SWS). However, existing service composition approaches based on SSOA do not support dynamic reasoning on user tasks and service behaviours to deal with the heterogeneity of IoT domains. In this paper, we present an adaptive service composition framework that supports such dynamic reasoning. The framework is based on wEASEL, an abstract service model representing services and user tasks in terms of their signature, specification (i.e., context-aware pre-conditions, post-conditions and effects) and conversation (i.e., behaviour with related data-flow and context-flow constraints). To evaluate our composition framework, we develop a novel OWLS-TC4-based testbed by combining simple and composite services. The evaluation shows that our wEASEL-based system performs more accurate composition and allows end-users to discover and investigate more composition opportunities than other approaches. © 2017 Elsevier B.V.","Internet of Things; Real-time and semantic web services; Service modeling; Smart cities; Smart environments; Smart services; System design"
"An extension of the misci middleware for smart cities based on fog computing",2017,"10.4018/JITR.2017100102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028590307&doi=10.4018%2fJITR.2017100102&partnerID=40&md5=db288c370868c69768b1d44aefd3a077","In a Smart City is required computational platforms, which allow environments with multiple interconnected and embedded systems, where the technology is integrated with the people, and can respond to unpredictable situations. One of the biggest challenges in developing Smart City is how to describe and dispose of enormous and multiple sources of information, and how to share and merge it into a single infrastructure. In previous works, we have proposed an Autonomic Reflective Middleware with emerging and ubiquitous capabilities, which is based on intelligent agents that can be adapted to the existing dynamism in a city for, ubiquitously, respond to the requirements of citizens, using emerging ontologies that allow the adaptation to the context. In this work, we extend this middleware using the fog computing paradigm, to solve this problem. The fog extends the cloud to be closer to the things that produce and act on the smart city. In this paper, we present the extension to the middleware, and examples of utilization in different situations in a smart city. © 2017 IGI Global. Copying or distributing in print or electronic forms without written permission of IGI Global is prohibited.","Autonomic Reflective Middleware; Cloud Computing; Context Awareness; Fog Computing; Ontological Emergence; Smart City"
