Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Adaptive Governance for Attractive Smart City","Renewable Energy for Smart and Sustainable Cities","","","","10.1007/978-3-030-04789-4_10","Slimane Zalene","2019","http://link.springer.com/chapter/10.1007/978-3-030-04789-4_10","Chapter"
"A Design of Cyber-Physical System Architecture for Smart City","Recent Trends in Intelligent Computing, Communication and Devices","","","","10.1007/978-981-13-9406-5_116","Xinghua XiaChangxiao LiuHongcheng WangZhonghua Han","2020","http://link.springer.com/chapter/10.1007/978-981-13-9406-5_116","Chapter"
"CityAction a Smart-City Platform Architecture","Advances in Information and Communication","","","","10.1007/978-3-030-12388-8_16","Pedro MartinsDaniel AlbuquerqueCristina WanzellerFilipe CaldeiraPaulo ToméFilipe Sá","2020","http://link.springer.com/chapter/10.1007/978-3-030-12388-8_16","Chapter"
"Smart City 5.0 as an Urban Ecosystem of Smart Services","Service Oriented, Holonic and Multi-agent Manufacturing Systems for Industry of the Future","","","","10.1007/978-3-030-27477-1_33","Miroslav SvítekPetr SkobelevSergei Kozhevnikov","2020","http://link.springer.com/chapter/10.1007/978-3-030-27477-1_33","Chapter"
"Internet of Thing and Smart City: State of the Art and Future Trends","Advances in Computer Communication and Computational Sciences","","","","10.1007/978-981-13-0344-9_1","Ako A. JaafarKarzan H. SharifMazen I. GharebDayang N. A. Jawawi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0344-9_1","Chapter"
"Aggregating Heterogeneous Services in the Smart City: The Practice in China","Smart Computing and Communication","","","","10.1007/978-3-319-52015-5_46","Fangping LiBo Li","2017","http://link.springer.com/chapter/10.1007/978-3-319-52015-5_46","Chapter"
"Assessment of Business Benefits for the Operation of a Smart City Energy Management Platform","Business Information Systems Workshops","","","","10.1007/978-3-319-52464-1_24","Stefan ReichertJens Strüker","2017","http://link.springer.com/chapter/10.1007/978-3-319-52464-1_24","Chapter"
"Smart City and Business Model with a Focus on Platform and Circular Economy","Proceedings of the Sixth International Conference on Green and Human Information Technology","","","","10.1007/978-981-13-0311-1_33","Junghee HanHuy-Doo Jin","2019","http://link.springer.com/chapter/10.1007/978-981-13-0311-1_33","Chapter"
"Research of Data Resource Management Platform in Smart City","Geo-Informatics in Resource Management and Sustainable Ecosystem","","","","10.1007/978-3-662-45737-5_2","Jing ShaoLi-na YangLing PengXiao-jing YaoXue-Liang Zhao","2015","http://link.springer.com/chapter/10.1007/978-3-662-45737-5_2","Chapter"
"Defining the Middle Ground: A Comprehensive Approach to the Planning, Design and Implementation of Smart City Operating Systems","Cross-Cultural Design Methods, Practice and Impact","","","","10.1007/978-3-319-20907-4_29","Christopher Grant Kirwan","2015","http://link.springer.com/chapter/10.1007/978-3-319-20907-4_29","Chapter"
"Internet of Things-Based Framework for Public Transportation Fleet Management in Non-smart City","Emerging Technologies for Developing Countries","","","","10.1007/978-3-030-05198-3_1","Muthoni MasindeAhmed ShomanMohamed Hassan Mostafa","2019","http://link.springer.com/chapter/10.1007/978-3-030-05198-3_1","Chapter"
"ROTA: A Smart City Platform to Improve Public Safety","New Advances in Information Systems and Technologies","","","","10.1007/978-3-319-31232-3_74","Jazon CoelhoNélio CachoFrederico LopesEmiliano LoiolaTyago TayronyThiago AndradeMarcel MendonçaMaychell OliveiraDaniela EstaregueBrunna Moura","2016","http://link.springer.com/chapter/10.1007/978-3-319-31232-3_74","Chapter"
"A Smart City’s Model Secured by Blockchain","Trends and Applications in Software Engineering","","","","10.1007/978-3-030-01171-0_23","António BrandãoHenrique São MamedeRamiro Gonçalves","2019","http://link.springer.com/chapter/10.1007/978-3-030-01171-0_23","Chapter"
"Storing and Indexing IoT Context for Smart City Applications","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-46301-8_10","Alexey MedvedevArkady ZaslavskyMaria Indrawan-SantiagoPari Delir HaghighiAlireza Hassani","2016","http://link.springer.com/chapter/10.1007/978-3-319-46301-8_10","Chapter"
"Knowledge Representation Framework for Agent–Based Economic Systems in Smart City Context","Intelligent Information and Database Systems","","","","10.1007/978-3-319-54430-4_49","Martina HusákováPetr Tučník","2017","http://link.springer.com/chapter/10.1007/978-3-319-54430-4_49","Chapter"
"Mensageria: A Smart City Framework for Real-Time Analysis of Traffic Data Streams","Big Social Data and Urban Computing","","","","10.1007/978-3-030-11238-7_4","Marcos Roriz JuniorRafael Pereira de OliveiraFelipe CarvalhoSergio LifschitzMarkus Endler","2019","http://link.springer.com/chapter/10.1007/978-3-030-11238-7_4","Chapter"
