Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Big Data and Machine Intelligence in Software Platforms for Smart Cities","Software Architecture","","","","10.1007/978-3-030-59155-7_2","Mubashir Ali","2020","http://link.springer.com/chapter/10.1007/978-3-030-59155-7_2","Chapter"
"Designing Human-Centered Interactions for Smart Environments Based on Heterogeneous, Interrelated Systems: A User Research Method for the “Age of Services” (URSERVe)","Design, User Experience, and Usability. Design for Contemporary Interactive Environments","","","","10.1007/978-3-030-49760-6_7","Alexandra MatzClarissa Götz","2020","http://link.springer.com/chapter/10.1007/978-3-030-49760-6_7","Chapter"
"A Generic Architectural Framework for Machine Learning on Data Streams","Enterprise Information Systems","","","","10.1007/978-3-030-40783-4_6","Christoph AugensteinTheo ZschörnigNorman SpangenbergRobert WehlitzBogdan Franczyk","2020","http://link.springer.com/chapter/10.1007/978-3-030-40783-4_6","Chapter"
"A Containerized Edge Cloud Architecture for Data Stream Processing","Cloud Computing and Services Science","","","","10.1007/978-3-030-49432-2_8","Remo ScolatiIlenia FronzaNabil El IoiniAreeg SamirHamid Reza BarzegarClaus Pahl","2020","http://link.springer.com/chapter/10.1007/978-3-030-49432-2_8","Chapter"
"Indicators for Assessing the Development of Smart Sustainable Cities","Innovations in Digital Economy","","","","10.1007/978-3-030-60080-8_4","Svetlana GutmanElena Rytova","2020","http://link.springer.com/chapter/10.1007/978-3-030-60080-8_4","Chapter"
"Towards Design Principles for Visualizing Business Ecosystems","Enterprise Information Systems","","","","10.1007/978-3-030-40783-4_14","Anne FaberSven-Volker Rehm","2020","http://link.springer.com/chapter/10.1007/978-3-030-40783-4_14","Chapter"
"Trust Is in the Air: A New Adaptive Method to Evaluate Mobile Wireless Networks","Testing Software and Systems","","","","10.1007/978-3-030-64881-7_9","Alexandra-Elena Mocanu (Mihaita)Bogdan-Costel MocanuChristian EspositoFlorin Pop","2020","http://link.springer.com/chapter/10.1007/978-3-030-64881-7_9","Chapter"
"Human-Computer Systems for Decision Support: From Cloud to Self-organizing Environments","Cloud Computing and Services Science","","","","10.1007/978-3-030-49432-2_1","Alexander SmirnovNikolay ShilovAndrew Ponomarev","2020","http://link.springer.com/chapter/10.1007/978-3-030-49432-2_1","Chapter"
"SAFER-LIM: A Platform for Assistance, Care and Social Integration for the Elderly","Applied Technologies","","","","10.1007/978-3-030-42517-3_18","Pablo A. Lema-SarmientoPaúl E. Calle-RomeroPablo L. Gallegos-SegoviaPaúl E. Vintimilla-TapiaJack F. Bravo-TorresEsteban F. Ordóñez-Morales","2020","http://link.springer.com/chapter/10.1007/978-3-030-42517-3_18","Chapter"
"REDEM: Real-Time Detection and Mitigation of Communication Attacks in Connected Autonomous Vehicle Applications","Internet of Things. A Confluence of Many Disciplines","","","","10.1007/978-3-030-43605-6_7","Srivalli BoddupalliSandip Ray","2020","http://link.springer.com/chapter/10.1007/978-3-030-43605-6_7","Chapter"
"Towards Smart Manufacturing with Dynamic Dataspace Alignment","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-030-49165-9_5","Donatella FirmaniFrancesco LeottaFederica MandreoliMassimo Mecella","2020","http://link.springer.com/chapter/10.1007/978-3-030-49165-9_5","Chapter"
"How to Integrate Security Compliance Requirements with Agile Software Engineering at Scale?","Product-Focused Software Process Improvement","","","","10.1007/978-3-030-64148-1_5","Fabiola MoyónDaniel MéndezKristian BeckersSebastian Klepper","2020","http://link.springer.com/chapter/10.1007/978-3-030-64148-1_5","Chapter"
"Enforcing Geofences for Managing Automated Transportation Risks in Production Sites","Dependable Computing - EDCC 2020 Workshops","","","","10.1007/978-3-030-58462-7_10","Muhammad Atif JavedFaiz Ul MuramAnas FattouhSasikumar Punnekkat","2020","http://link.springer.com/chapter/10.1007/978-3-030-58462-7_10","Chapter"
"A New Concept for People Movers on Single-Track Secondary Railway Lines","Systems, Software and Services Process Improvement","","","","10.1007/978-3-030-56441-4_31","Walter SebronElaheh Gol HashemPeter KrebsHans Tschürtz","2020","http://link.springer.com/chapter/10.1007/978-3-030-56441-4_31","Chapter"
"Monitoring Spatio-Temporal Properties (Invited Tutorial)","Runtime Verification","","","","10.1007/978-3-030-60508-7_2","Laura NenziEzio BartocciLuca BortolussiMichele LoretiEnnio Visconti","2020","http://link.springer.com/chapter/10.1007/978-3-030-60508-7_2","Chapter"
"Information Digital Twin—Enabling Agents to Anticipate Changes in Their Tasks","Artificial General Intelligence","","","","10.1007/978-3-030-52152-3_19","Wael Hafez","2020","http://link.springer.com/chapter/10.1007/978-3-030-52152-3_19","Chapter"
