Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Editorial","International Journal of Information Technology","","12","4","10.1007/s41870-020-00526-5","M. N. Hoda","2020","http://link.springer.com/article/10.1007/s41870-020-00526-5","Article"
"NB-IoT: applications and future prospects in perspective of Bangladesh","International Journal of Information Technology","","12","4","10.1007/s41870-020-00469-x","Mobasshir Mahbub","2020","http://link.springer.com/article/10.1007/s41870-020-00469-x","Article"
"Bridge Load Classifier Based on Deep Learning for Structural Displacement Correlation","Programming and Computer Software","","46","8","10.1134/S0361768820080101","Wendy Flores-Fuentes","2020","http://link.springer.com/article/10.1134/S0361768820080101","Article"
"The Traffic Congestion Analysis Using Traffic Congestion Index and Artificial Neural Network in Main Streets of Electronic City (Case Study: Hamedan City)","Programming and Computer Software","","46","6","10.1134/S0361768820060079","Mohammad Mehdi ShirMohammadiMansour Esmaeilpour","2020","http://link.springer.com/article/10.1134/S0361768820060079","Article"
"Predicting Code Smells and Analysis of Predictions: Using Machine Learning Techniques and Software Metrics","Journal of Computer Science and Technology","","35","6","10.1007/s11390-020-0323-7","Mohammad Y. MhawishManjari Gupta","2020","http://link.springer.com/article/10.1007/s11390-020-0323-7","Article"
"Modelling and Verification of Real-Time Publish and Subscribe Protocol Using Uppaal and Simulink/Stateflow","Journal of Computer Science and Technology","","35","6","10.1007/s11390-020-0537-8","Qian-Qian LinShu-Ling WangBo-Hua ZhanBin Gu","2020","http://link.springer.com/article/10.1007/s11390-020-0537-8","Article"
"Performance analysis of the ubiquitous and emergent properties of an autonomic reflective middleware for smart cities","Computing","","102","10","10.1007/s00607-020-00799-5","Jose AguilarM. JerezM. MendonçaM. Sánchez","2020","http://link.springer.com/article/10.1007/s00607-020-00799-5","Article"
"A social network for supporting end users in the composition of services: definition and proof of concept","Computing","","102","8","10.1007/s00607-020-00796-8","Pedro ValderasVictoria TorresVicente Pelechano","2020","http://link.springer.com/article/10.1007/s00607-020-00796-8","Article"
"Cloud resource management using 3Vs of Internet of Big data streams","Computing","","102","6","10.1007/s00607-019-00732-5","Navroop KaurSandeep K. SoodPrabal Verma","2020","http://link.springer.com/article/10.1007/s00607-019-00732-5","Article"
"Enabling distributed intelligence for the Internet of Things with IOTA and mobile agents","Computing","","102","6","10.1007/s00607-020-00806-9","Tariq AlsbouiYongrui QinRichard HillHussain Al-Aqrabi","2020","http://link.springer.com/article/10.1007/s00607-020-00806-9","Article"
"On cycling risk and discomfort: urban safety mapping and bike route recommendations","Computing","","102","5","10.1007/s00607-019-00771-y","David Castells-GraellsChristopher SalahubEvangelos Pournaras","2020","http://link.springer.com/article/10.1007/s00607-019-00771-y","Article"
"Deployment of an aerial platform system for rapid restoration of communications links after a disaster: a machine learning approach","Computing","","102","4","10.1007/s00607-019-00764-x","Faris A. AlmalkiMarios C. Angelides","2020","http://link.springer.com/article/10.1007/s00607-019-00764-x","Article"
"A probabilistic model for assigning queries at the edge","Computing","","102","4","10.1007/s00607-019-00767-8","Kostas KolomvatsosChristos Anagnostopoulos","2020","http://link.springer.com/article/10.1007/s00607-019-00767-8","Article"
"Labeled Network Stack: A High-Concurrency and Low-Tail Latency Cloud Server Framework for Massive IoT Devices","Journal of Computer Science and Technology","","35","1","10.1007/s11390-020-9651-x","Wen-Li ZhangKe LiuYi-Fan ShenYa-Zhu LanHui SongMing-Yu ChenYuan-Fei Chen","2020","http://link.springer.com/article/10.1007/s11390-020-9651-x","Article"
"On the performance, availability and energy consumption modelling of clustered IoT systems","Computing","","101","12","10.1007/s00607-019-00720-9","Enver EverPurav ShahLeonardo MostardaFredrick OmondiOrhan Gemikonakli","2019","http://link.springer.com/article/10.1007/s00607-019-00720-9","Article"
"Security Attacks in Named Data Networking: A Review and Research Directions","Journal of Computer Science and Technology","","34","6","10.1007/s11390-019-1978-9","Naveen KumarAshutosh Kumar SinghAbdul AleemShashank Srivastava","2019","http://link.springer.com/article/10.1007/s11390-019-1978-9","Article"
"A distributed, proactive intelligent scheme for securing quality in large scale data processing","Computing","","101","11","10.1007/s00607-018-0683-9","Kostas Kolomvatsos","2019","http://link.springer.com/article/10.1007/s00607-018-0683-9","Article"
"Data aggregation processes: a survey, a taxonomy, and design guidelines","Computing","","101","10","10.1007/s00607-018-0679-5","Simin CaiBarbara GallinaDag NyströmCristina Seceleanu","2019","http://link.springer.com/article/10.1007/s00607-018-0679-5","Article"
"DP-Share: Privacy-Preserving Software Defect Prediction Model Sharing Through Differential Privacy","Journal of Computer Science and Technology","","34","5","10.1007/s11390-019-1958-0","Xiang ChenDun ZhangZhan-Qi CuiQing GuXiao-Lin Ju","2019","http://link.springer.com/article/10.1007/s11390-019-1958-0","Article"
"Edge-based personal computing services: fall detection as a pilot study","Computing","","101","8","10.1007/s00607-018-00697-x","Lingmei RenQingyang ZhangWeisong ShiYanjun Peng","2019","http://link.springer.com/article/10.1007/s00607-018-00697-x","Article"
"Towards a distributed real-time hybrid simulator for autonomous vehicles","Computing","","101","7","10.1007/s00607-018-0649-y","Jens de HoogArthur JanssensSiegfried MercelisPeter Hellinckx","2019","http://link.springer.com/article/10.1007/s00607-018-0649-y","Article"
"Area coverage of heterogeneous wireless sensor networks in support of Internet of Things demands","Computing","","101","4","10.1007/s00607-018-0623-8","Saeed Sedighian Kashi","2019","http://link.springer.com/article/10.1007/s00607-018-0623-8","Article"
"A context-aware data fusion approach for health-IoT","International Journal of Information Technology","","10","3","10.1007/s41870-018-0116-1","Zartasha BalochFaisal Karim ShaikhMukhtiar Ali Unar","2018","http://link.springer.com/article/10.1007/s41870-018-0116-1","Article"
"A Survey on Task and Participant Matching in Mobile Crowd Sensing","Journal of Computer Science and Technology","","33","4","10.1007/s11390-018-1855-y","Yue-Yue ChenPin LvDe-Ke GuoTong-Qing ZhouMing Xu","2018","http://link.springer.com/article/10.1007/s11390-018-1855-y","Article"
"Preserving privacy in internet of things: a survey","International Journal of Information Technology","","10","2","10.1007/s41870-018-0113-4","Adnan Ahmed Abi SenFathy Albouraey EassaKamal JambiMohammad Yamin","2018","http://link.springer.com/article/10.1007/s41870-018-0113-4","Article"
"A new paradigm of software service engineering in big data and big service era","Computing","","100","4","10.1007/s00607-018-0602-0","Xiaofei XuGianmario MottaZhiying TuHanchuan XuZhongjie WangXianzhi Wang","2018","http://link.springer.com/article/10.1007/s00607-018-0602-0","Article"
"Evolution of Cloud Operating System: From Technology to Ecosystem","Journal of Computer Science and Technology","","32","2","10.1007/s11390-017-1717-z","Zuo-Ning ChenKang ChenJin-Lei JiangLu-Fei ZhangSong WuZheng-Wei QiChun-Ming HuYong-Wei WuYu-Zhong SunHong TangAo-Bing SunZi-Lu Kang","2017","http://link.springer.com/article/10.1007/s11390-017-1717-z","Article"
"Situation recognition and handling based on executing situation templates and situation-aware workflows","Computing","","99","2","10.1007/s00607-016-0522-9","Pascal HirmerMatthias WielandHolger SchwarzBernhard MitschangUwe BreitenbücherSantiago Gómez SáezFrank Leymann","2017","http://link.springer.com/article/10.1007/s00607-016-0522-9","Article"
"A note on software tools and technologies for delivering smart media-optimized big data applications in the cloud","Computing","","98","1 - 2","10.1007/s00607-015-0471-8","Rajiv RanjanDimitrios GeorgakopoulosLizhe Wang","2016","http://link.springer.com/article/10.1007/s00607-015-0471-8","Article"
"Towards NFC payments using a lightweight architecture for the Web of Things","Computing","","97","10","10.1007/s00607-014-0397-6","Tor-Morten GrønliPardis PourghomiGheorghita Ghinea","2015","http://link.springer.com/article/10.1007/s00607-014-0397-6","Article"
"Raw Trajectory Rectification via Scene-Free Splitting and Stitching","Journal of Computer Science and Technology","","30","2","10.1007/s11390-015-1529-y","Chun-Chao GuoXiao-Jun HuJian-Huang LaiShi-Chang ShiShi-Zhe Chen","2015","http://link.springer.com/article/10.1007/s11390-015-1529-y","Article"
