Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Research on smart city service system based on adaptive algorithm","Cluster Computing","","22","4","10.1007/s10586-018-2266-0","Yin ZhangXin Gu","2019","http://link.springer.com/article/10.1007/s10586-018-2266-0","Article"
"Adaptive PID controller for cloud smart city system stability control based on chaotic neural network","Cluster Computing","","22","6","10.1007/s10586-017-1197-5","Xuebiao ZhuKuisheng ChenYanan WangHuasheng Zheng","2019","http://link.springer.com/article/10.1007/s10586-017-1197-5","Article"
"CityPulse: A Platform Prototype for Smart City Social Data Mining","Journal of the Knowledge Economy","","7","2","10.1007/s13132-016-0370-z","Maria GiatsoglouDespoina ChatzakouVasiliki GkatziakiAthena VakaliLeonidas Anthopoulos","2016","http://link.springer.com/article/10.1007/s13132-016-0370-z","Article"
"A common approach to intelligent energy and mobility services in a smart city environment","Journal of Ambient Intelligence and Humanized Computing","","6","3","10.1007/s12652-015-0263-1","Marco LützenbergerNils MasuchTobias KüsterDaniel FreundMarcus VoßChristopher-Eyk HrabiaDenis PozoJohannes FähndrichFrank TrollmannJan KeiserSahin Albayrak","2015","http://link.springer.com/article/10.1007/s12652-015-0263-1","Article"
"The Adaptive Recommendation Mechanism for Distributed Parking Service in Smart City","Wireless Personal Communications","","80","1","10.1007/s11277-014-2017-3","Gwo-Jiun Horng","2015","http://link.springer.com/article/10.1007/s11277-014-2017-3","Article"
"The Adaptive Road Routing Recommendation for Traffic Congestion Avoidance in Smart City","Wireless Personal Communications","","77","1","10.1007/s11277-013-1502-4","Sheng-Tzong ChengJian-Pan LiGwo-Jiun HorngKuo-Chuan Wang","2014","http://link.springer.com/article/10.1007/s11277-013-1502-4","Article"
"Towards smart city: M2M communications with software agent intelligence","Multimedia Tools and Applications","","67","1","10.1007/s11042-012-1013-4","Min Chen","2013","http://link.springer.com/article/10.1007/s11042-012-1013-4","Article"
"Combining Cloud and sensors in a smart city environment","EURASIP Journal on Wireless Communications and Networking","","2012","1","10.1186/1687-1499-2012-247","Nathalie MittonSymeon PapavassiliouAntonio PuliafitoKishor S. Trivedi","2012","http://link.springer.com/article/10.1186/1687-1499-2012-247","Article"
"Smart City Reference Model: Assisting Planners to Conceptualize the Building of Smart City Innovation Ecosystems","Journal of the Knowledge Economy","","4","2","10.1007/s13132-012-0089-4","Sotiris Zygiaris","2013","http://link.springer.com/article/10.1007/s13132-012-0089-4","Article"
"Being a ‘citizen’ in the smart city: up and down the scaffold of smart citizen participation in Dublin, Ireland","GeoJournal","","84","1","10.1007/s10708-018-9845-8","Paolo CardulloRob Kitchin","2019","http://link.springer.com/article/10.1007/s10708-018-9845-8","Article"
"Using Intelligent Vehicle Infrastructure Integration for Reducing Congestion in Smart City","Wireless Personal Communications","","91","2","10.1007/s11277-016-3501-8","Gwo-Jiun HorngSheng-Tzong Cheng","2016","http://link.springer.com/article/10.1007/s11277-016-3501-8","Article"
"Privacy-preserving identity-based file sharing in smart city","Personal and Ubiquitous Computing","","21","5","10.1007/s00779-017-1051-z","Xiling LuoYili RenJiankun HuQianhong WuJungang Lou","2017","http://link.springer.com/article/10.1007/s00779-017-1051-z","Article"
"Nexus Services in Smart City Ecosystems","Journal of the Knowledge Economy","","","","10.1007/s13132-020-00635-3","Paraskevi TsoutsaPanos FitsilisLeonidas AnthopoulosOmiros Ragos","2020","http://link.springer.com/article/10.1007/s13132-020-00635-3","Article"
"Deploying 5G-Technologies in Smart City and Smart Home Wireless Sensor Networks with Interferences","Wireless Personal Communications","","81","4","10.1007/s11277-015-2480-5","Per LynggaardKnud Erik Skouby","2015","http://link.springer.com/article/10.1007/s11277-015-2480-5","Article"
"Sustainable mobility leveraging on 5G mobile communication infrastructures in the context of smart city operations","Evolving Systems","","8","2","10.1007/s12530-016-9166-4","George Dimitrakopoulos","2017","http://link.springer.com/article/10.1007/s12530-016-9166-4","Article"
"Access patterns mining from massive spatio-temporal data in a smart city","Cluster Computing","","22","3","10.1007/s10586-018-1791-1","Lian XiongXiaojun LiuDaixin GuoZhihua Hu","2019","http://link.springer.com/article/10.1007/s10586-018-1791-1","Article"
"An Omnidirectional Biomechanical Energy Harvesting (OBEH) Sidewalk Block for a Self-Generative Power Grid in a Smart City","International Journal of Precision Engineering and Manufacturing-Green Technology","","5","4","10.1007/s40684-018-0054-1","Jinshi CuiHeonjun YoonByeng D. Youn","2018","http://link.springer.com/article/10.1007/s40684-018-0054-1","Article"
"How EU-funded Smart City experiments influence modes of planning for mobility: observations from Hamburg","Urban Transformations","","2","1","10.1186/s42854-020-0006-2","Philipp SpäthJörg Knieling","2020","http://link.springer.com/article/10.1186/s42854-020-0006-2","Article"
"Research on the Internet of Things and the development of smart city industry based on big data","Cluster Computing","","21","1","10.1007/s10586-017-0910-8","Zhanyu Liu","2018","http://link.springer.com/article/10.1007/s10586-017-0910-8","Article"
