Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Towards high-availability cyber-physical systems using a microservice architecture","Computing","","105","8","10.1007/s00607-023-01165-x","Manel MenaJavier CriadoLuis IribarneAntonio CorralRichard ChbeirYannis Manolopoulos","2023","http://link.springer.com/article/10.1007/s00607-023-01165-x","Article"
"Fuzzy intelligence based V2V routing protocol in Internet of Vehicles: a cross-layer approach","Computing","","","","10.1007/s00607-023-01203-8","Moyukh LahaRaja Datta","2023","http://link.springer.com/article/10.1007/s00607-023-01203-8","Article"
"Image processing based data reduction technique in WVSN for smart agriculture","Computing","","","","10.1007/s00607-023-01198-2","Jana KoteichChristian SalimNathalie Mitton","2023","http://link.springer.com/article/10.1007/s00607-023-01198-2","Article"
"Decentralized control architecture for multi-authoring microgrids","Computing","","","","10.1007/s00607-023-01201-w","Seyed Hossein Alavi SoltaniSaeed JaliliMohammad Kazem Sheikh El Eslami","2023","http://link.springer.com/article/10.1007/s00607-023-01201-w","Article"
"POOSC: Provably online/offline signcryption scheme for vehicular communication in VANETs","Computing","","","","10.1007/s00607-023-01196-4","Ahmed ElkhalilJiashu zhangRashad ElhabobNabeil Eltayieb","2023","http://link.springer.com/article/10.1007/s00607-023-01196-4","Article"
"Classical and quantum compression for edge computing: the ubiquitous data dimensionality reduction","Computing","","105","7","10.1007/s00607-023-01154-0","Maryam BagherianSarah ChehadeBen WhitneyAli Passian","2023","http://link.springer.com/article/10.1007/s00607-023-01154-0","Article"
"Correlation adaptive task scheduling","Computing","","","","10.1007/s00607-023-01192-8","Thanasis MoustakasKostas Kolomvatsos","2023","http://link.springer.com/article/10.1007/s00607-023-01192-8","Article"
"ST-Resnet: a deep learning-based privacy preserving differential publishing method for location statistics","Computing","","","","10.1007/s00607-023-01189-3","Yan YanZichao SunAdnan MahmoodYiming CongFei XuQuan Z. Sheng","2023","http://link.springer.com/article/10.1007/s00607-023-01189-3","Article"
"Towards dynamic and heterogeneous social IoT environments","Computing","","105","6","10.1007/s00607-022-01113-1","Daniel Flores-MartinJavier BerrocalJosé García-AlonsoJuan M. Murillo","2023","http://link.springer.com/article/10.1007/s00607-022-01113-1","Article"
"Extended group-based verification approach for secure M2M communications","International Journal of Information Technology","","15","5","10.1007/s41870-023-01284-w","T. Prabhakara RaoB. Satyanarayana Murthy","2023","http://link.springer.com/article/10.1007/s41870-023-01284-w","Article"
"A Prefetch-Adaptive Intelligent Cache Replacement Policy Based on Machine Learning","Journal of Computer Science and Technology","","38","2","10.1007/s11390-022-1573-3","Hui-Jing YangJuan FangMin CaiZhi Cai","2023","http://link.springer.com/article/10.1007/s11390-022-1573-3","Article"
"Development of IoT based smart monitor and control system using MQTT protocol and Node-RED for parabolic greenhouse solar drying","International Journal of Information Technology","","15","4","10.1007/s41870-023-01237-3","Sittichai ChoosumrongRhutairat HataitaraGitsada PanumonwateeVenkatesh RaghavanChatchawin NualsriThanwamas PhasinamKhongdet Phasinam","2023","http://link.springer.com/article/10.1007/s41870-023-01237-3","Article"
"Machine learning-based IoT system for COVID-19 epidemics","Computing","","105","4","10.1007/s00607-022-01057-6","Micheal Olaolu ArowoloRoseline Oluwaseun OgundokunSanjay MisraBlessing Dorothy AgboolaBrij Gupta","2023","http://link.springer.com/article/10.1007/s00607-022-01057-6","Article"
"International revenue share fraud prediction on the 5G edge using federated learning","Computing","","","","10.1007/s00607-023-01174-w","Luís FerreiraLeopoldo SilvaFrancisco MoraisCarlos Manuel MartinsPedro Miguel PiresHelena RodriguesPaulo CortezAndré Pilastri","2023","http://link.springer.com/article/10.1007/s00607-023-01174-w","Article"
"Architecting decentralized control in large-scale self-adaptive systems","Computing","","","","10.1007/s00607-023-01167-9","Jesper AnderssonMauro CaporuscioMirko D’AngeloAnnalisa Napolitano","2023","http://link.springer.com/article/10.1007/s00607-023-01167-9","Article"
"Improved BEST-MAC protocol for WSN using optimal cluster head selection","International Journal of Information Technology","","15","2","10.1007/s41870-019-00385-9","Rakesh KumarManju Gangwar","2023","http://link.springer.com/article/10.1007/s41870-019-00385-9","Article"
"Continuous QoS-aware adaptation of Cloud-IoT application placements","Computing","","","","10.1007/s00607-023-01153-1","Juan Luis HerreraJavier BerrocalStefano FortiAntonio BrogiJuan M. Murillo","2023","http://link.springer.com/article/10.1007/s00607-023-01153-1","Article"
"X-IoT: a model-driven approach to support IoT application portability across IoT platforms","Computing","","","","10.1007/s00607-023-01155-z","Flavio CorradiniArianna FedeliFabrizio FornariAndrea PoliniBarbara ReLuca Ruschioni","2023","http://link.springer.com/article/10.1007/s00607-023-01155-z","Article"
"An empirical investigation into the altering health perspectives in the internet of health things","International Journal of Information Technology","","15","1","10.1007/s41870-022-01035-3","Nour Mahmoud BahbouhSandra Sendra CompteJuan Valenzuela ValdesAdnan Ahmed Abi Sen","2023","http://link.springer.com/article/10.1007/s41870-022-01035-3","Article"
"Building Adaptable Dashboards for Smart Cities: Design and Evaluation","Programming and Computer Software","","48","8","10.1134/S0361768822080072","V. ContrerasL. MontanéT. CeperoE. BenitezC. Mezura","2022","http://link.springer.com/article/10.1134/S0361768822080072","Article"
"GUEST EDITORIAL Special Issue on Recent Trends in Advanced Computing, Engineering and Technology: Transformation and Innovation","Programming and Computer Software","","48","8","10.1134/S0361768822080114","Andrei TchernykhReyes Juárez RamírezTeresa GuardaFilipe Portela","2022","http://link.springer.com/article/10.1134/S0361768822080114","Article"
"Improving Friend Recommendation for Online Learning with Fine-Grained Evolving Interest","Journal of Computer Science and Technology","","37","6","10.1007/s11390-021-2124-z","Ming-Min ShaoWen-Jun JiangJie WuYu-Qing ShiTakShing YumJi Zhang","2022","http://link.springer.com/article/10.1007/s11390-021-2124-z","Article"
"Fog-Cloud-IoT centric collaborative framework for machine learning-based situation-aware traffic management in urban spaces","Computing","","","","10.1007/s00607-022-01120-2","SahilSandeep Kumar SoodVictor Chang","2022","http://link.springer.com/article/10.1007/s00607-022-01120-2","Article"
"IoT-Gov: an IoT governance framework using the blockchain","Computing","","104","10","10.1007/s00607-022-01086-1","Anass SedratiAafaf OuaddahAbdellatif MezriouiBadr Bellaj","2022","http://link.springer.com/article/10.1007/s00607-022-01086-1","Article"
"A lightweight security framework for electronic healthcare system","International Journal of Information Technology","","14","6","10.1007/s41870-022-01034-4","Ravi Raushan Kumar ChaudharyKakali Chatterjee","2022","http://link.springer.com/article/10.1007/s41870-022-01034-4","Article"
"Self-adaptive image codec for intelligent vision sensor networks","International Journal of Information Technology","","14","5","10.1007/s41870-022-00979-w","Ming-Yi LinChing-Han ChenShou-Cheng ChenChao-Tsu Liu","2022","http://link.springer.com/article/10.1007/s41870-022-00979-w","Article"
"A comprehensive privacy and security framework for dynamic protection (CPSF)","International Journal of Information Technology","","14","5","10.1007/s41870-022-00965-2","Adnan Ahmed Abi Sen","2022","http://link.springer.com/article/10.1007/s41870-022-00965-2","Article"
"A wrapper method based on a modified two-step league championship algorithm for detecting botnets in IoT environments","Computing","","104","8","10.1007/s00607-022-01070-9","Taha ShojarazaviHamid BaratiAli Barati","2022","http://link.springer.com/article/10.1007/s00607-022-01070-9","Article"
"Deep reinforcement learning based QoE-aware actor-learner architectures for video streaming in IoT environments","Computing","","104","7","10.1007/s00607-021-01046-1","Mandan NareshVikramjeet DasParesh SaxenaManik Gupta","2022","http://link.springer.com/article/10.1007/s00607-021-01046-1","Article"
"Novel Positive Multi-Layer Graph Based Method for Collaborative Filtering Recommender Systems","Journal of Computer Science and Technology","","37","4","10.1007/s11390-021-0420-2","Bushra AlhijawiGhazi AL-Naymat","2022","http://link.springer.com/article/10.1007/s11390-021-0420-2","Article"
"Intelligent traffic analysis system for Indian road conditions","International Journal of Information Technology","","14","4","10.1007/s41870-020-00447-3","Balaji Ganesh Rajagopal","2022","http://link.springer.com/article/10.1007/s41870-020-00447-3","Article"
"Trust on wheels: Towards secure and resource efficient IoV networks","Computing","","104","6","10.1007/s00607-021-01040-7","Adnan MahmoodSarah Ali SiddiquiQuan Z. ShengWei Emma ZhangHajime SuzukiWei Ni","2022","http://link.springer.com/article/10.1007/s00607-021-01040-7","Article"
"Machine learning driven intelligent and self adaptive system for traffic management in smart cities","Computing","","104","5","10.1007/s00607-021-01038-1","Hameed KhanKamal K. KushwahMuni Raj MauryaSaurabh SinghPrashant JhaSujeet K. MahobiaSanjay SoniSubham SahuKishor Kumar Sadasivuni","2022","http://link.springer.com/article/10.1007/s00607-021-01038-1","Article"
"Coupling multifunction drones with AI in the fight against the coronavirus pandemic","Computing","","104","5","10.1007/s00607-021-01022-9","Faris A. AlmalkiAbdullah A. AlotaibiMarios C. Angelides","2022","http://link.springer.com/article/10.1007/s00607-021-01022-9","Article"
"Quality of Service Support in RPL Networks: Standing State and Future Prospects","Journal of Computer Science and Technology","","37","2","10.1007/s11390-022-1027-y","Ibrahim S. Alsukayti","2022","http://link.springer.com/article/10.1007/s11390-022-1027-y","Article"
"An optimization scheme for IoT based smart greenhouse climate control with efficient energy consumption","Computing","","104","2","10.1007/s00607-021-00963-5","Israr UllahMuhammad FayazMuhammad AmanDoHyeun Kim","2022","http://link.springer.com/article/10.1007/s00607-021-00963-5","Article"
"Implementation and evaluation of the DAOM framework and support tool for designing blockchain decentralized applications","International Journal of Information Technology","","13","6","10.1007/s41870-021-00816-6","Chibuzor UdokwuPatrick BrandtnerAlex NortaAlexandr KormiltsynRaimundas Matulevičius","2021","http://link.springer.com/article/10.1007/s41870-021-00816-6","Article"
"Congestion avoidance in wireless sensor network using software defined network","Computing","","103","11","10.1007/s00607-021-01010-z","Ahmed Nawaz KhanMuhammad Adnan TariqMuhammad AsimZakaria MaamarThar Baker","2021","http://link.springer.com/article/10.1007/s00607-021-01010-z","Article"
"Towards big services: a synergy between service computing and parallel programming","Computing","","103","11","10.1007/s00607-021-00999-7","Haithem MezniMokhtar SellamiSabeur AridhiFaouzi Ben Charrada","2021","http://link.springer.com/article/10.1007/s00607-021-00999-7","Article"
"Automated skull damage detection from assembled skull model using computer vision and machine learning","International Journal of Information Technology","","13","5","10.1007/s41870-021-00752-5","Amol MangrulkarSantosh B. RaneVivek Sunnapwar","2021","http://link.springer.com/article/10.1007/s41870-021-00752-5","Article"
